{'descr': '房间设施旧了，有异味。早餐是地下小馆子。', 'star': 1}
{'descr': '位置好，出门方便。清洁也还可以，就是早餐太差，完全是在敷衍了事。', 'star': 5}
{'descr': '环境太差，早上5点就被大声地叫喊声叫醒。卫生间里的设施老化，，总之不推荐', 'star': 1}
{'descr': '偶尔有机会会去住，看缘分。酒店整体还不错，我去的时候外面在装修。', 'star': 5}
{'descr': '酒店位置交通方便，离观音桥商圈近，只是早餐较差，但这个房价算实惠的了。', 'star': 5}
{'descr': '现在正在施工，一大早有点吵。还算干净。也比较适合逛街。', 'star': 5}
{'descr': '卫生还可以外墙搞装修一大早就没发睡觉了,酒店里面除了卫生间有纸外面也应该放点免费的,服务态度还不错', 'star': 3}
{'descr': '一样一样儿的，下次继续入住！！！！！！！！！！！！！！！！！！！！！！！！11', 'star': 5}
{'descr': '很方便，下次还要继续住，就是不能上网呢！！！设施比较旧！！！！！', 'star': 5}
{'descr': '经济实惠，客房清洁服务再细一点。        。。。。。。。。。。                    ', 'star': 5}
{'descr': '非常糟糕的酒店。设施陈旧，服务也差。早餐简直没法吃。最差的格林豪泰。', 'star': 1}
{'descr': '完全是因为地理位置而住这里的 唉  谁让它刚好在机场大巴下车点呢 又离商圈近', 'star': 5}
{'descr': '房间设施很够档次，闹中取静；到机场也很方便，性价比高；就是早餐很寒碜，无线网络很差；', 'star': 5}
{'descr': '不错，比较安静价格也低，停车位有但是少了点，有时候停车考验技术，外面停车是要收费的', 'star': 5}
{'descr': '新装修房间不错\n\n可惜的是空间更好的套房装修尚未做完，有点可惜了', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '服务太差，总台的电话晚上一直没人，没有送餐服务，房间墙壁大面积发霉，电梯门经常关不上！！！', 'star': 1}
{'descr': '入住信息不清楚,房号与客人登记姓名不符.', 'star': 1}
{'descr': '已入住', 'star': 3}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '房间倒是很大，但服务不行，热水不足，电视信号很差', 'star': 1}
{'descr': '一般！', 'star': 3}
{'descr': '方便，经济，坏境还行，下次还住。如果有朋友去，还是会推荐这家酒店的', 'star': 5}
{'descr': '很一般，毛巾好像都是黑的。价格便宜，短暂居住可以，', 'star': 1}
{'descr': '购物，乘车方便，环境还可以。有机会还会光顾', 'star': 5}
{'descr': '住还行', 'star': 3}
{'descr': '外观太旧，里面重新装过，还将就，睡觉还不算吵...', 'star': 1}
{'descr': '可以,不错.只是房灯开关不方便,隔音有点不理想,早餐还好', 'star': 5}
{'descr': '此行住了7个酒店，这家算是最差的，本来定的是豪华间结果安排了机麻房，想想2个人有用吗，房间卫生很差墙壁发霉，前台MM对客人不理不睬，只顾得与外面旅行团搞外快，早餐太差太差，千万不要定这个重庆外贸格林旧店，此行最差的入住体验', 'star': 1}
{'descr': '位置真的很不错\u3000睡觉也很安静\u3000但是房间的安全度还需要加强', 'star': 5}
{'descr': '+还行，就是洗漱台掉下来了！', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '酒店的位置还行，房间的卫士设施都还可以，价格还可以还是能承受。', 'star': 5}
{'descr': '酒店附近交通非常方便 但是酒店本身给我的感觉只能是一般 打扫卫生比较马虎 而且房间内好多一般设施都不是很完善 还有待提高', 'star': 1}
{'descr': '我个人觉得还是可以,只是没得午饭晚饭吃,要出去外面吃,不过也还是方便.其它的和价格相比算不错了.', 'star': 3}
{'descr': '性价比算不错的,值得一住!~液晶电视,无线上网,其他还算新!', 'star': 5}
{'descr': '这里的大床房不只小，而且布局不太合理。房形古怪，窗户特小。毛巾没有的，以洗手台方巾代替。浴室内没有防滑垫，且密封不好，地脚毛巾都打湿了。墙纸都鼓起来了，设施陈旧。门锁都要脱落了。也可能就4楼我这间这样吧？问前台，跟我说大床房都一样小。', 'star': 1}
{'descr': '可能是老店改造的！设备也好 都感觉不舒服。隔音差、一早对面工作人员就吵得睡不着 第二天又换了一间！', 'star': 1}
{'descr': '还不错哦，交通方便价格不高，旁边可以洗车，后面可以停车', 'star': 5}
