{'descr': '没有早餐', 'star': 5}
{'descr': '不错挺好的还行', 'star': 5}
{'descr': '其他都好，就是房卡，贼不好用。', 'star': 5}
{'descr': '其他都好，就是房卡，贼不好用', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '好评，地理位置优越，京东下单方便', 'star': 5}
{'descr': '房间大，价格优惠，服务很好！', 'star': 5}
{'descr': '很棒', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间很整洁，服务态度很好，住着很舒服', 'star': 5}
{'descr': 'WIFI用不了，电视又不清楚，里面的装修太旧了，遥控器用不了，这里是我住过如家最差的一家了，卫生间味太大了', 'star': 2}
{'descr': '价格实惠。位置方便。 很干净。唯一不好就是晚上九点多热水不怎么热。洗澡很不爽。后来问前台。说是买的热水。早晨九十点送水车才送水。后来只能配合早晨的起来洗澡。水好热的', 'star': 5}
{'descr': '挺好的', 'star': 4}
{'descr': '住过几次还行', 'star': 4}
{'descr': '还不错，下次继续住这里', 'star': 5}
{'descr': '离商业街不远', 'star': 5}
{'descr': '可以', 'star': 3}
{'descr': '服务态度很好，酒店很干净，也很宽敞，价位也不错', 'star': 5}
{'descr': '交通非常方便，房间还算挺大的。吃饭购物方便', 'star': 5}
{'descr': '很干净，卫生间很好，热水也一直都有', 'star': 3}
{'descr': '酒店挺新的，空间大，住的感觉还是不错的，算是一个不错的地方', 'star': 5}
{'descr': '服务态度很好，但是楼道里服务员的声音太大了，动静太大了。休息不好', 'star': 5}
{'descr': '很安静，很好很给力！虽然早饭没吃上，呵呵~~~~~', 'star': 5}
{'descr': '位置还不错, 大港中心, 性价比不错, 下次应该还会预订.', 'star': 5}
{'descr': '已经好几次入住了，各项服务很好。就是电视节目不多，收不到江苏卫视，看不成非诚勿扰。', 'star': 5}
{'descr': '本来想住两天的，就住了一天，房间的隔音很不好，旁边屋子有打呼噜。', 'star': 5}
{'descr': '环境很好，卫生不错 服务很好 而且公交也很方便 会继续光顾如家 真的不错', 'star': 5}
{'descr': '环境很好！很干净！很满意！', 'star': 3}
{'descr': '酒店环境好，干净，卫生，服务态度也不错.', 'star': 5}
{'descr': '很不错，在大港算是可以的了,环境很好，室内很温馨，只是我住的房型没有窗户，有些闷', 'star': 5}
{'descr': '这家酒店很不好找，而且我住的那个房间进门处墙皮都掉了，如果是优惠劵入住还勉强，但是本人是按照原价住进去的，网站上公布的价格比酒店本身打出的价格还高十块钱呢。不划算了！没有窗的房间太闷了！', 'star': 1}
{'descr': '环境不错！干净', 'star': 3}
{'descr': '价格便宜！周围吃饭很方便！人也不会很多！退房手续的办理有些慢！', 'star': 5}
{'descr': '早上七点没有热水。打总台电话反映也没人管', 'star': 1}
{'descr': '位置方便，周围购物吃饭十分便利，价格较低，不错。', 'star': 5}
{'descr': '！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很好 干净 舒适 床很大 环境也很好的 而且也挺好找的 一如既往的喜欢如家 价格实惠更不用说了', 'star': 5}
{'descr': '整体还不错，下次还会去住！就是不知道下次再去大港是什么时候了啊！挺想去大港吃饺子的，八块钱半斤，能让我一个一百八十斤的人吃饱！', 'star': 5}
{'descr': '我的老天，要这么多点评啊？那我就说一两个意见吧！如家还是那么干净，服务还是不错，但这几年来依然是电视信号不是特别好，房间隔音也不理想！但是要住如家，大家都知道这些，毕竟价钱不贵啊！我们也不会介意的！推荐！', 'star': 5}
{'descr': '其实大港盯得工程结束后。我还送了他们酒店一个工程梯子呢，也不说给我个早餐券，要是我老早梯子拿去给饺子馆的话人家就送我半斤饺子吃了，送给小卖店也可以换一瓶冰红茶不是？不过既然是如家，还是推荐入住的！', 'star': 5}
{'descr': '还是不错的，不然我也不会住12天啊！一如既往得干净！', 'star': 5}
{'descr': '如家吗，大家都知道，肯定是推荐的，而且在大港来说，这个位置和价钱都算是很好的了！', 'star': 5}
{'descr': ' 不错，环境很好', 'star': 3}
{'descr': '服务很好的一定酒店，下次再过来，也住这。。。推荐大家入住。', 'star': 5}
{'descr': '环境很好，就是位置很难找，服务员的态度也很好，很满意', 'star': 5}
{'descr': '条件很好', 'star': 3}
{'descr': '，挺好的，态度也好', 'star': 3}
{'descr': '酒店性价比很高，房间大小适中，下次还会入住。', 'star': 5}
{'descr': '环境很好,很干净。', 'star': 3}
{'descr': '因为 第一  房间不隔音  第二  床头灯太危险  第三  空气不流通  第四  卫生间没有剃须刀所以我不推荐希望该酒店能有所改善', 'star': 1}
{'descr': '环境 感觉还可以！房间看着挺舒 服！以后再去那边还会选择这家酒店！！！！！！但是还是希望你们的服务可以改进一下！！！！！！！我是不爱计较的那种人，如果有 难搞的客户你们会很麻烦！', 'star': 5}
{'descr': '没有窗户，但非常适合睡觉，床很大，总体很满意，还会考虑再住。', 'star': 3}
{'descr': '朋友入住后反映， 网速太慢，其他还可以，', 'star': 5}
{'descr': '整体感觉良好，该有的都有，卫生一般，服务态度还行', 'star': 5}
{'descr': '住第二次了，还可以，就是早晨起床洗澡没有热水。', 'star': 3}
{'descr': '还不错的服务，周边环境可以，酒店的内部装修的还是很新，不知是不是近两年才建，还是老早有的。过天津大港，建议入住此店，网上订购还有优惠。', 'star': 5}
{'descr': '商务房为什么没有电脑', 'star': 3}
{'descr': '已住', 'star': 3}
{'descr': '环境不错，干净整洁，就是隔音不好。还有说是带窗户的房间，但是窗户只是开在楼道和没窗户差不多。', 'star': 5}
