{'短评内容': '位置优越，环境不错，卫生干净，服务很好。', '短评打分': 5}
{'短评内容': '干净 卫生', '短评打分': 5}
{'短评内容': '干净卫生，出行方便', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还是很好，每次来出差都住在这', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '地方差', '短评打分': 3}
{'短评内容': '不错不错的', '短评打分': 5}
{'短评内容': '各方面都不错，特别是地理位置', '短评打分': 5}
{'短评内容': '房间小，经济型吧', '短评打分': 5}
{'短评内容': '酒店位置方便，离市中心很近。干净舒适，很满意！', '短评打分': 5}
{'短评内容': '太小，其它方面还行', '短评打分': 4}
{'短评内容': '房间太小了，很拥挤，就这还要180元，很贵。而且入住还要来回换电梯也很麻烦。', '短评打分': 3}
{'短评内容': '电梯很不方便', '短评打分': 3}
{'短评内容': '门头较小，价格稍贵，特惠的窗子是开向走廊的，隔音稍差，楼旁有个ktv晚上比较吵，天花板的通风口声音也比较大，其他的还是不错的&hellip;', '短评打分': 4}
{'短评内容': '装修可以,感觉不错,价格适中.', '短评打分': 4}
{'短评内容': '酒店位置很好，但是做电梯不方便，还有房间实在有点小，最不好的是没有早餐。', '短评打分': 1}
{'短评内容': '同类酒店中算很好！位置很好，干净。推荐入驻！同类酒店中算很好！位置很好，干净。推荐入驻！', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是广场，边上就有肯德基，东西吃不惯时可以吃他', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是广场，边上就有肯德基，东西吃不惯时可以吃他', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是广场，边上就有肯德基，东西吃不惯时可以吃他', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是广场，边上就有肯德基，东西吃不惯时可以吃他', '短评打分': 5}
{'短评内容': '在市中心，离伏羲庙大概10分钟，紧邻步行街。卫生凑合，但房间空间比较狭小，不能WIFI', '短评打分': 5}
{'短评内容': '位于黄金地段，吃饭、购物、交通都很方便，房间很干净，但就是有些小，很小', '短评打分': 3}
{'短评内容': '服务环境都很好', '短评打分': 3}
{'短评内容': '服务还好啦！环境很舒服，希望能改善入住流程，继续加油！', '短评打分': 5}
{'短评内容': '地理位置还不错，就是晚上找吃的比较不方便，9点都关门了', '短评打分': 5}
{'短评内容': '蛮好的，真的很不错，如果以后有机会再去一定再住', '短评打分': 5}
{'短评内容': '如家真的不错，见面就说你好，干净！', '短评打分': 3}
{'短评内容': '房间小，不过地段和服务很好。', '短评打分': 3}
{'短评内容': '酒店环境不错，地处中心广场交通方便，附近就有小吃街，吃饭也很方便，工作人员服务态度很好', '短评打分': 5}
{'短评内容': '交通方便，广场附近，服务热情，没有双早，地面有点脏的样子', '短评打分': 5}
{'短评内容': '标间还是比较大的，比大床房舒服，酒店没有早餐，这点有点可惜，附件没什么吃早餐的好地方', '短评打分': 5}
{'短评内容': '位置很好，周边就是步行街，附件都是KTV和娱乐场所，但是房间很安静， 就是新开业很多服务还没跟上。', '短评打分': 5}
