{'短评内容': '不错，性价比高，位置也不错', '短评打分': 5}
{'短评内容': '位置很方便。房间也很大。', '短评打分': 5}
{'短评内容': '就是江河湖海斤斤计较蹶和韩国时间时间你可以不看看你的人的时候了……一切都城，不会有没有时候都匀…………一下买单镂空钩花', '短评打分': 5}
{'短评内容': '还好漏水赶紧秀秀节省时间时间看看自己是在你身上有你在身边陪伴你走过一些东西方之间的矛盾和问题都没有的我在有', '短评打分': 5}
{'短评内容': '性价比高，干净卫生', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '还可以房见', '短评打分': 5}
{'短评内容': '还可以房见', '短评打分': 5}
{'短评内容': '已经习惯了住这里。每次都来', '短评打分': 5}
{'短评内容': '不错，基本出差都在这', '短评打分': 5}
{'短评内容': '很喜欢，已经住过很多次啦', '短评打分': 5}
{'短评内容': '每次去长春都喜欢住这儿，能睡个好觉', '短评打分': 5}
{'短评内容': '地理位置很好，装修新颖，服务周到，干净卫生', '短评打分': 5}
{'短评内容': '房间服务设施设备齐全 ，房间面积较大  ，有停车场 ，方便实惠。', '短评打分': 5}
{'短评内容': '洗澡的没门，还缺一块大玻璃，应该修一下', '短评打分': 4}
{'短评内容': '房间内部环境很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店不错，干净卫生，交通，位置不错，还有价格适中。满意', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
