{'短评内容': '环境还可以，房间一般吧，我住的棋牌室类的，除了大点', '短评打分': 5}
{'短评内容': '好，朋友来每次都住这里。', '短评打分': 5}
{'短评内容': '没有印象了', '短评打分': 4}
{'短评内容': '条件一般，浴室有味!', '短评打分': 3}
{'短评内容': '年久失修啊……', '短评打分': 4}
{'短评内容': '房间很舒适，出门很喜欢在京东上订房，确认很及时，服务很好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体上还不错，挺正规，就是周边环境不好，卖鱼的的都跑到酒店门口啦！', '短评打分': 4}
{'短评内容': '去看杰伦演唱会，服务好，环境棒，出行首选', '短评打分': 5}
{'短评内容': '凑合还行', '短评打分': 4}
{'短评内容': '都很一般，网速慢，价格与设施相比偏高，是客户要求住那里才去的', '短评打分': 4}
{'短评内容': '还可以，简陋 凑合', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '酒店卫生一般，房间有味', '短评打分': 3}
{'短评内容': '在塘沽算是性价比很好的酒店，设施、卫生、服务都不错，推荐入住。希望增加电视频道', '短评打分': 3}
{'短评内容': '房间布置比较可以\n挺安静的。\n早餐只有油条咸菜咸鸭蛋稀饭', '短评打分': 5}
{'短评内容': '饭菜太差了。', '短评打分': 3}
{'短评内容': '干净  整洁  设施较好   环境挺好   周边交通较便利。', '短评打分': 5}
{'短评内容': '房间倒是比较大，有早餐，但感觉餐具不是很干净，一次也没吃。', '短评打分': 5}
{'短评内容': '酒店比较实惠，内部条件一般，周边环境太吵。', '短评打分': 3}
{'短评内容': '房间布置比较可以\n住了三个晚上，挺安静的。\n早餐只有油条咸菜咸鸭蛋稀饭，不过也还可以了。\n天津人民很厚道。\n服务很周到。', '短评打分': 5}
{'短评内容': '虽然是老酒店了，环境还不错，还有飞机票预定，周边环境还不错', '短评打分': 5}
{'短评内容': '还可以，卫生不错，价格实惠，总体来看，性价比不错。', '短评打分': 5}
{'短评内容': '房间小，环境比较吵，电视频道少，其他还可以。', '短评打分': 1}
{'短评内容': '酒店很不错，超值，性价比很高！', '短评打分': 3}
{'短评内容': '整体还行，就是酒店餐厅卫生不好，还有估计是刚刚装修，房间有味道', '短评打分': 5}
{'短评内容': '还行吧，没啥特点，还算干净还行吧，没啥特点，还算干净还行吧，没啥特点，还算干净还行吧，没啥特点，还算干净', '短评打分': 5}
{'短评内容': '性价比高，周围交通比较方便，唯一缺点不含早餐', '短评打分': 5}
{'短评内容': '酒店的位置有点不太好找,司机都不太知道.设施还可以,服务员的态度挺好的,值得住个一两天', '短评打分': 5}
{'短评内容': '卫生舒适，亲切热情，宾至如归~~~ 很方便快捷，想朋友们推荐 ~~~', '短评打分': 5}
{'短评内容': '房间隔音不好。', '短评打分': 3}
{'短评内容': '房间隔音效果不是太好设施卫生都一般，酒店的位置一般，价格还是能接受，服务还行。', '短评打分': 5}
{'短评内容': '很不错，性价比很高，从设施看得出来是从新装修的，但愿这些价格不是在开张期间用来吸引客人的，能维持这个性价比就很好，一定会很多人入住。', '短评打分': 5}
{'短评内容': '服务还算可以。                                            ', '短评打分': 5}
{'短评内容': '宾馆的设施一般,总台的服务态度和礼节还好,着装不统一,早餐一般', '短评打分': 3}
{'短评内容': '性价比还不错，只是早餐很差，望尽快改进早餐，吸引更多客人。', '短评打分': 5}
{'短评内容': '酒店环境不错，很干净，就是房间有点小，在屋里时间长了，会有一点压抑的感觉，不过138的价格，已经很让人满意了，早餐我没去吃，所以就不评价了哈~~', '短评打分': 5}
{'短评内容': '酒店很好，性价比超高，装修的很有风格，电视是液晶的，浴室的面积很大，如果在北京，这样的酒店至少300以上，距离塘沽站也很近，打车11元，网速很快，空调也很暖和，以后来到天津还会住在这的，138元能住到这种酒店真不错！', '短评打分': 5}
{'短评内容': '总体来说，给人感觉不错。下次有机会继续入住。', '短评打分': 3}
{'短评内容': '已入住，总体感觉还可以，就是早餐需要改进，冬天了，屋内最好配吹风机', '短评打分': 3}
{'短评内容': '周围环境还可以，附近交通挺方便的，屋内设施还可以，唯一没有吹风机。建议早餐最好是两份', '短评打分': 5}
{'短评内容': '总的来说呢，价格适中，环境不错，就是早餐太简单了点', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '+酒店环境还可以卫生条件也还不错就是房间太小.', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '已入住，很好，谢谢', '短评打分': 5}
{'短评内容': '感觉前台的服务水平很不专业,办公的时候随便说话\\打打闹闹的..不喜欢..', '短评打分': 5}
{'短评内容': '室内条件很不错,硬件很好,服务也很周到,服务人员很热情,这家酒店性价比挺高的.', '短评打分': 5}
{'短评内容': '早餐很差，希望尽快改进，服务和态度还可以，望今后加强管理。', '短评打分': 3}
{'短评内容': '早餐很差，希望服务和各方面尽快上水平，下次看到一个全新的面貌', '短评打分': 1}
