{'短评内容': '很好，很快，很给力！', '短评打分': 5}
{'短评内容': '非常好，早餐也不错，看篮球推荐住这里，很近很方便', '短评打分': 5}
{'短评内容': '早餐丰盛 干净卫生高端大气上档次', '短评打分': 5}
{'短评内容': '体验非常好', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '很好的酒店，五星级，干净，景观好，在太子河边，很漂亮。', '短评打分': 5}
{'短评内容': '很好的酒店，景观很美，很好，很干净。好好好好', '短评打分': 5}
{'短评内容': '打扑克正好，挺敞亮。', '短评打分': 5}
{'短评内容': '还行。不错。已经习惯了用京东办理一切事宜。赞赞赞！', '短评打分': 5}
{'短评内容': '酒店还行，离关门山有点儿远', '短评打分': 5}
{'短评内容': '这个酒店太可惜了，硬件还可以，我们住了一个晚上基本没有睡，烟味太浓，窗户锁死打不开，不透气要憋死，后悔！', '短评打分': 3}
{'短评内容': '环境不错，位置比较好找，服务态度很好，下回有机会还会去的～', '短评打分': 5}
{'短评内容': '最近出差一直住在富虹，各方面都很好，在本溪这边绝对是最好的', '短评打分': 5}
{'短评内容': '挺好的，设施齐全，有冰箱，跟朋友住的805和806，中间的门可以打开，两个屋子是相同的，这点挺好，很方便，我们去看球的，离球馆也很近，打车5分钟都用不了，而且能在宾馆偶遇球员！！晚上饿了也能订外卖，菜凉了还可以帮着加热，美中不足的是屋子里有点冷，浴室淋浴的地上没有挡水的，洗完澡整个卫生间都是水，马桶也不是很好使，别的地方都很满意，下次再去还会选择这家宾馆。', '短评打分': 5}
{'短评内容': '干净整洁。', '短评打分': 5}
{'短评内容': '适合安静的人。', '短评打分': 5}
{'短评内容': '安静舒适，喜欢周围的环境。', '短评打分': 5}
{'短评内容': '安静舒适，周围空气很好', '短评打分': 5}
{'短评内容': '价格可以接受 早餐也还不错 就是离市区远点儿 但酒店内有自助餐 和点餐 价格不怎么贵 所以在酒店完全可以解决 地下室还有卡拉OK', '短评打分': 5}
{'短评内容': '酒店夜景漂亮', '短评打分': 4}
{'短评内容': '有朋友就会安排到这儿，很不错的地方。可以直接的看到最美的景色，河景非常漂亮！河湾的灯光迷离，夜色撩人', '短评打分': 5}
{'短评内容': '本溪最好的酒店，没有之一，客房高端大气，前台服务正规快捷，酒店性价比高！', '短评打分': 5}
{'短评内容': '还行吧。。。。', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '值得选择', '短评打分': 5}
{'短评内容': '地理位置比较好找', '短评打分': 5}
{'短评内容': '本溪最好的酒店了吧，早餐很好，就是附近有火车道，晚上有一点吵。', '短评打分': 5}
{'短评内容': '很好很不错有机会再买', '短评打分': 5}
{'短评内容': '多次入住，一如既往的好，要是能给办个会员卡就好勒、', '短评打分': 5}
{'短评内容': '酒店干净、安静，适于居住，但是酒店中餐偏贵，结账较慢，离城区较远，打出租车方便', '短评打分': 5}
{'短评内容': '停车方便离高速口近，很好!', '短评打分': 3}
{'短评内容': '下了高速不远就到酒店了，建筑物很有特色，很显眼，很容易找。房间条件不错，接近或达到五星级，性价比很高。住在18层，view很好，可以俯瞰太子河景和本溪市，推荐！', '短评打分': 5}
{'短评内容': '住的房间太小了，其他还好。', '短评打分': 3}
{'短评内容': '入住很多次，还是那么好，环境好，服务好，风景好，价位更好。', '短评打分': 5}
{'短评内容': '环境很好，很舒适，格局我很喜欢，客房很干净，服务很好。总之。在这下榻真的很好。', '短评打分': 5}
{'短评内容': '酒店很好，入住很满意。', '短评打分': 3}
{'短评内容': '非常喜欢，感觉非常好，房间和早餐都很好，值得推荐。。。。。。', '短评打分': 5}
{'短评内容': '酒店很好风景好也很干净!', '短评打分': 3}
{'短评内容': '酒店性价比很高，环境绝对是4星往上的，最喜欢这里的床和被，好舒服', '短评打分': 3}
{'短评内容': '非常棒的酒店，四星级，但觉得全方面足够五星，而且依山傍水，风景秀美。', '短评打分': 3}
{'短评内容': '非常不错的酒店，性价比很高，环境优雅，早餐丰富，床根舒服，浴室宽敞，已经连续住2天了，以后还会入住', '短评打分': 3}
{'短评内容': '酒店真的不错，环境好，早餐棒，床舒服，价位合适，真的很超值', '短评打分': 3}
{'短评内容': '早餐很好吃，住的不错，环境很好，设施较新', '短评打分': 5}
{'短评内容': '绝对不错,环境一流,超值啊~~~~~~~~~~~~````````````````', '短评打分': 5}
{'短评内容': '本溪最好的酒店了', '短评打分': 3}
{'短评内容': '很好，环境空气清新，硬件齐全，周围有山有水，推荐。', '短评打分': 5}
{'短评内容': '虽然是淡季入住，有些冷清，但是还要大力推荐，硬件好，服务也不错，刚开始上不了宽带，马上换个房间，值得推荐。', '短评打分': 5}
{'短评内容': '酒店卫生环境均不错，只是服务员沟通能力太差，出了一点小小的插曲，结账时说我消费了几样东西，可是我根本没看见有，在我一再坚持下，查房服务员与前一个服务员沟通后说，没有给我放该物品。如果没有这个还是不错的。', '短评打分': 5}
{'短评内容': '每次到本溪都会住在这里，安静，干净，服务也很好，档次也很高。', '短评打分': 5}
{'短评内容': '硬件还行，服务一般，结帐特慢，位置略偏，但周边环境真不错\n', '短评打分': 5}
{'短评内容': '总体来说,满意.性价比好.总体来说,满意.性价比好.', '短评打分': 5}
{'短评内容': '我很喜欢这个酒店，性价比较高，干净而且安静，我只要一到本溪就会住那里', '短评打分': 5}
{'短评内容': '很好，很不错！', '短评打分': 3}
{'短评内容': '住宿条件与周边环境很好。', '短评打分': 3}
{'短评内容': '很不错，房间大，床大舒服，订到江景的房子的话最享受了。', '短评打分': 5}
{'短评内容': '出乎意料！设施 服务都还不错！下次还会选这家酒店', '短评打分': 5}
{'短评内容': '来本溪经常住这家，前面河后面山，风景不错~ ', '短评打分': 5}
{'短评内容': '除了中央空调没开以外，我对这个酒店的设施和服务是比较满意的。', '短评打分': 5}
