{'短评内容': '从来没住过这样的酒店，卫生差，态度差，', '短评打分': 1}
{'短评内容': '第一次入住，感觉还行。第二次去前台换了一个男的，结果搞的一肚子火，我早上六点多去的，由于手机没电，充电器也没带，就和他商量，我说能不能让我手机冲下电，能开机就行，我携程上下单。他就是不同意，武义我也不熟，而且又是小村庄，我就到处去小店买充电器，结果都没有，到了八点多，我才找到一家卖充电器的，后来跟老板商量了一下，让我冲了十几分钟。然后我开机去携程下订单，结果我就呵呵了，大家自己看图片吧，反正我以后', '短评打分': 1}
{'短评内容': '总体来说还不错，房间干净，服务态度也很好，就是设备有点老旧，但是不影响。值得大家入住，下次还会光顾。', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '我觉得还可以啦～也还干净的', '短评打分': 5}
{'短评内容': '挺好的，很满意，下次再去，挺安静，工作人员态度好，', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店离沁温泉很近，不到一公里，在大路边上，另外边对着田野会比较安静。到的比较迟，值班的人业务不熟，搞了半天。酒店性价比还是可以的，一楼有餐饮，早餐5元每位。房间设施还好，卫生间热水较足，空调也不错。被子有点问题，不过还好不是发霉，是以前霉过。', '短评打分': 4}
{'短评内容': '地点有些偏远，初进酒店感觉很一般，上楼后感觉酒店还是蛮大的，走廊和屋内干净、整洁，水很热，基本设施齐全。早餐5元一位，有稀饭、馒头、点心等，酒店自家做的馒头小孩喜欢，干净卫生。服务员态度热情和蔼，值得点赞。不足：一是房间朝南靠路边，来往车辆声音很吵，影响睡眠；二是毛巾发黄和黑，有些陈旧。三是卫生用纸质量太差。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '挺干净的    楼下的餐厅也很好吃    比预想的好很多', '短评打分': 4}
{'短评内容': '地点略偏但是房间很好，楼下的如意餐厅很好吃，老板太热情差点让我们以为是坏阿姨，结果是真正的好人呀!第二天早上还送我们去了郭洞！期待老板的全产业链构想早日实现～', '短评打分': 5}
{'短评内容': '环境不错，也蛮干净，服务也好，比较安静', '短评打分': 5}
{'短评内容': '这个酒店距离清水湾温泉步行距离大约10分钟。大多数去泡温泉的人都会预定清水湾度假村，不过除了度假村，如意快捷酒店算是规模最大的住宿了。我们住的是靠后的一幢，前面又开始造新的建筑了，看来这规模是无限量的啦~我们住的是经济型的标间，环境非常好，大大的落地窗，空调、电视、淋浴设施都很齐全，而且也很干净。不过一般来这里都是以泡温泉为主，所以淋浴也成了摆设了。不过这里的水应该都是温泉水吧。坐落于温泉区的如意', '短评打分': 3}
{'短评内容': '还不错，离清水湾温泉还算不远，随便住住', '短评打分': 3}
{'短评内容': '酒店不错，性价比高，环境也不错', '短评打分': 3}
{'短评内容': '很安静的酒店~~房间很干净~~离温泉也很近~~适合自驾游~~~就是酒店周围没有什么吃饭的地方~~其他都不错', '短评打分': 5}
{'短评内容': '这是我所住过的最差宾馆之一，房间隔音极差，一夜没有睡好，热水根本不热，冬天洗不了澡，卫生纸和拖鞋是最低档次的，抽水马桶也堵塞，服务员的素质也很差！\n', '短评打分': 1}
{'短评内容': '住的是单人间，房间挺小，隔音效果很差，但是服务态度好，楼下餐馆的菜式不够丰富，周围环境不错。', '短评打分': 5}
{'短评内容': '洒店设施坏了没及时修', '短评打分': 3}
{'短评内容': '相对而言，比住清水湾便宜一点吧。早饭太差了，而且态度一般。性价比可以。', '短评打分': 5}
{'短评内容': '酒店环境不错，客房也很干净。如果是自驾车很容易找到这个酒店，不是自驾车可以去武义汽车东站坐大巴车到清水湾下车步行15分左右就到该酒店。周边也有待开发的的温泉度假村，目前只有清水湾温泉度假村在运营。', '短评打分': 5}
{'短评内容': '离清水湾温泉超劲，500米，就是周围较冷清', '短评打分': 5}
{'短评内容': '少停车位，餐厅太小，达不到三星条件。', '短评打分': 3}
