{'短评内容': '没有停车场', '短评打分': 3}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '常客了，不过感觉酒店在走下陂路', '短评打分': 4}
{'短评内容': '環境不錯，乾淨衛生', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '感谢京东，如此便捷。', '短评打分': 5}
{'短评内容': '交通方便，性价比高，下次再来。', '短评打分': 5}
{'短评内容': '环境不错，蛮干净的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好??????', '短评打分': 5}
{'短评内容': '挺不错，下次还去', '短评打分': 5}
{'短评内容': '我爱这里真的下次我还住这里', '短评打分': 5}
{'短评内容': '就是没有免查房和免交押金，没有阿里做的好', '短评打分': 2}
{'短评内容': '啥也不说了  速度快质量好   售后真诚！  已经是钻石会员了！  希望京东  继续研究下一等级！', '短评打分': 5}
{'短评内容': '环境非常一般', '短评打分': 2}
{'短评内容': '帮同事预订的，说是同价位的相比稍稍逊色，酒店没有浴缸，其它该有的都有。卫生还是可以的，有阳台可以晒点衣服', '短评打分': 4}
{'短评内容': '帮日本同事订的，她们说和同价位的其它酒店有差异，也没有浴缸，勉勉强强还过得去，就是离高铁站比较近去搭高铁比较方便', '短评打分': 4}
{'短评内容': '可能因为住的是一般房型，酒店设备什么的比较一般，埋单的时候还有明明在一间房里连住两晚，结果酒店说第二天住的房子和第一天的不一样要确认导致开发票等了很久差点没赶上高铁', '短评打分': 4}
{'短评内容': '可能因为住的是一般房型，酒店设备什么的比较一般，埋单的时候还有明明在一间房里连住两晚，结果酒店说第二天住的房子和第一天的不一样要确认导致开发票等了很久差点没赶上高铁', '短评打分': 4}
{'短评内容': '不错，环境很好，出行也方便', '短评打分': 5}
{'短评内容': '位置较好，交通方便，房间也很大', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '还不错啊！！！！！！！！！！！！！！！？！？？', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '干净，明亮，总之蛮好的。以后还会考虑来这边的。 ', '短评打分': 5}
{'短评内容': '干净，明亮，总之蛮好的。以后还会考虑来这边的。', '短评打分': 5}
{'短评内容': '很不错，性价比高！强烈推荐入住。房间干净，服务周道。', '短评打分': 5}
{'短评内容': '总体还不错，就是早餐种类变化较少\n网速希望能再快点', '短评打分': 5}
{'短评内容': '硬件设施非常棒的一家全新酒店，环境好，房间舒适。', '短评打分': 5}
{'短评内容': '设备很不错！ 价格也不贵', '短评打分': 3}
{'短评内容': '已经第二次住了，还不错，很合适长期出差的人', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '还不错，房间干净卫生，就是酒店的网络不太好，不但慢，而且还经常断线', '短评打分': 5}
{'短评内容': '硬件设施非常棒的一家全新酒店，环境好，房间舒适。\n前台的服务极不相称，急待提高前台的接待水平，\n在直奔前台而来的客人开口之前，说声“你好！”，应该能做到吧？\n来退房的客人集中的时候，不要手忙脚乱，也不要给客人脸色，应该能做到吧？', '短评打分': 5}
{'短评内容': '酒店附近环境还不错，但是离海边很遠，与介绍不符合。茶叶片及咖啡包都捨不得给。我们住双人房性价比不到位。', '短评打分': 3}
{'短评内容': '出差住，方便，干净即可。出差住，方便，干净即可。出差住，方便，干净即可。出差住，方便，干净即可。', '短评打分': 5}
{'短评内容': '我住的是家庭套房，感觉很OK，星级的享受，就是房里没电脑，不过有网线，我带了本本的！但是电脑还是不够用，建议配备电脑', '短评打分': 5}
{'短评内容': '房间装修很豪华，布局也很好，四星级的价格，五星级的感觉！', '短评打分': 3}
{'短评内容': '性价比高的酒店，行政楼层较安静，楼层高，就是周边吃饭不太方便', '短评打分': 5}
{'短评内容': '打着星级酒店名字，实际类似快捷酒店，中餐，早餐都不好，对于这个价格，偏贵了些，类似住家，也不能说差，中庸，淡水住过很多酒店，想换个看看，所以第一次入住，有些失望，毕竟淡水有很多不错的酒店。', '短评打分': 1}
{'短评内容': '强烈推崇该酒店，酒店装潢很新，房间很大还有阳台，下次还会入住。', '短评打分': 5}
{'短评内容': '非常喜欢该酒店，干净整洁，房间很大还有阳台，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店很新，还有阳台，非常的喜欢。干净整洁，下次还会入住。', '短评打分': 5}
{'短评内容': '房間大,床很舒服,早餐選擇可以接受.唯空調暖氣出风口對着客廳,睡床位置十分冷.', '短评打分': 5}
{'短评内容': '酒店很新，房间也很大，行政楼层高，和标准房比安静些，视野也开阔，性价比高，美中不足是酒店配套设施差了点，没有中餐厅，房间里也没有赠饮，希望改进。', '短评打分': 5}
{'短评内容': '第一次住这个酒店，交通便利，房间宽敞，卫生、配套设施都不错，性价比不错，很满意。', '短评打分': 5}
{'短评内容': '第二次住，房间很新很干净，就是内部没有中餐厅，稍有不便，但价格便宜，不错。', '短评打分': 5}
{'短评内容': '第一次住，房间很新，也满宽敞的，卫生也不错，价格便宜，满意。', '短评打分': 5}
{'短评内容': '上次来惠州也是住这里，新，装修不错，性价比超高。', '短评打分': 5}
{'短评内容': '酒店很新，位置很方便，装修、卫生都不错，早餐品种少了点，但还不错，价格是真便宜，性价比超高！', '短评打分': 5}
