{'短评内容': '性价比不错，服务不错！', '短评打分': 3}
{'短评内容': '依山而建，风景秀丽，而且环境也特别好，住着挺舒服的.', '短评打分': 5}
{'短评内容': '酒店装修时间不长，整体风格也是偏清新自然型，住着感觉挺好的，最主要是渡假村带有温泉，很值得选择入住.', '短评打分': 5}
{'短评内容': '渡假村的娱乐设施比较多.可以说是集旅游休闲为一体，整体给我印象不错.', '短评打分': 5}
{'短评内容': '房间带有温泉，这点很好，来这里主要是泡泡温泉，舒服且怡神，整体条件不错.', '短评打分': 5}
{'短评内容': '设施不怎么样酒店环境还是一般，出行还是可以，服务态度是挺好的，价格也能接受，酒店基本也就是设施设施一般。', '短评打分': 3}
{'短评内容': '酒店的环境还不错，空气很好，房间内装修的也不错，感觉挺干净的。', '短评打分': 5}
{'短评内容': '房间里看起来挺新挺干净的，还有温泉可以泡，感觉住的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的环境很好，依山傍水的，空气很清新，睡眠质量很好。', '短评打分': 5}
{'短评内容': '酒店硬件设施不太好，比较陈旧，酒店的服务方面还不错，而且位置也很好，离旅游风景区都很近', '短评打分': 3}
{'短评内容': '这家酒店环境很差，设施条件也很一般，有些陈旧了。不值得推荐', '短评打分': 1}
