{'短评内容': '环境不错！服务员的态度很好！以后有机会再来', '短评打分': 5}
{'短评内容': '没住过这么糟糕的酒店。二星都不如。房间又小又脏，和在喀什定的同价位的温州大酒店天上地下的差别。是此次新疆一月游住的最差的。', '短评打分': 3}
{'短评内容': '太旧了', '短评打分': 3}
{'短评内容': '，房间小，设施旧，价格贵。不推荐。', '短评打分': 3}
{'短评内容': '宾馆式样老化，需要改进装修、早餐太差四星级不够。', '短评打分': 1}
{'短评内容': '酒店比较老，环境尚可，服务可以，早餐在丰富点就好了。', '短评打分': 5}
{'短评内容': '装修并不精致，但是基本的用品很齐备，适合在新疆地区旅游的朋友居住。', '短评打分': 5}
{'短评内容': '做为一个四星级的酒店，就算是新疆，也应该说是很差的了，无论是服务，卫生还是硬件，真的配不上四星的标准.', '短评打分': 1}
{'短评内容': '不知道吐鲁番其他酒店的情况，所以……快捷酒店的水平，但是明显老旧，不如快捷。四星？大大的问号', '短评打分': 1}
{'短评内容': '虽然是吐鲁番的四星级酒店，但是早餐实在是简单的可怜，只有大米粥小米粥，豆浆和几样凉菜炒菜。我去的时节正式吐鲁番瓜果成熟的季节，可是早餐一点水果都没有。上网是额外付费的，结账的时候听旁边的客人说网络没有修理好不能用，但是还是要人家付网费的。另外，房费是入住的时候就提前刷卡结账的，退房时如果检查没有额外消费就不用在结账了，倒是省却了点时间。', '短评打分': 1}
{'短评内容': ' 条件一般般 ', '短评打分': 3}
{'短评内容': '酒店马马虎虎 但是有钱的话推荐住跟好的', '短评打分': 3}
{'短评内容': '酒店的房间有霉味，位置不错，交通很方便，就是设施比较陈旧，房间有霉味。可能主楼要好一点。', '短评打分': 5}
{'短评内容': '环境舒适，地点好，交通方便。服务员态度不错，值得推荐！', '短评打分': 5}
{'短评内容': '酒店本身很豪华,早饭也不错.住的是老楼,有些陈旧了,房间也小,但很干净.地理位置很中心,相当便利.除了价钱贵了点,其实还不错.', '短评打分': 1}
{'短评内容': '实在是不想推荐这里！屋内昏暗无比，卫生条件差。厕所马桶坏了，找人修理，厕所顶上的滴答声实在影响睡觉，找服务员，服务员说所有房间都这样。要求换房间，服务员说客满，切态度实在。。。不好言说。', '短评打分': 1}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '房间是稍微有些旧了，房间卫生设施还可以就是一般的建设时间比较久酒店，位置还是蛮好找的，服务价格比较适中的。', '短评打分': 5}
{'短评内容': '硬件设施和软件都不是很好.环境也不好，房间蚊子很多.整体我个人感觉不好.', '短评打分': 1}
{'短评内容': '卫生还可以，就是房间面积太小了很不舒适。下次应该不会入住这家店了！', '短评打分': 1}
{'短评内容': '我觉得价格挺实惠的，位置也蛮好的，位于繁华地段上，周边购物交通都挺方便的。可能因为时差关系，他们那边休息要晚点，所以有些不太适应。感觉有些吵，整体感觉这家酒店在那边算是比较好的了。值得推荐', '短评打分': 5}
{'短评内容': '垃圾中的垃圾，只有门面能看房间的设施烂的不能再烂~！', '短评打分': 1}
{'短评内容': '感觉还不错，住的还比较合适，附近出行也方便', '短评打分': 3}
{'短评内容': '服务不好，网订房间是该饭店最差的招待所级别房间，后来加价调到更贵的房间还勉强接受，该店只要交钱就不能退房，哪怕是一进房间就不能退，态度极为生硬，万不可入住！', '短评打分': 1}
{'短评内容': '吵，不安静，早餐不好，服务一般，只能用现金。', '短评打分': 1}
