{'短评内容': '位置好，但早餐很一般', '短评打分': 3}
{'短评内容': '这个酒店不值这个价钱很脏！', '短评打分': 3}
{'短评内容': '环境还不错，房间比较大。希望早餐质量能有改善。', '短评打分': 5}
{'短评内容': '位置不错，交通便利。\n毛巾破旧、早餐不好。', '短评打分': 5}
{'短评内容': '酒店交通便利', '短评打分': 3}
{'短评内容': '没早餐和其他增值服务。但前台的服务是值得肯定的。', '短评打分': 1}
{'短评内容': '环境很好，位置也不错。', '短评打分': 3}
{'短评内容': '不错！…………卫生条件不错！…………！！！！！！！！', '短评打分': 5}
{'短评内容': '房间够大 总体挺好的 但早餐不太好吃 望能改进', '短评打分': 3}
{'短评内容': '地方有点偏，但还是比较干净整洁，总体来说还可以。', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，酒店设施还好，服务周到，早餐稍显简单。', '短评打分': 5}
{'短评内容': '酒店房间很大，环境也很安静，如果论硬件其实个人觉得比附近的四星的昱圣苑酒店要好，而且价格要便宜很多。但是也有缺点，第一服务还有待提升，办点什么事情都显得很拖拉。第二酒店的空调质量很差，加热半天也没效果，这个价位有点对不住。第三就是热水好像有点问题，总是断断续续，我来这里住过三次了，不同的房间都有这样的问题。', '短评打分': 5}
{'短评内容': '酒店空调不好用，冬天在室内的话靠你自己体温取暖，早饭太恶心，而且更恶心的是早饭 的饭桌只能用4张，所以你吃饭的时候得耳鬓厮磨。 ', '短评打分': 1}
{'短评内容': '在大连常住的酒店，条件还不错，下次还会再住这里', '短评打分': 5}
{'短评内容': '挺不错的，房间非常大，内部设施很齐全。前台服务也不错', '短评打分': 5}
{'短评内容': '酒店房间挺大，空调不太好用，好冷。早餐品种太少，总的来说，还可以。', '短评打分': 5}
{'短评内容': '位置好，交通便利。去年开始每次来大连都住这。但是今年怎么觉得冷清呢？', '短评打分': 5}
{'短评内容': '去年不错，立挺。今年感觉个方面有所下降，尤其是早餐。希望加强。', '短评打分': 5}
{'短评内容': '位置不错，交通便利。\n早餐不如去年，开发票居然还要公司机构代码，真麻烦！', '短评打分': 5}
{'短评内容': '房间明亮，感觉很好，很温馨。服务也很好。', '短评打分': 5}
{'短评内容': '設備不錯，就是打掃不乾淨，剛入住就發現地上有方便麵的渣', '短评打分': 3}
{'短评内容': '按照这个价位，酒店就算不错的了，位置也不错，就是早餐过于简单。', '短评打分': 5}
{'短评内容': '酒店房间不小  设施新  性价比可以', '短评打分': 3}
{'短评内容': '条件很好，位置也不错，交通很方便，性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '房间很大 空调很暖和 早餐一般 门口打车挺方便的', '短评打分': 5}
{'短评内容': '位置还行。老板太抠。\n\n餐厅很贵，点菜是贵了点。可能受金融危影响吧？', '短评打分': 1}
{'短评内容': '晚上回到房间准备洗澡，在淋浴房里等了好久竟然没有热水，来了工程师说是泵停了，没能切换上备泵。于是穿着浴袍等着，近一个小时后还是没有，也不见服务员来打招呼。后来催了好几次，前台终于回复泵坏了，要明天修。这样的应急响应服务实在太糟了。', '短评打分': 1}
{'短评内容': '房间很干净，面积也不小，就是早餐的品种和质量不太让人满意，希望改进。\n', '短评打分': 5}
{'短评内容': '还不错，挺气派。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境好，设施新，就是有点冷，整体感觉很好。。。值得推荐！', '短评打分': 5}
{'短评内容': '房间干净，面积也不小，就是早餐的品种和质量不太让人满意。', '短评打分': 5}
