{'descr': '不不错错，挺好的，被子有点薄，网络不好！别的还可以', 'star': 5}
{'descr': '房间不太大，主要是去对面医院方便', 'star': 5}
{'descr': '好好', 'star': 5}
{'descr': '好好', 'star': 5}
{'descr': '好好', 'star': 5}
{'descr': '服务好，有什么问题前台能很快解决', 'star': 4}
{'descr': '好，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '好好好好好好好好好好好好好', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '酒店位置很好，附近有家乐福，7-11。买东西非常方便。前台服务人员态度很好，房间的卫生条件一般，床下还有空的矿泉水瓶子，晚上塞卡片的特别多，很不开心，wife根本就没有信号，用不了！', 'star': 5}
{'descr': '很小的房间 我们订了两间，7层的里面那间，一开门就是发霉味儿！要不是十一期间不好订房，我是肯定要退掉的！', 'star': 5}
{'descr': '用一个字形容一下这个酒店房间：小！', 'star': 5}
{'descr': '服务员态度很好 房间干净', 'star': 5}
{'descr': '位置在中心位置，购物逛街很便利，打车不好打。卫生不好，床单都是黑色的。', 'star': 5}
{'descr': '挺好的 一直选择的这家', 'star': 5}
{'descr': '全国连锁 品质有保障', 'star': 5}
{'descr': '好&hellip;。。。。。。。。。', 'star': 5}
{'descr': '凑合  环境一般', 'star': 5}
{'descr': '很不错。和想象中的一样。一次还会去的。', 'star': 5}
{'descr': '这个店还是。很不错的，我是来天津参加研讨会的，非常好。', 'star': 5}
{'descr': '第一次用白条住酒店，一直都是用信用住。不过还是挺快捷的，以后会常用京东。', 'star': 5}
{'descr': '只能说给予了过高的期望，还可以', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '住宿环境蛮好的', 'star': 5}
{'descr': '住宿环境蛮好的', 'star': 5}
{'descr': '很棒', 'star': 5}
{'descr': '还不错，离联通近', 'star': 4}
{'descr': '条件简陋，没有达到快捷酒店的档次，下次不会住了', 'star': 3}
{'descr': '好好好好好好好好好好好好', 'star': 5}
{'descr': '对于此价格不能要求太高，酒店真的太老了，走廊里回散着一股霉味，房间卫生间很臭，浴帘衣服尿骚味，如果不是为了离医院近绝不会选择在此居住！', 'star': 1}
{'descr': '环境还行，面积稍微小了一点点，但是周边环境可以，离市中心很近', 'star': 4}
{'descr': '房间稍微小了点，但是总体上还算干净，总体一般住住没问题的  ', 'star': 4}
{'descr': '酒店环境一般，就是地理位置好出门方便。', 'star': 4}
{'descr': '离血研所近，过马路就到，估计住在这里的人都是因为这个原因吧！周边繁华，就是如家真的不如家。', 'star': 4}
{'descr': '希望提高卫生，', 'star': 5}
{'descr': '位置好找，硬件还算可以，干净就行。设施不是特新的那种。经济吗。', 'star': 5}
{'descr': '卫生条件还可以，很干净，基本满足需要', 'star': 4}
{'descr': '还不错，非常热情', 'star': 5}
{'descr': '房间有味道', 'star': 3}
{'descr': '如果是去和平区南京路办事或是去天津血液病研究所是很方便的。酒店服务和卫生都不错。', 'star': 5}
{'descr': '第二次住了，也是出差，优点一如既往，缺点是大床房都临街很吵，且借用吹风机还要很快归还，独自出差的女士怎么可能洗浴后归还？', 'star': 5}
{'descr': '性价比不错哦！很适合家庭旅游的休息地，干净、安静。', 'star': 5}
{'descr': '商务大床很舒服，好像在家里一样。就是能否把枕头换一下，太软了。', 'star': 5}
{'descr': '酒店的毛巾等物品很旧，特别无法容忍的是卫生间的尔地板很滑，我前天穿着酒店提供的拖鞋出洗澡间，就滑倒在地上，很后怕。希望酒店为了安全起见，可否给客人提供防滑的塑料拖鞋。能够真正关心客人的生命健康。', 'star': 1}
{'descr': '挺好的，只是太小了', 'star': 3}
{'descr': '这次是为了考试去的，南京路的如家环境不错，周围交通也很方便，相距一个路口上就有地铁站，同时酒店的服务也很周到！以后出门首选如家！大赞！', 'star': 5}
{'descr': '酒店价格、位置都能可以，就是设施有些旧。', 'star': 5}
{'descr': '价格还可以，但是设施较旧。我住的房间淋浴水龙头拔不起来，只能蹲在地上洗澡。', 'star': 5}
{'descr': '不错 蛮干净的', 'star': 3}
{'descr': '为了带孩子检查身体去的，离血液病研究所很近，很方便。', 'star': 5}
{'descr': '卫生干净，交通便利。', 'star': 3}
{'descr': '帮朋友定的，因为到医科院血研所看病，很方便的，只是停车比较困难', 'star': 5}
{'descr': '我是19点多开的房间，前台说让我出去先吃饭，房间还没打扫，说一个小时之后可以，然后我20点30左右回来，说还没打扫，让再等半个小时。。。。到了21点我终于进了房间，这时候，服务生还在打扫卫生间，我真是无语了，本来打扫早点准备洗漱休息，明天考试的。。。。我啥也不说了。。。', 'star': 1}
{'descr': '位置很好，但北侧房间噪音太大。', 'star': 3}
{'descr': '卫生条件一般，豪华大床房间紧挨马路，夜间很吵。', 'star': 1}
{'descr': '地理位置还可以，离地铁站很近，而且还有免费存包服务，很好。但卫生应该注意，住的时候床上有3个枕头都是发黄的', 'star': 5}
{'descr': '住宿条件挺好停车场小点', 'star': 3}
{'descr': '感觉不错的，比较温馨，干净···，地点也很好，交通方便！', 'star': 5}
{'descr': '房间设施太少，网速太慢，但房间还算干净', 'star': 3}
{'descr': '房间比较旧，餐厅极差，40元的孜然羊肉有20元圆葱20元肥肉 整体来说比附近的格林豪泰差远了', 'star': 3}
{'descr': '地理位置佳,电视频道丰富,不足:特加房面积小,门板隔音略差,', 'star': 5}
{'descr': '第二次入住该店，比较干净，服务态度甚好，未处繁华址段，价格相对偏高，总的来说是不错的。', 'star': 5}
{'descr': '环境不错，就是有点吵', 'star': 3}
{'descr': '处在繁华的闹市区，打车方便 其他都一般吧', 'star': 5}
{'descr': ' 不错 房间环境价格挺很合适', 'star': 3}
{'descr': '位置挺好，价格比会员价贵，房间小，大床房只能一个人住，靠马路边的房间太吵了，没有停车位，最大的缺点是房间太热太热了！', 'star': 3}
{'descr': '新酒店，电视是液晶的。住的套房，带电脑，但是房型不是很好，卧室空间小，旁边是工地，很吵。', 'star': 5}
{'descr': '这里离鞍山道比较近 坐车很方便 就是楼层比较高 酒店环境比较好', 'star': 5}
{'descr': '房间有些小吧,可能是因为天津消费水平高的原因?反正没有济南火车站店的实惠啊!!!', 'star': 5}
{'descr': '房间环境太差，浴房太小、房间隔音性能极差、被褥卫生情况难以恭维。', 'star': 1}
{'descr': '环境很好，有一点小吵，因为靠近大马路。购物什么的比较方便。', 'star': 3}
{'descr': '地理位置比较好，走到商业圈也就10多分钟，只是太靠近主干道有点儿吵，服务态度较好！', 'star': 5}
