{'短评内容': '交通很方便，出來就可以逛大街。到外灘和各個重要景點都非常容易。美中不足就是需要把一段樓梯才有電梯。你家有老人，或行動不便的就不煩，不適合了。', '短评打分': 4}
{'短评内容': '环境不错，前台服务也热情！', '短评打分': 5}
{'短评内容': '人到了，房间还没有收拾干净，而且都已经12点了', '短评打分': 3}
{'短评内容': '一般般不是太好 ', '短评打分': 4}
{'短评内容': '多次入住酒店，各方面非常好', '短评打分': 5}
{'短评内容': '舒服，热闹，老上海的风格', '短评打分': 5}
{'短评内容': '测试', '短评打分': 5}
{'短评内容': '不要订假日酒店，房间面积特别小，可用面积也就是八平米，这还是高级房标准，电梯装四个人保证转不开身，店家所有上图都不真实，图上的楼也不是他们的酒店，是临街的店面，劝大家慎重，订房最好是诚信连锁店', '短评打分': 5}
{'短评内容': '整体还好，就是房间有点小旧', '短评打分': 5}
{'短评内容': '方便出行，干净卫生，价格便宜。', '短评打分': 5}
{'短评内容': '没有想象中的好，', '短评打分': 5}
{'短评内容': '非常好 老上海的特色房子 前台阿姨人好 房间赶紧 位置超好 去哪都方便', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 4}
{'短评内容': '房间卫生一般，不是很理想，周边环境一般有点吵，酒店服务一般，不想多说，设备设施老古董，不想多望一眼。', '短评打分': 3}
{'短评内容': '大失所望。', '短评打分': 2}
{'短评内容': '地理位置很好，就是设施陈旧', '短评打分': 5}
{'短评内容': '周边性价比较高的酒店', '短评打分': 4}
{'短评内容': '一直入住该酒店，是他家的老客人了，服务态度非常好，以前房间有点老旧，最近都重新装修好了，房间品质更舒适更宽敞了，以后还会继续入住', '短评打分': 5}
{'短评内容': '位置绝佳', '短评打分': 4}
{'短评内容': '环境可以，出行较方便，不错', '短评打分': 5}
{'短评内容': 'とにかくロケーションが良い。人民広場駅からすぐ。金額も手頃でした。裏通りにはコンビニも近く、食事をする店にも困りませんでした。', '短评打分': 5}
{'短评内容': '周边属于闹市区，购物交通都比较方便。酒店服务还不错，装修和设施比较陈旧，但也还齐全干净，就是感觉比较暗，可能是深红色地毯的原因。虽然在闹市但还比较安静，不影响休息，有点闹中取静的意思。电梯真的很袖珍，可能找不到比这更小的了。房价嘛这个地段也只能这样了。', '短评打分': 5}
{'短评内容': '酒店地理位置极佳，出行方便，设施比较老，卫生条件一般～', '短评打分': 4}
{'短评内容': '很不错   物美价廉 交通方便', '短评打分': 5}
