{'短评内容': '第二次来了  温泉首选碧水湾 零瑕疵', '短评打分': 5}
{'短评内容': '服务非常好，生日送了蛋糕，也加钱升了房型，温泉应该是从化最好的，唯一一点是隔音效果有待加强。', '短评打分': 5}
{'短评内容': '服务很好，环境不错', '短评打分': 5}
{'短评内容': '服务越来越周到细致了，环境也是一如既往的干净整洁，这个季节泡温泉实在太舒服了，各方面都很满意，必须满分！', '短评打分': 5}
{'短评内容': '服务非常好，自助早餐丰富味道不错，值得一来！', '短评打分': 5}
{'短评内容': '服务一流，卫生很好，温泉干净水质好，餐饮味道不错，爬山路径很好，周边绿化好，环境一流，我很满意，下次再来', '短评打分': 5}
{'短评内容': '棒棒哒～超赞', '短评打分': 5}
{'短评内容': '很满意，房间很干净，服务超好。泡温泉很舒服!下次再来!', '短评打分': 5}
{'短评内容': '早餐種類非常多，服務又快又熱情，溫泉設施很好，在這裡可以享受賓至如歸的感受，下次一定會再帶親朋好友一起來住', '短评打分': 5}
{'短评内容': '服务还是一如既往的好～', '短评打分': 5}
{'短评内容': '我已经来过很多次了，就是冲着这里的环境；温泉池、泳池、客房的卫生都非常干净；特别是服务员态度非常好！周边环境也不错，空气质量非常好！', '短评打分': 5}
{'短评内容': '还行吧，离店，前台客服说了才知道有房间里有冰箱！前几年的服务要比现在的要热情，真诚一些！温泉里面的表演之前是杂技演出！现在变得服务员在演，看不出在干嘛！', '短评打分': 5}
{'短评内容': '很好，常去', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧，但服务比较好', '短评打分': 4}
{'短评内容': '酒店有点旧，但服务很好，温泉不错的，吃饭也便宜', '短评打分': 4}
{'短评内容': '环境不错，房间安静，温泉服务特别棒，下次还会来，推荐朋友也一起来。', '短评打分': 5}
{'短评内容': '环境服务都非常棒，四星价格，五星服务，值得下次再来。乌语花香，风景优美，所有工作人员很有礼貌，服务非常贴心，泡温泉时每隔几分钟会递上热热的姜茶、花茶，细心地摆放好鞋子，在你未披毛巾站在外面看风景时，会贴心地为你披上毛巾……在这凉凉的冬日，如这阳光洒在身上，暖暖的，无与伦比的美好的时光，只叹岁月静好。', '短评打分': 5}
{'短评内容': '服务好，环境好！', '短评打分': 5}
{'短评内容': '服务很好，很用心！值得一去。', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '服务很棒，酒店房间偏小，能增加儿童护栏就更好了', '短评打分': 5}
{'短评内容': '环境很好，服务很到位贴心。', '短评打分': 5}
{'短评内容': '很干净舒服，服务很人性化，还有小宝宝的洗漱用品！', '短评打分': 5}
{'短评内容': '5星级的度假村', '短评打分': 5}
{'短评内容': '离广州很近，服务态度很好，但是房间有点小', '短评打分': 5}
{'短评内容': 'very good!', '短评打分': 5}
{'短评内容': '环境优美，服务非常贴心，下雨天服务员一点没少，送茶送水亲切周到。', '短评打分': 5}
{'短评内容': '环境很好，就是那天下雨有点小失望', '短评打分': 5}
{'短评内容': '环境好，服务好。有特色。', '短评打分': 5}
