{'descr': '位置好，服务好，设施齐全，推荐，下次还会去。', 'star': 5}
{'descr': '酒店整体环境不错，暖气非常的暖和，而且挺安静，不过就是，觉得服务员比较马虎，00407房间有人了，还跟我开房，结果弄得挺尴尬，其他没什么毛病，房间也很干净，热水。也比较暖和', 'star': 5}
{'descr': '性价比高，不错', 'star': 5}
{'descr': '房间挺大，有点味道，', 'star': 4}
{'descr': '房酒店离包头站打车20块钱，离包钢很近。酒店内部非常好，打扫太干净了，房间很大，有沙发，早饭一般。属于外部看一般，房间内确实让人眼前一亮！', 'star': 5}
{'descr': '宾馆有点韬光养晦的感觉，从外面看，感觉不是很大气，但是进到房间后，整体感觉还很好，房间干净卫生，酒店东西应有尽有，性价比很好。 另外要特别说的是，这家酒', 'star': 5}
{'descr': '家楼下的快捷酒店', 'star': 5}
{'descr': '连住2天，去包钢办事很近很方便!酒店设施齐全，暖气很给力。酒店性价比 较高！ 值得推荐，下次还会去住的！@', 'star': 4}
{'descr': '因要进包钢办事，因此选的这个酒店。出了酒店大门，走几步就是公交站，李包钢很近，很方便。酒店pang边就是超市。', 'star': 4}
{'descr': '不错，房间大，条件好。交通方便', 'star': 5}
{'descr': '还可以吧！出差就住下了，价格在不同网价格不同，无餐厅，服务还行吧！', 'star': 4}
{'descr': '交通便利，房间比较大，水温较好，无餐厅，房间有点味道，就是还停电。', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '酒店费用有点高，性价比不高', 'star': 3}
{'descr': '性价比还可以。楼下就有华联超市，交通也还方便。', 'star': 4}
{'descr': '经济型酒店，环境一般。楼下有华联超市。', 'star': 4}
{'descr': '房间设施卫生还可以，酒店在钢铁大街最西，所以如果是去包钢办事住这里还是比较方便。', 'star': 5}
