{'descr': '设备不好。', 'star': 4}
{'descr': '宾馆一般 有机场接送服务', 'star': 3}
{'descr': '宾馆一般 有机场接送', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '坐早班飞机，无早餐，服务员较热情。', 'star': 3}
{'descr': '一般', 'star': 4}
{'descr': '实在没办法才住的！', 'star': 3}
{'descr': '第二次入住了，还是比较方便的，也很卫生', 'star': 5}
{'descr': '前台服务员比较不会处理事情，一句不知道就不管顾客了，我看到她对好几个顾客都是这样。感觉这家酒店管理不是很规范', 'star': 1}
{'descr': '酒店还算不错，干净', 'star': 3}
{'descr': '酒店位置距离机场还是有点远,在禄口镇上,有车接送机场,但司机开始把我们送错地方了.到酒店后房间有很重的臭味,让服务员换房间,开始还不同意说是没有房间了,,我们要求退房才给我们换了房间.禄口镇距离市区还很远,交通很不方便', 'star': 1}
{'descr': '酒店不错 服务很好。', 'star': 3}
{'descr': '  住的很舒服 送机的车服务也很好 屋内装修很贴心  比起其它连锁贴心一些 早餐做得很好吃 以后坐飞机回家会一直选择欧泰 前台两个女士服务很热情', 'star': 3}
{'descr': '有专门的机场接送服务，很方便！前台的服务态度也不错！但晚上有点吵。', 'star': 5}
{'descr': '离机场很近，而且老板早上会送我们去机场。房间还可以，有点小，窗帘颜色太红了。周边相应的设施比较少，没什么好吃的。', 'star': 5}
{'descr': '很小巧', 'star': 3}
{'descr': '服务态度很好，有接送机服务，比较方便。', 'star': 3}
{'descr': '离机场很近，非常方便，早上叫醒，不会误飞机，', 'star': 5}
{'descr': '转机有接送还不错，条件太一般！吃饭也还算挺方便，将就的话可以；讲究的话不行！', 'star': 5}
{'descr': '24 小时机场接送。虽然从酒店附近很难找到出租车去南京市中心，酒店服务员为我们叫了一部车，真谢谢。标间很舒服干净。', 'star': 5}
{'descr': '禄口店位置还算可以，但外观很差，条件很一般，楼梯很陡，提箱上楼很吃力，房内设施陈旧。房价较贵。', 'star': 3}
{'descr': '服务可以，声音大点', 'star': 3}
{'descr': '服务挺好的，还安排车送我们去机场。', 'star': 3}
{'descr': '比较偏，离机场约10分钟，酒店有车接送。房间隔音很差，服务态度很好。', 'star': 5}
{'descr': '房间还可以，圆床的话，我一个女生住刚好，男生估计要伸不开腿了。不过相比价格来说，有点贵，不过去机场确实很方便，早上车免费送，10min到机场。花这个价钱，也还算可以', 'star': 5}
{'descr': '隔音效果不好，床比较硬，其它还行吧，离机场比较远，但管接送，吃东西比较方便，也比较安全，适合做早班机或者晚上回来迟的', 'star': 5}
{'descr': '酒店位置离机场还是蛮远的，因为是早班飞机所以选了这里，酒店电话居然外线打不进来，坑爹的设计，好处就是可以接送机，但是早班只能选离你航班较近的时间出发', 'star': 5}
{'descr': '酒店床很舒服呀、就是能多个放行李的地方就更好啦、态度很好、管机场接送很方便、哈哈', 'star': 3}
{'descr': '床很小，还算干净，开始没有网线，有了网线又上不了网，但是过了几个小时有人帮忙搞定了，晚上洗澡发现下水道不下水，水漫到了房间里，差点湿了行李，后面折腾半天终于弄干净了，住的307，楼下是吧台，隔音不好，能听到吧台的电视和说话声，吃饭时间还能闻到老板他们炒菜的味道···郁闷，好的是服务态度还不错，位置离机场近，我早上7点半的飞机六点免费送我去的机场，比较近，10分钟左右就到了，但是说实话，不推荐，坐公', 'star': 1}
{'descr': '性价比不错，房间挺好的，也很安静。周边环境差点，总体还不错。', 'star': 5}
{'descr': '地方比较小，也就是红眼机的时候住宿一下。现在有了晚班大巴，建议晚到的还是去市区住比较方便', 'star': 1}
{'descr': '又偏又小,机场的士都不愿意去,唯一的好处就是能送机', 'star': 1}
{'descr': '酒店很干净，老板也很热情，关键是可以接送机，减少了很多麻烦。因为在学校附近，周围超市的东西很便宜，而且吃的东西不少，物美价廉!', 'star': 3}
{'descr': '有接机服务，挺好的。我晚上十一点半到禄口机场，他们派人去接，第二天也管送去坐机场大巴，挺好的~', 'star': 5}
{'descr': '只能说还好，一般般，在大学旁边，主要是叫醒服务很好', 'star': 1}
{'descr': '还好了 不错 可以住 替朋友订的 .要求不高.', 'star': 5}
{'descr': '地点有些偏僻，赶飞机才来住的，环境不太好。', 'star': 1}
{'descr': '很好，有接机服务！圆床房很大、很舒服！', 'star': 3}
{'descr': '位置比较偏僻，晚上8点多到酒店外面都没有卖吃的了。说好会有车子到机场接的却没人接，只好打车到酒店，离机场较远。还好第二天酒店的车子送到机场。', 'star': 5}
{'descr': '中转和临时住宿不错的地方，只要别太挑剔！', 'star': 5}
{'descr': '服务好。早上有专车去机场。_[____________________', 'star': 5}
{'descr': '酒店接机服务很好', 'star': 3}
{'descr': '还不错。其实离机场还有点远，不过好在有接送机的服务，我也是冲着这个去的。房间环境还不错，不过设备有点老旧，如果价格能再120左右我觉得就差不多了，我定的是158的。', 'star': 5}
{'descr': '房间很小,圆床的被子盖不到头,还有卫生间的换气坏了,但是你要是坐早班飞机他家有专车送,还是很好的,', 'star': 3}
{'descr': '去机场很方便，大早晨还免费送去机场，很不错', 'star': 3}
{'descr': '住的是圆床房，环境很好，很干净，二十四小时热水，然后对机场免费接送，这个价位还是可以的···', 'star': 5}
{'descr': '酒店不错，卫生服务态度好。早上免费送机场。坐早班飞机的朋友选这酒店还真不错。', 'star': 3}
{'descr': '酒店服务态度好，距离飞机场较近，有车免费接送，方便旅客出行。', 'star': 5}
{'descr': '超级冷，空调没什么用，冬天的时候不推荐！接送服务还不错！', 'star': 1}
{'descr': '  挺好，赶早上飞机的人可以选择这里，比那些机场旅馆便宜好多，有车接送非常方便。', 'star': 5}
{'descr': '我定了3间房，一早走的早，开发票，前台小伙说要到另外一个店开，可是早上太黑又急就没开。能否补寄发票？邮费可以快递到付或我提前支付？', 'star': 5}
{'descr': '本人头一次来住.问口面度小了点.服务太度还好.就是没服务员帮忙带路.还有点好的就是能接送机场.', 'star': 3}
{'descr': '靠近机场，价格合理，房间干净整洁，是转机的合理选择。', 'star': 5}
{'descr': '挺好的宾馆，服务很好,附近小吃也挺多。', 'star': 3}
{'descr': '服务最好了的，环境还可以，除了隔音效果欠佳', 'star': 3}
{'descr': '宾馆不错，服务态度也挺好', 'star': 3}
{'descr': '到机场后有接送服务，离机场不是太近 三四公里的样子 圆床好像取电插槽有问题 给我们换的大床 些许遗憾 早晨5.30送机 这么早都送 挺难的 不过 接送的小哥很酷 酷毙了。。', 'star': 5}
{'descr': '嗯～前台的阿姨（姐姐？）人很好哎～服务很好，主要就是接送机最好啦～呵呵', 'star': 3}
{'descr': '到了机场之后打电话~几分钟之后酒店就来人接我们了~很及时~酒店也不错的~', 'star': 5}
{'descr': '房间有点小，比较干净，在学校旁边，很安全.就是没有一次性拖鞋', 'star': 3}
{'descr': '卫生不是很好，就是靠近机场，在103县道边上金城学院对面', 'star': 1}
{'descr': '设施齐全，干净整洁。但空调声音太吵，隔音效果也不好。望改进。', 'star': 3}
{'descr': '地点其实不偏，不过入住时夜黑风高，蒙蒙细雨，加上遇人不淑打到黑车……总之，入住时已经是凌晨1点40左右了，店主人很好，提议给我们换成比较方便的房间。第二天叫醒服务也很好，六点十分左右出发被送到禄口机场，从入住开始的事情就变得很顺利了。', 'star': 5}
{'descr': '房间太小', 'star': 3}
{'descr': '不错恩\n挺干净宽大的。。。\n值得的。。....................', 'star': 5}
{'descr': '酒店的接送服务不错，我下了飞机，打了酒店电话，很快车就到了。房间不是很大，但很干净，蛮清爽的。', 'star': 5}
{'descr': '离机场还是很近的，我们是机场大巴到机场后，酒店约计15分钟过来接我们去酒店，大约15分钟车程到酒店。酒店没有想象中的那么好，房间很小，水也不是很热，但是也对得起这个价格了，毕竟中转去机场的没办法。酒店的楼下有很多小吃和饭店，用餐比较方便。第二天一早酒店司机冒着大雾送我们去机场，很感谢。总体来说较满意。', 'star': 5}
{'descr': '门面太小了，跟网上照片上看到的不一样，房间里的设施与一般连锁店不能相比。离机场较远，很难找。前台的态度倒是挺好，吃饭很方便。', 'star': 1}
{'descr': '很好～很不错～旁边就是一所大学～很有台湾味道', 'star': 5}
{'descr': '酒店的老板很热心，里机场很近。酒店老板会按照汽车到机场接送。不过就是楼下有点吵的。', 'star': 5}
{'descr': '非常好的酒店，最最让人感动的是他们的服务，有接机，送机，非常的方便', 'star': 5}
{'descr': '环境还行，就是硬件设施不过硬，还好前台很热心，问题都会耐心解决，我是冲机场接送车去的', 'star': 3}
{'descr': '不咋的。。真的。住得我纠结。就接送方便。。。。。。。', 'star': 1}
{'descr': '这家酒店条件太差，房间凌乱，窗帘半掉落，半夜居然还停电', 'star': 1}
{'descr': '靠近机场比较方便 但是该酒店就是旅馆！房间真的好小，主要是周边学校的学生！', 'star': 1}
{'descr': '卫生还好，只是服务员没有时间观念，早上也缺少叫酲服务。', 'star': 3}
{'descr': ' 方便', 'star': 3}
{'descr': '环境很好，还有车接送。不错哦', 'star': 3}
{'descr': '离机场近，提供接，送机服务，前台服务很热心，房间整体来说也不错，比较推荐！', 'star': 5}
{'descr': ' 服务很好，卫生也干净，离机场很近，早上还有人送我的去机场，很感激。\r\n益高卫浴胡玉芬', 'star': 3}
{'descr': '有接送机哦，虽然酒店房间比较小，但是东西还算齐备（风筒有限，先借先得），只是过路客的话，还是挺方便的。前台的服务哥哥还是不错的，会热情帮忙解决问题。隔音比较差，如果睡觉轻的童鞋可能麻烦点儿。楼下就有超市，晚上还有很多的路边摊，推荐烤全羊（3元一两）、考鱿鱼和全素菜饼（有鸡蛋，菜有数种可自选）。', 'star': 5}
{'descr': '有接送服务很好，房间也比较干净。但是圆床房不够长，要稍微蜷着睡。', 'star': 5}
{'descr': '酒店的环境还不错，靠近学校，周边吃饭还挺方便，主要还是酒店有车接送。', 'star': 5}
{'descr': '安全有保障，环境不敢恭维。一般情况吧~~', 'star': 5}
{'descr': '酒店挺好的。离机场也近。对面就是一所大学，附近的小吃也比较多，不错', 'star': 5}
{'descr': ' 总体环境有点吵 晚上要是有点服务就好了 隔音效果不是很好 发票也没了 不知道会不会寄来 免费机场接送服务非常好 坐飞机很方便', 'star': 3}
{'descr': '感觉还挺好，价格也不是很贵，离火车站也很近。', 'star': 3}
{'descr': '门头小了点，但接送去机场很方便', 'star': 3}
{'descr': '很好 那天去很晚 酒店工作人员还去接了我们了 感谢 酒店环境还好的 第二天还送去机场 ', 'star': 3}
{'descr': '接送很到位，只是说发票没有了要过几天邮寄过来', 'star': 5}
{'descr': '按照承诺接、送及时到位，对于赶早班飞机的游客是最好的选择', 'star': 5}
{'descr': '竟然没有发票！', 'star': 3}
{'descr': '服务好 有车接送机场很方便  表示感谢', 'star': 3}
{'descr': '经济实惠型酒店，离禄口机场很近，方便转机，房间虽小却干净整洁，前台服务态度好，下次还会推荐朋友入住。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '地方太偏 别的还好 \n对了 送我去机场开车的很猛', 'star': 5}
{'descr': '酒店位置离机场很近，很方便。房间比较卫生整洁，价廉物美。', 'star': 5}
{'descr': ' 比较偏僻，不好找，隔音差，可以送机，设施基本齐全', 'star': 3}
