{'短评内容': '不过特价房一般般', '短评打分': 5}
{'短评内容': '房间很大，光线很好，也很卫生，以后还会入住。', '短评打分': 5}
{'短评内容': '挺好的酒店，价格平。环境还行，住着挺舒适的。', '短评打分': 5}
{'短评内容': '豪华型大房，两张床拼成一张大床，合一家大小四人都够，厕所比较新净，就是地毯的通病，房内大得可以跳舞，正好对着旺街，如果有时间逛街是个不错的选择。', '短评打分': 5}
{'短评内容': '首先感谢贵订房中心为广大客户提供了各项优质服务！我是通过贵订房网预订了添怡酒店豪华单人房一间，5号入住，7号C/O。在此，与大家分享一下我这两天的感受。\n一、酒店的地理位置很好找，出行办事也很方便；\n二、酒店的硬件与房价是很匹配的；\n三、酒店的自助早餐不错，很有地方特色；\n四、酒店的硬件与软件很不匹配，很伤客。如果贵酒店不改进，以后会尽量不再选择贵酒店，因为，我伤不起！！\n下面说说不好的事件：\n一', '短评打分': 1}
{'短评内容': '很干净 有不同房型可选 傍边是商业街 下次来了还会住这', '短评打分': 5}
{'短评内容': '￥218大床房非常值！我地住的系820，有窗，房间够大，偶尔有吵声，但没有下面评论中说的那么吵，对面有条商业街，隔壁有家KTV,吃喝玩乐都都非常方便，这个绝对系为左吸引顾客的开张价格，真心不希望距升价。。。。。。但美中不足的系：水温调节较迟钝，房间里没有一支灯系适合睡觉的暗灯，每支灯都好光', '短评打分': 5}
{'短评内容': '环境不错、价格优惠、酒店服务比较好，值得推荐\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '多次预定了，对得起价格，环境不错，服务挺好的，', '短评打分': 5}
{'短评内容': '怎么豪华房 给的像特惠房 目对不起这个价', '短评打分': 1}
{'短评内容': '位置应该是非常方便，价位也可以，值得推荐', '短评打分': 5}
{'短评内容': '前台的服务态度不好。其他方面，按此价格来说也都一般般吧。', '短评打分': 1}
{'短评内容': '地理位置极佳，在市桥步行街对面，房间大，价钱也很合适', '短评打分': 5}
{'短评内容': '房间还可以，设置不好', '短评打分': 3}
{'短评内容': '位置方便，房间也大！价格不高，可以的！\n早餐简单些，空调从晚上很长时间不够凉！', '短评打分': 5}
{'短评内容': '给别人预订的，感觉还可以。关键是位置比较方便。', '短评打分': 5}
{'短评内容': 'the room is so big ,and very new ,i think is very good hotel.', '短评打分': 5}
{'短评内容': '环境不错、价格优惠、酒店服务比较好，值得推荐', '短评打分': 5}
{'短评内容': '环境不错、价格优惠、服务比较好，值得推荐', '短评打分': 5}
{'短评内容': '我打电话订的是有早餐的大床房，但是酒店不同意给早餐券；此外房间是最靠马路的，非常吵', '短评打分': 1}
{'短评内容': '酒店装修非常好，卧室很大很干净，只是早餐太简单，不是自助早餐，是三个不同的面包加一包奶。', '短评打分': 5}
{'短评内容': '环境有点旧了\n', '短评打分': 3}
{'短评内容': '大冬天的说是没空调。。。，这也能营业。。。。', '短评打分': 1}
{'短评内容': '总体感觉各方面还不错，出行方便，设施完善，价格还不贵。', '短评打分': 3}
{'短评内容': '酒店挺新，设施挺齐全，性价比挺高，值得推荐。', '短评打分': 5}
{'短评内容': '价格挺合理的，卫生还好，有电脑能上网，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店看着挺新挺干净，位置挺好，出行交通挺便利的。', '短评打分': 3}
