{'descr': '不错 很好 很方便 吃的方便 房间太小 没窗子 后来跟前台换了 好多了 我为了这30积分也是拼了！！！！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '火车站旁边，交通比较方便', 'star': 4}
{'descr': '还是不错的，各方面都不错。', 'star': 5}
{'descr': '隔音不好。地上停车收费，记得停地下', 'star': 3}
{'descr': '离火车站，汽车站很近，适合赶早班车乘坐，周围吃，住，购物都很方便，卫生不错，服务员很热情，设施比较新，不错，值得推荐', 'star': 4}
{'descr': '离火车站，汽车站很近，适合赶早班车乘坐，周围吃，住，购物都很方便，卫生不错，服务员很热情，设施比较新，不错，值得推荐', 'star': 4}
{'descr': '设施齐全', 'star': 5}
{'descr': '房间进去就一股烟味，早餐都是冷的，不知道怎么想的！', 'star': 5}
{'descr': '一般般吧、电视需要改进、', 'star': 4}
{'descr': '房间太小、设施太老、是我住过最差的汉庭。', 'star': 2}
{'descr': '帮朋友订，挺好', 'star': 5}
{'descr': '帮朋友订挺好', 'star': 5}
{'descr': '经济型酒店里的很棒的选择，推荐。', 'star': 5}
{'descr': '房间环境太差，马桶老是没水出', 'star': 3}
{'descr': '没之前好', 'star': 3}
{'descr': '还不错下次还会去，环境蛮好..............', 'star': 5}
{'descr': '房间有点小', 'star': 3}
{'descr': '住的周末特价房~~面积比较小~不过如果不介意的还是很划算的~~8楼还蛮安静~~下次去应该还会住~~', 'star': 5}
{'descr': '周围环境安静。早餐不行。电视信号不好。电视信号是模拟的。\n', 'star': 5}
{'descr': '还是不错的酒店，酒店比较安静，还是蛮好的，不错不错 ', 'star': 5}
{'descr': '房间很小，空调噪音很大，电视很老旧。。。。', 'star': 1}
{'descr': '酒店的房间面积有点小，但卫生不错。房间性价比很高，值得推荐。', 'star': 5}
{'descr': '很经济的酒店，性价比很高，酒店的环境还可以，卫生很好。', 'star': 5}
{'descr': '退房神速、很好', 'star': 3}
{'descr': '环境不错，在各地汉庭门店中属于中上水准。', 'star': 5}
{'descr': '位置一般，房间比较小，卫生和服务态度还可以，就是在河边林马路的房子比较吵，夜里总有大车经过，要住最好选择临近小区那边的房间', 'star': 1}
{'descr': '特价房的房间比较小，窗外就是马路，隔音效果比较差，要住就选择窗外是小区的房间。服务态度比较好，位置一般。', 'star': 1}
{'descr': '酒店很干净，交通也很方便，价格适中，是个可以再次选择的酒店。', 'star': 5}
{'descr': '酒店的房间不大，但卫生很满意。设施用起来还是很方便的。酒店的空调，网速都很不错，床睡的也很舒服。整体还是满意的。', 'star': 5}
{'descr': '酒店的房间有点小，设施还不错，很干净。网速还可以，就是电脑桌小了点，呵呵。服务员的态度不错。整体评价性价比很高，值得推荐哦。', 'star': 5}
{'descr': '三人间很大啊,比较干净,但是特价房太小了,活动不开,周围环境不错,有公园等..价格比较公道,餐厅的饭菜种类较少', 'star': 5}
{'descr': '酒店的房间不大，入住还是很舒服的，就是电脑桌很小，办公不是很方便。酒店前台的服务不错，服务员很热情，酒店的卫生也是不错的。整体满意。', 'star': 5}
{'descr': '这次住在8楼，没有蚊子骚扰，好多了。一如既往的微笑服务，来无锡我都住在这家汉庭。', 'star': 5}
{'descr': '酒店不错，闹中取静。周边餐饮、购物方便。', 'star': 5}
{'descr': '酒店不错，闹中取静。周边餐饮、购物方便。', 'star': 5}
{'descr': '挺好的，价格合适，地点也还算方便，而且闹中取静。', 'star': 5}
{'descr': '挺好的，价格合适，地点也还算方便，而且闹中取静。', 'star': 5}
{'descr': '优点：位置不错，距离火车站近，周边吃饭方便。服务态度很好。\n缺点：靠近河边，蚊子很多。卫生间很小。早餐厅没有电视机，早餐时看新闻不方便。餐厅没有勺子？', 'star': 5}
{'descr': '优点：位置不错，距离火车站近，周边吃饭方便。服务态度很好。\n缺点：靠近河边，蚊子很多。卫生间很小。早餐厅没有电视机，早餐时看新闻不方便。餐厅没有勺子？', 'star': 5}
{'descr': '酒店服务不错，前台比较热情。房间装修很温馨，值得推荐哦', 'star': 5}
{'descr': '酒店服务不错，前台比较热情。房间装修很温馨，值得推荐哦', 'star': 5}
{'descr': '酒店位置不错，靠近火车站，很好找，房间里很干净，硬件设施齐全，服务也比较到位，还行不错的酒店', 'star': 5}
{'descr': '酒店位置不错，靠近火车站，很好找，房间里很干净，硬件设施齐全，服务也比较到位，还行不错的酒店', 'star': 5}
{'descr': '酒店地处无锡火车站附近，出行比较方便，周边有无锡酒吧一条街，有很多餐馆，房间卫生条件很好，打扫的很干净，住宿环境还是不错的', 'star': 5}
{'descr': '酒店地处无锡火车站附近，出行比较方便，周边有无锡酒吧一条街，有很多餐馆，房间卫生条件很好，打扫的很干净，住宿环境还是不错的', 'star': 5}
{'descr': '房间布置的很温馨，距离火车站不远，出行还是挺方便的，房间采光很不错，卫生条件也很到位，总体感觉很不错的酒店', 'star': 5}
{'descr': '房间布置的很温馨，距离火车站不远，出行还是挺方便的，房间采光很不错，卫生条件也很到位，总体感觉很不错的酒店', 'star': 5}
{'descr': '服务很好很周到，房间里硬件设施很齐全，还可以上网，房间装修的风格比较简约，住着还算舒适', 'star': 5}
{'descr': '服务很好很周到，房间里硬件设施很齐全，还可以上网，房间装修的风格比较简约，住着还算舒适', 'star': 5}
