{'短评内容': '交通便利环境不错', '短评打分': 5}
{'短评内容': '还行哈，就是离得近', '短评打分': 4}
{'短评内容': '不错，给朋友定的', '短评打分': 5}
{'短评内容': '位置便利', '短评打分': 5}
{'短评内容': '温馨舒适！！', '短评打分': 5}
{'短评内容': '你一定比别人对生活更充满激情当别人还在睡梦中时，你已经在为自己的目标而努力了。这不仅体现在时间上更加充裕了，同时也让生活变得充实。所以他们会对生活拥有更多的展望，并且把每天都当作一个全新奋斗的开始，拼劲全力。', '短评打分': 5}
{'短评内容': '你一定比别人对生活更充满激情当别人还在睡梦中时，你已经在为自己的目标而努力了。这不仅体现在时间上更加充裕了，同时也让生活变得充实。所以他们会对生活拥有更多的展望，并且把每天都当作一个全新奋斗的开始，拼劲全力。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '其他都不错，就是床有点小', '短评打分': 5}
{'短评内容': '酒店不错，下次还订。', '短评打分': 5}
{'短评内容': '来到前台办理入住手续，服务员态度不好。', '短评打分': 4}
{'短评内容': '酒店就是装修老一点', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还好。唯一不滿意是洗澡間太小', '短评打分': 5}
{'短评内容': ' 山西卓凡大酒店交通便利，周边吃与购物非常方便，酒店管理很好，值得推荐', '短评打分': 3}
{'短评内容': '酒店硬件还说得过去，服务员有点慢吞吞的，早餐很不丰盛，车位极为紧张！', '短评打分': 1}
{'短评内容': '该酒店设施还算可以，单人间临街加上对面正在施工，噪声很大，这对喜欢安静的我很不适应，换了标间，房间大连不少，价格也贵了。早饭一般般。服务人员水平参差不齐，前台服务员表现不理想，好在会说“你好”，一个个都板着脸，很冷。总之不值得推荐。', '短评打分': 1}
{'短评内容': '没住过那么差的4星酒店，卫生间里面的冲凉房没见过那么小的！一进房间就一股臭味道！下次是不会来住这家了', '短评打分': 1}
{'短评内容': '相当不错，再次推荐入住，同事也很满意！出行，办公都很方便！', '短评打分': 5}
{'短评内容': '酒店房间太小，设施陈旧，性价比不高，如果不是烧钱的不建议入住', '短评打分': 1}
{'短评内容': '环境不错，价格可以低点', '短评打分': 3}
{'短评内容': '厕所太臭了', '短评打分': 3}
{'短评内容': '地理位置好，交通方便，房间很大，电视图像信号不好，但服务员说都是这样，昨天还没有那。', '短评打分': 5}
{'短评内容': '设施、环境不错，干净卫生，交通便利，周围方便购物！', '短评打分': 5}
{'短评内容': '酒店设施太老，房间太小，厕所味道太浓，价格太高，总之不好。', '短评打分': 1}
{'短评内容': '房间尚好，餐饮太差。位置不错，交通拥堵。设备应保持可使用状态。', '短评打分': 1}
{'短评内容': '交通还是很方便的，不过酒店的早餐也太差了！', '短评打分': 5}
{'短评内容': '酒店环境总体还是可以的，服务也还可以的，就是早餐用餐环境不太好。', '短评打分': 5}
{'短评内容': '服务很好很热情，硬件设施一般般，周围吃饭不方便。总体而言一般。', '短评打分': 5}
{'短评内容': '房间隔音不太好，希望改进', '短评打分': 3}
{'短评内容': '提点不足的地方，就是门口不好停车！位置有点乱', '短评打分': 5}
{'短评内容': '很好，前台很热情，房间也很干净，安静，建议将毛巾换成棉质更好的。', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很好，酒店硬件也不错，只是ELONG的价格并没有比前台便宜多少……', '短评打分': 5}
{'短评内容': '感觉不错，地理位置好，房间也还行，下次还会来这里的', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '还行，就是和天地会所在一起，有些吵和乱。', '短评打分': 5}
{'短评内容': '第二次入住，不错，房间不大，但性价比高，比较满意。', '短评打分': 5}
{'短评内容': '这次不错,比较满意!', '短评打分': 3}
{'短评内容': '总体还是挺不错的。也挺干净的。房间不算十分挤，算是挺大的了。洗手间还可以啦，就是洗澡的浴缸比较小。总体不错啦', '短评打分': 5}
{'短评内容': '给家人定的，这是第二次选择入住，离办事地点很近，房间设施也不错。早餐也还行，以后如去太原还会选住这家酒店', '短评打分': 5}
{'短评内容': '房间设施还算不错，只是离店时竟无法开发票，不过最终答应邮寄发票，收到的也还挺快。客房部服务人员的素质也是奇差无比！', '短评打分': 1}
{'短评内容': '漂亮的标间，典雅干净，楼下就是粤菜馆，KTV，商务很方便，打车也容易。。', '短评打分': 5}
{'短评内容': '酒店位置挺好，房间也很干净，周围购物娱乐非常方便。', '短评打分': 5}
{'短评内容': '交通位置不错，卫生干净，服务很不错，有了问题能及时协助解决。', '短评打分': 5}
{'短评内容': '房间很不错的 设施还可以 但早餐没什么可吃的 建议增加的', '短评打分': 5}
{'短评内容': '地段挺挺不错的    卫生发面也做的不错', '短评打分': 5}
{'短评内容': '除了大堂在装修，房间设施还不错。只是到店时被告知周一结帐无法开发票。当时订房时应事先告知。不过酒店答应周三给寄发票。', '短评打分': 5}
{'短评内容': '酒店位置还不错 但房间太小了 空调也不是太好 总体一般', '短评打分': 5}
{'短评内容': '酒店设施不错， 服务很好， 交通也方便， 商旅的良好选择。', '短评打分': 1}
{'短评内容': '房间太小了，很狭窄，设施也不是很好,总台的服务也很一般', '短评打分': 1}
{'短评内容': '酒店房间的设施和环境都不错 交通也很方便 离各大购物中心也很方面 出行很便利', '短评打分': 5}
{'短评内容': '酒店设施不错， 在高新区办事可以， 服务也好，就是饭菜不太合口。', '短评打分': 5}
{'短评内容': '放假设施一般，前台的服务不好，问个东西都没人理', '短评打分': 1}
{'短评内容': '出入人员较杂，房间小，周围环境不是很好。', '短评打分': 1}
{'短评内容': '很一般。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
