{'短评内容': '酒店服务不太好', '短评打分': 5}
{'短评内容': '我订的房间没有早餐，有停车场，还有休闲中心', '短评打分': 5}
{'短评内容': '不错，交通也方便', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '脏，床套不换，水有味，早餐餐具不卫生，碗上有好多污渍。前台效率低，开票等半小时。', '短评打分': 2}
{'短评内容': '差评', '短评打分': 3}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还好好。感觉还可以，可以体验。', '短评打分': 5}
{'短评内容': '服务很一般，天津特色的慵懒。房间很大，但设施破旧，马桶和淋浴全是坏的，空调也不好用，冻惨了，不推荐。', '短评打分': 3}
{'短评内容': '还是很干净 价格也适当 比较方便', '短评打分': 4}
{'短评内容': '没有给发票很生气', '短评打分': 3}
{'短评内容': '好，下次还住这里', '短评打分': 5}
{'短评内容': '订了大床房。结果是两张床拼起来的，拼起来的。。。', '短评打分': 1}
{'短评内容': '很好很给力', '短评打分': 5}
{'短评内容': '中规中矩。', '短评打分': 4}
{'短评内容': '设施老化，卫生不好', '短评打分': 3}
{'短评内容': '酒店挺好的  下次来出差  还会住', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店里的设施很不错，很喜欢', '短评打分': 5}
