{'descr': '一直住的锦江之星。服务，环境都很好。', 'star': 5}
{'descr': '环境非常好，干净卫生，交通方便。', 'star': 5}
{'descr': '县政府旁边～方便', 'star': 5}
{'descr': '干净，清净，非常舒适，可以洗衣，方便多了', 'star': 5}
{'descr': '干净整洁', 'star': 5}
{'descr': '世界顶级大家风范激发肌肤烦恼烦恼烦恼烦恼', 'star': 5}
{'descr': '第一次住锦江之星连锁，感觉非常好，毛巾浴巾都是用塑料膜包装的，非常干净卫生，之前基本住汉庭七天，卫生没有锦江好，以用出差就住锦江了', 'star': 5}
{'descr': '环境不错，很舒服，毕竟是快捷酒店', 'star': 5}
{'descr': '比较高大上\n，特别符合我的个人气质噢', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '环境还可以，热水空调都很好，来沭阳都住这里', 'star': 5}
{'descr': '挺好的，下次继续入住', 'star': 5}
{'descr': '房间内干净卫生、设备齐全、服务周到、早餐质量也相当不错', 'star': 5}
{'descr': '干净卫生服务好', 'star': 5}
{'descr': '很干净，很棒', 'star': 5}
{'descr': '位置优越服务好', 'star': 5}
{'descr': '房间大', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '商务房间够大设施一般，没有紧急供水措施，37度高温没法洗澡，早晨免供3瓶矿泉水洗漱匆匆离店', 'star': 1}
{'descr': '很好 下次还会住很好 下次还会住很好 下次还会住', 'star': 5}
{'descr': ' 很好 下次还会住很好 下次还会住很好 下次还会住很好 下次还会住', 'star': 5}
{'descr': '房间很大，装修也蛮好，比其他地方的锦江好很多。', 'star': 5}
{'descr': '很好！！下次去外地还要来，设施挺好的！推荐！！', 'star': 3}
{'descr': '房间很大~~住的很舒服~~`沭阳就这一家锦江~下回还来这住', 'star': 5}
{'descr': '人气很旺！务必早点预定', 'star': 3}
{'descr': '锦江之星酒店的环境不错，也比较卫生，房间较大。', 'star': 5}
{'descr': '被子有点味道！没以前干净了！', 'star': 3}
{'descr': '早餐一般，中餐晚餐的牛肉面性价比还不错，室内设施一般，卫生间洗手台的棱角划伤了我的手臂。', 'star': 1}
{'descr': '房间装修朴素，干净，使人感觉放松。网上承诺的减20元没有兑现。', 'star': 3}
{'descr': '很不错的酒店。干净，够大。吃饭之类也都很方便。值得推荐。', 'star': 5}
{'descr': '酒店比较新，周围环境不错。', 'star': 3}
{'descr': '没有刚开始的时候那么好了！早餐还是很干净！', 'star': 3}
{'descr': '很干净，让人住的很舒服，在县城能有这种连锁酒店很不容易', 'star': 5}
{'descr': '还不错，大部分东西都有。。就是少了擦鞋纸、浴帽、电吹风，还有电视小了点，那么大的房间就挂个25寸的，，，', 'star': 5}
{'descr': '不错的酒店，感觉比大江好！', 'star': 3}
{'descr': '酒店很干净，星连心茶餐厅给我解决了餐饮的问题，这比汉庭，如家都要好，我下次出差会尽量选择锦江之星。', 'star': 5}
{'descr': '酒店很干净哦，环境也很好，要是 早餐也免费就好了哦', 'star': 5}
{'descr': 'Elong上 沭阳县城，为数不多能订到的酒店，要是早餐免费就更好了', 'star': 5}
{'descr': '酒店位置非常方便，非常整洁、舒适。推荐大家来', 'star': 5}
{'descr': '酒店位置非常方便，非常整洁，舒适。下次还会来的。', 'star': 5}
{'descr': '酒店位置非常好，下了高速很快就到了。酒店也非常干净，整洁，服务态度也赞一个。有机会还回来的。', 'star': 5}
{'descr': '房间宽敞明干净，客房服务员服务不错，以后有机会还会住的。', 'star': 5}
{'descr': '不错的宾馆，干净，', 'star': 3}
{'descr': '很干净，很宽敞，床也很舒服，还返30元，十分划算', 'star': 5}
{'descr': '整体都不错了，餐厅里面的服务员很给力哦，下次继续', 'star': 5}
{'descr': '浴室水量很大，还不错，空间蛮大的,服务态度蛮好', 'star': 5}
{'descr': '挺干净的，环境也不错，服务不错，商务房不带早餐，比较麻烦，早餐没去吃，到边上速8的早餐吃了顿早餐不错。', 'star': 5}
