{'短评内容': '房间非常小，而且距离宽窄巷子也远。完全就是忽悠。', '短评打分': 1}
{'短评内容': '', '短评打分': 5}
{'短评内容': '硬件肯定达不到五星 但是服务绝对够!', '短评打分': 5}
{'短评内容': '从进酒店开始就有一种五星级酒店得感觉，从前台到管家各各都很赞，还没有出示身份证，美女管理就来了，顺便说一下，一定找万信邑美女，服务太好了，很快办理完入住后，美女带我们上了楼进了房间，然后还一一介绍房间东西的摆放，从一楼到每层，走廊都有摆放免费矿泉水，入住客人早晨10点到晚上12点还会有免费下午茶享用，饮料啊水果啊小吃啊随便吃，环境也棒棒哒。总之就是一万个满意，所以果断追加一晚。酒店还有免费洗车和洗', '短评打分': 5}
{'短评内容': '陶薇服务热情  点赞', '短评打分': 5}
{'短评内容': '客服管家万信邑小美女，服务真不错，热情周到，下次还来这里，', '短评打分': 5}
{'短评内容': '很安静，很适合休息', '短评打分': 5}
{'短评内容': '管家陶薇服务热情细心', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '简直了，服务一流，温馨小卡片，果盘，洗衣。早餐棒棒哒！感谢酒店的工作人员。下次还住这家！我媳妇都不想走啦?', '短评打分': 5}
{'短评内容': '好   不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '大堂比较low，坐电梯上楼，出电梯还是被惊喜到，除了大堂，都蛮漂亮的', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 4}
{'短评内容': '总体感觉还不错，听说这酒店是广西的酒店，给人的感觉还是不错的，只是住在靠马路的房间，稍微有点声音大。', '短评打分': 5}
{'短评内容': '房间还行，安全卫生，服务好', '短评打分': 5}
{'短评内容': '服务很热情，就是空调不好', '短评打分': 5}
{'短评内容': '房间设施比较老旧，前台不专业很慌乱，地理位置还行', '短评打分': 4}
{'短评内容': '酒店各方面都不错，位置非常好找，就在大道旁边，到宽窄巷子也近，附近有大商场。房间很干净，空调非常足，被子睡着就和家里是一样的舒适。服务很热心，晚上需要热牛奶都帮忙解决了，小孩子和服务阿姨都成了好朋友。早餐是自助餐，很丰富，煎蛋，面条，牛奶，蛋糕，水果这些都有，小朋友开心的不得了。下次来成都就选这家酒店了。', '短评打分': 5}
{'短评内容': '只要离我要去的地方不是太远，我每次都会选这家，超值', '短评打分': 5}
{'短评内容': '酒店环境很好 房间设施很齐全 也很舒适', '短评打分': 5}
{'短评内容': '很好很好哈', '短评打分': 4}
{'短评内容': '蛮好的 蛮好的 蛮好的 蛮好的 ', '短评打分': 5}
