{'短评内容': '好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '前台terry peter服务nice。', '短评打分': 5}
{'短评内容': '设施稍微有点老', '短评打分': 5}
{'短评内容': '整体服务很好  特别是礼宾部的jeffrey 很nice', '短评打分': 5}
{'短评内容': '很好的酒店！整体而言对我们的入住体验非常满意。感谢健身房的Eve，服务大方，热心，体贴。对在健身房的体验也很满意！', '短评打分': 5}
{'短评内容': '酒店很好，管家Emma热情周到', '短评打分': 5}
{'短评内容': '特别感谢管家Emma对我们这两天的照顾，知道我妈妈生日还给我们准备了生日蛋糕，酒店恒温游泳池很棒，房间的那个泳池天气太冷没法游。', '短评打分': 5}
{'短评内容': '感谢礼宾部JOE、TOM热情服务，送帆船出海！', '短评打分': 5}
{'短评内容': '环境服务都很好。', '短评打分': 5}
{'短评内容': '订的瑞吉酒店非常好，人不多，服务很周到，房间很大，装修在亚龙湾算是比较新的，赶上京东特价立马就订了，比携程便宜很多', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '京东酒店的价格还是比较有优势的，用抵用券比较划算一点！', '短评打分': 5}
{'短评内容': '这次去三亚玩,最正确的选择是选了瑞吉酒店.真的很好.酒店很大环境特别好.酒店的服务特别好,从一进酒店就感受到了.酒店的自助餐特别丰盛.我们明年还要去.', '短评打分': 5}
{'短评内容': '东西特别超值，是正品，还会购买。', '短评打分': 5}
{'短评内容': '价格便宜，性价比好。', '短评打分': 5}
{'短评内容': '还可以吧。希望继续', '短评打分': 5}
{'短评内容': '肯本没订上', '短评打分': 1}
{'短评内容': '第二次入住亚龙湾瑞吉了，这次的体验完全超越了第一次，特别是奥巴马总统领导的宴悦海鲜餐厅这个团队，这里的每一个人都让我们感到亲切和温暖。餐厅的富兰克林总统和特朗普总统对我的父母和孩子照顾的无微不至，chris 和smile 还有菲比这几个女孩子也很贴心，早餐和晚餐分别给我们服务过，顺便说一句，Henry早餐很精致，棒棒哒！', '短评打分': 5}
{'短评内容': '都挺不错的', '短评打分': 5}
