{'短评内容': '有点旧了 周围环境挺好的', '短评打分': 5}
{'短评内容': '酒店位置在大连港码头附近，很幽静，设施齐全，服务态度好，去大连港码头步行仅需要10几分钟，就是周围商业设施少', '短评打分': 5}
{'短评内容': '....... 还可以吧 ', '短评打分': 4}
{'短评内容': '位置极佳，方便出行。', '短评打分': 5}
{'短评内容': '房间的装修很喜欢，但是灯的控制可能还需改进！整体来说卫生很干净，房间隔音效果也不错！', '短评打分': 5}
{'短评内容': '房间很大，很不错啊', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '房间wifi不能用，床太软枕头破的。', '短评打分': 3}
{'短评内容': '很方便，希望多给用户争取实惠', '短评打分': 5}
{'短评内容': '位置汉，整体不错', '短评打分': 5}
{'短评内容': '还行 ', '短评打分': 5}
{'短评内容': '跟酒店介绍图有出入。房间有异味，还有蟑螂。没办法住。直接扔了房费。走掉了', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '去墩头码头方便。', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '里面很温馨', '短评打分': 5}
{'短评内容': '位置优越，精品酒店', '短评打分': 5}
{'短评内容': '这个酒店不值300，有点贵，也就值不到200差不多', '短评打分': 3}
{'短评内容': '环境还可以，房间很干净', '短评打分': 3}
{'短评内容': '早餐一般，房间蛮大', '短评打分': 3}
{'短评内容': '有很多来外住在这里，门口就有很多吃海鲜的地方，还有皇城老妈餐馆', '短评打分': 5}
{'短评内容': '日式装修的风格，整个酒店提供地暖设备，对于生在没有供暖系统的南方的我，冬天到了港湾商务酒店好像是到了夏天一样，房间装修风格也很不错，极力推荐！', '短评打分': 5}
{'短评内容': '大床房的大床真是小的可怜，一个人睡还可以；住了几天，电吹风要每天打电话去前台拿，还说是酒店的规则！', '短评打分': 1}
{'短评内容': '酒店位置和环境都不错，服务员的服务也不错！只是酒店的早餐有些差了，不好吃！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店位置和环境都不错，服务员的服务也不错！只是酒店的早餐有些差了，不要吃！', '短评打分': 5}
{'短评内容': '不错，简洁，非常清洁', '短评打分': 3}
{'短评内容': '还可以,挺干净', '短评打分': 3}
{'短评内容': '住的家庭房，房间很大很宽敞，卫生间很大，也比较干净，床上用品感觉很卫生，比较放心。感觉大连市可能挺小，距离中山广场只有几站路，打车也就一个起步价，到火车站也是起步价。门口时16路终点站，很方便。前台服务很不错，态度好。酒店早餐很不错，餐厅的MM很和气，也很热情。\n不好的地方就是房间窗户正对着皇城老妈的排烟口，一般不大敢开窗户，窗户外也没什么风景。\n', '短评打分': 5}
{'短评内容': '酒店离港口非常近，停车算方便，挺不容易。。400多的价格就是图个位置，窗外完全没景，对着工厂机房一片乱七八糟噪音也很大，双人床是我住过的最小最挤的。。。早餐也是让我非常不推荐这个酒店的最大原因，早餐几乎没有什么东西不说，当水果盘里只剩两片哈密瓜的时候，我给服务员提出可否加水果，服务员居然面无表情的给我说：你先把那些吃完吧。。。服务意识非常需要加强。', '短评打分': 1}
{'短评内容': '还可以，交通方便，闹中取静。', '短评打分': 3}
{'短评内容': '酒店很干净，很安静，服务业好，就是早餐有点简单', '短评打分': 5}
{'短评内容': '酒店很干净，很安静，设施也不错，就是早餐有点简单', '短评打分': 5}
{'短评内容': '整体来说还是比较不错的，就是酒店附近打车比较困难  不知道怎么解决', '短评打分': 5}
{'短评内容': '物有所值！设施完备，干净整洁，前台服务也很好，就是餐厅有点小，早上人多，略显拥挤', '短评打分': 5}
{'短评内容': '酒店装修风格有点像SPA会馆，房间内很有文化气息', '短评打分': 5}
