{'短评内容': '应该是新装修的，设施都比较新，卫生状况也还比较好，好评', '短评打分': 5}
{'短评内容': '房间干净，设施齐全，前台服务好，位置好找，环境很不错，带着孩子入住，体验不错', '短评打分': 5}
{'短评内容': '旅舍的环境超好，装修非常有特色，一看就非常喜欢舍不得离开。老板性格豪爽，给我们很多建议，一看就是实在人。比较适合度假。', '短评打分': 5}
{'短评内容': '还不错啊，就是没看到雾凇可惜', '短评打分': 5}
{'短评内容': '真的很满意，很适合出去旅游休息居住。位置也很方便，卫生也很干净，下次去我还会选择这家。我还推荐给了我的亲戚朋友们呢！真的很好。', '短评打分': 5}
{'短评内容': '房间很温馨，位置很好，服务人员人超好，热情，感觉和家人一样，去其他景点都蛮方便的，房间和图上的也一致，好评~推荐哦', '短评打分': 5}
{'短评内容': '客栈房间很合我的心意农家炕没有修过，特意来感受一下不错，不会上火，还挺舒服的，吃饭很方便，哦农家饭菜，不贵，服务态度很好，会帮忙安排拼车包车之类的，给我们省去很多时间和麻烦，很满意', '短评打分': 5}
{'短评内容': '真的好喜歡這裡！老闆娘好親切熱情，給我們煮了雞肉燉土豆，超好吃！還找了幾件大棉襖讓我們拍照，也幫我們訂好車，安排得好好的，非常非常推薦！來霧淞島一定要住這裡，乾淨舒適，大推！', '短评打分': 5}
{'短评内容': '帮朋友订的，住的很满意，在农村这样的条件真的太好了，房间暖呵大玻璃窗，独浴的能洗澡，还干净，吃的也不贵，都是当地特色的菜，他家锅包肉很好吃，朋友住了一天吃了2回，哈哈，老板热情，还送冻梨，总之很满意，老板还帮忙安排去雪乡的拼车，很方便有便宜，', '短评打分': 5}
{'短评内容': '房间干净，暖和，老板热情，吃什么都会给拿，很实在，离景区很近，方便，他家很大，房间很多，很好。', '短评打分': 5}
{'短评内容': '特别满意，我们订的是火炕，但是谁不管，老板二话不说留给换个大床房间，还不用加钱，太爽快了，吃饭我们是跟着吃的团餐，20元，很便宜，菜很多，都是东北特色的，老板真的太好了，特别实在的一家人，是我们这次出来玩最满意的一次住宿，值得推荐，真的很好。', '短评打分': 5}
{'短评内容': '帮朋友订，她说很好，满意，不错的一家店，能洗澡，独立卫浴的，去时客人比较少，她自己住了一间房间，很大，暖和舒服，有机会也会去的。', '短评打分': 5}
{'短评内容': '性格比不错，唯一公共廁所水温不穩', '短评打分': 5}
{'短评内容': '老板娘电话里挺热情的，但是一到地儿，吃的菜贵一些就甭提了，卫生情况特别不好，还在床边捉到了几条黑黑的不知道叫什么名字的虫子。', '短评打分': 1}
{'短评内容': '没热水，给安排的包车司机也很黑。十分商业化。', '短评打分': 3}
{'短评内容': '接待很热情，晚餐也不错，还有饺子，应景', '短评打分': 5}
{'短评内容': '很不错，房间很干净，服务也很好，床很大，环境也不错，下次还会住！', '短评打分': 5}
