{'短评内容': '不错的一次选择，', '短评打分': 5}
{'短评内容': '还行，便宜', '短评打分': 4}
{'短评内容': '好吧', '短评打分': 5}
{'短评内容': '我们的生活方式……………………………………………………', '短评打分': 5}
{'短评内容': '环境好，价格合理，停车方便', '短评打分': 4}
{'短评内容': '环境和服务都还可以。', '短评打分': 3}
{'短评内容': '酒店环境不错，不靠火车站，离火车站三站路，既安静又便捷！周边有银座，酒店的现包水饺价格口味均较为给力！唯一不怎么满意的是床有些小！', '短评打分': 4}
{'短评内容': '还好                              v', '短评打分': 3}
{'短评内容': '一般，有点老旧，前台服务也一般般', '短评打分': 3}
{'短评内容': '从外面看还可以，但进酒店发现房间真的不行', '短评打分': 3}
{'短评内容': '蚊子能吃人，设施老掉牙，交通到便利，居住一般。', '短评打分': 2}
{'短评内容': '运气不好，入住的时候电梯坏了，爬了两天的5楼，当是爬泰山的预演啦。不过老板还好送了两天早餐，虽说比较简单但是也算解决了个问题。楼下有家农家菜环境菜品倒是很特别，应该有本地特色吧，值得一试。离泰山打车8块钱，到火车站门口就有公交车直达的，方便。步行5分钟就是泰安的步行街，好不好也可以逛逛。酒店应该局部装修过，但是卫生间还是显得比较陈旧，毛巾啥的还是用自己的比较放心。不过床品是新的狠舒服，房间很大，适', '短评打分': 5}
{'短评内容': '老酒店了，服务态度好，设备显陈旧，总体还行吧。', '短评打分': 5}
{'短评内容': '房间很大有点空旷哈哈哈哈.............', '短评打分': 5}
{'短评内容': '酒店大，正赶上电梯坏，上下走楼梯，服务态度不错，设施略显陈旧，总体还行。', '短评打分': 5}
{'短评内容': '酒店还是很好的啊。挺舒适挺干净的。环境也不错，价格也很合理，很值得推荐', '短评打分': 5}
{'短评内容': '酒店建成较早，内部设施较陈旧，电梯有股味道，房间内卫生间很陈旧，端午节128的标准间还凑合吧，再贵了就不值了！具体泰山稍远！', '短评打分': 1}
{'短评内容': '服务还行，硬件实在不敢恭维。', '短评打分': 3}
{'短评内容': '我订购的价格还蛮便宜的  除了给我的房间小了点外服务倒是很周到  厕所旧点也木有关系  不错吧', '短评打分': 5}
{'短评内容': '未配洗濑用品', '短评打分': 3}
{'短评内容': '房间环境很好，很优雅，被子也很舒服，就是卫生间稍微旧了点！', '短评打分': 5}
{'短评内容': '很不错，值得推荐，就是当时没有订到大床房，后来定了豪华标准间，发现还是很不错的，就是离泰山有点小远，不过还好，打的就到了。', '短评打分': 5}
{'短评内容': '房间干净，服务态度很好，晚上挺安静，总体来说挺不错', '短评打分': 5}
