{'短评内容': '酒店非常舒适，干净卫生，价格超便宜还，入住首选哦', '短评打分': 5}
{'短评内容': '服务态度好，交通方便。好评！', '短评打分': 5}
{'短评内容': '房间还好，位置不错', '短评打分': 5}
{'短评内容': '酒店是永川较早的三星级酒店，基本设施完善。酒店位置距市繁华商业中心不到一公里，酒店有停车场，但车位不多。酒店有早餐，早餐还可以。唯一是酒店周边环境很好，是农贸市场和花卉市场及小食品批发市场。人杂，拥挤。总体性价比不错。', '短评打分': 4}
{'短评内容': '我在永川读书，毕业后回到这里，对这里很有感情，酒店的服务都很到位，很舒服的一次体验，3星酒店还不贵，值得体验！', '短评打分': 5}
{'短评内容': '性价比超高，既安全又舒适。', '短评打分': 5}
{'短评内容': 'hdhfbdhugnrhhdjfugj', '短评打分': 5}
{'短评内容': '还行，就是房子有点岁数了', '短评打分': 5}
{'短评内容': '总体感觉都还是不错，就是设施比较旧。不过总体居住感觉很棒，性价比很不错。这个价位很值m', '短评打分': 4}
{'短评内容': '一如既往的性价比，每次都住这里', '短评打分': 5}
{'短评内容': '环境比较好，而且干净，住的标间，价格在携程定的也便宜，非常满意', '短评打分': 5}
{'短评内容': '满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！满意！', '短评打分': 5}
{'短评内容': '服务态度非常好，设施也非常好。以后每次都会住这里了。', '短评打分': 5}
{'短评内容': '每次回永一直住这里，很好。', '短评打分': 4}
{'短评内容': '环境还是不错的 价格也合适 就是位置不是很好找 前台客服服务态度挺好', '短评打分': 5}
{'短评内容': '酒店位置不错，是出差的好选择。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '交通方便，出差住挺合适，环节还可以，下次还会住。', '短评打分': 5}
{'短评内容': '不错，很满意', '短评打分': 3}
{'短评内容': '永川大酒店性价比很高，就是房间隔音效果不太好！', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '该酒店坏境良好.服务态度好.下次可以入住', '短评打分': 5}
{'短评内容': '现在重庆这么热竟然不开空调，问前台说是老板不准开，我日，白天热得要死，就因为这个，我没续住，果断换伊卓酒店，是有点贵但有空调比什么都强！\n其他的什么都好，客观的评价，房间的设计和环境都挺好的，前台服务态度也可以，如果是冬天入住性价比就挺高。', '短评打分': 5}
{'短评内容': '很好，里面很舒服，就是位置有点偏了，不过住起来安逸', '短评打分': 5}
{'短评内容': '还可以。。。条件不错。。。下次还会来。。。', '短评打分': 5}
{'短评内容': '服务好,干净整洁', '短评打分': 3}
{'短评内容': '还好吧  房间就是有点味 不过总体还行。。。。。。。', '短评打分': 5}
{'短评内容': '挺不错的 住宿条件很满意', '短评打分': 3}
{'短评内容': '酒店很好 还有小冰箱 就是有些吵', '短评打分': 3}
{'短评内容': '环境很好 服务也不错   就是隔音效果有点差 有机会还会来', '短评打分': 5}
{'短评内容': '总体还不错，很安静，也很干净，只是比较简陋了一点点而已，但是这个价格觉得值得，交通还算方便，吃饭的小店也多。', '短评打分': 5}
{'短评内容': '酒店外面環境不是很好 床舖衛生問題有待改進', '短评打分': 1}
{'短评内容': '永川大酒店很好,住着很舒服!首选!', '短评打分': 3}
{'短评内容': '我们的房间和总统套房在一层楼，可见我们的房间时很好的，而且价格也合理，下次去永川还会选择这里的！', '短评打分': 5}
{'短评内容': '酒店是朋友帮定的！三星的！但到店后发现时四星标准的 ，太意外了！', '短评打分': 5}
{'短评内容': '非常不错！我的宝贝住得不想走了！朋友们都很满意！', '短评打分': 5}
{'短评内容': '酒店很好！环境、服务都不错！下次去永川还会住这里的！', '短评打分': 5}
{'短评内容': '洗澡的时候热水温度不够，感觉冷，可能是时间晚了。\n', '短评打分': 5}
{'短评内容': '价格便宜，这就是最大的特点吧，其它也没什么好的，我住的是副楼，我来这住过一次，和第一次比，第二次给我安排的房间没有第一次的好，从卫生间比较就能看出。', '短评打分': 5}
{'短评内容': '房间换气扇声音有点大，没窗户，只有用闹钟，否则早晨都不知道天亮没有', '短评打分': 5}
{'短评内容': '卫生还不错，没有窗，一个人住还是可以，淋浴水不错', '短评打分': 5}
{'短评内容': '地理位置不是很好 但是服务很好 室内设计也不错', '短评打分': 5}
{'短评内容': '很好，价格公道', '短评打分': 3}
{'短评内容': '总体还可以。只有夜晚中央空调风机有点响.需改尽.', '短评打分': 5}
{'短评内容': '性价比还挺高\u3000不错\u3000推荐', '短评打分': 3}
{'短评内容': '环境不错，挺安静的。去永川哪里办事也比较方便，就是淋浴热水刚开始来得比较慢要等一会儿。', '短评打分': 5}
{'短评内容': '永川大酒店确实不错，厕所的灯是声控的，另外也很环保，不用的时候自动熄灭。酒店设施比较新，也很干净', '短评打分': 5}
{'短评内容': '订的198的豪华商务单间，但房间面积太小，空调没新风，感觉房间很闷，浴室水压力小，唯一亮点就是电动马桶很好。', '短评打分': 3}
{'短评内容': '房间很大，很不错，也干净。就是没有窗户，预定的时候说部分有窗户，结果都没有。有些遗憾。', '短评打分': 5}
{'短评内容': '  房间环境可以。用的来说住的比较舒服。服务也很好。', '短评打分': 3}
{'短评内容': '整体不错    早餐好吃    挺干净的  ', '短评打分': 5}
{'短评内容': '永川大酒店依然还是那么好，我觉得性价比挺高的。', '短评打分': 3}
{'短评内容': '性价比很高，服务也不错！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店环境不错，房间设施齐全，干净卫生，下次还会去', '短评打分': 3}
{'短评内容': '周边环境差，早餐品种太少。房间还行。入住时，前台服务员说明天要接团（好象农民运动会），必须明天9点退房。', '短评打分': 1}
{'短评内容': '特别舒服 环境也好 安静 位于中心位置吧 很好 住的很舒服 下回还会住的啊', '短评打分': 5}
{'短评内容': '很好很不错，性价比高', '短评打分': 3}
{'短评内容': '还可以，就是热水来得慢，不怎么好调节。。\n   ', '短评打分': 5}
{'短评内容': '干净整洁，，装修典雅，性价比教高，电动马桶值得酒店业普及', '短评打分': 5}
{'短评内容': '干净整洁，性价比高。', '短评打分': 3}
{'短评内容': ' 很不错的酒店。早餐做得也好吃 ', '短评打分': 3}
{'短评内容': '不错的地方，就是太小。', '短评打分': 3}
{'短评内容': '位置不错，早餐不做，性价比更高，很安静，可以很好的休息', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 3}
{'短评内容': '很舒服。住的。', '短评打分': 3}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '环境很不错，停车也方便。就是店面不怎么显，标志不明显，很不好找入口。', '短评打分': 5}
{'短评内容': '其他什么都好，就是热水来得比较慢，比较安静，马桶不错', '短评打分': 5}
{'短评内容': '酒店外表看上去不怎么样，但内部装修不错，房间设施很新，干净，清净，停车场的保安很负责。下次来永川还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店内饰不错，就是周边环境稍差，不过电动马桶只是挂名而已，哈哈哈！！！', '短评打分': 5}
{'短评内容': '相当不错。\n性价比很高。\n朋友对那个电动马桶表示了相当高地赞许啊。哈哈哈。有种恨不得搬回家的冲动。\n地理位置很好的说。就是摆酒的人很多，有时候有小孩挺吵的。\n酒店门面略一般，可是拐进去真是各种给力啊。很赞。\n服务也很棒。\n全五星评价~\n', '短评打分': 5}
{'短评内容': '性价比超高，很干净，也非常安静，下次有机会还会选那里入住。', '短评打分': 3}
{'短评内容': '酒店很干净，设备齐全，服务人员的态度很好，以后来重庆永川就住这里了，离重庆文理学院红河校区很近，交通方便\n\n', '短评打分': 5}
{'短评内容': '酒店很干净，设备齐全，服务人员的态度很好，以后来重庆永川就住这里了，离重庆文理学院红河校区很近，交通方便', '短评打分': 5}
{'短评内容': '价格便宜，在老城区，离汽车站近，服务不错，早餐简单了点，价格便宜，在老城区，离汽车站近，服务不错，早餐简单了点。价格便宜，在老城区，离汽车站近，服务不错，早餐简单了点', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境‘设施、服务等都很好 ！！尤其是他的电动马桶，非常卫生干净、奇特，我来重庆第二次，又一次选择了它。', '短评打分': 5}
{'短评内容': '在永川那个地方还是算不多了，就是房间有点小，透明厕所还是很不错的,价格也还合适，离客运站很近                    ', '短评打分': 5}
{'短评内容': '性价比非常高的旅店.下次还选择它! ', '短评打分': 3}
{'短评内容': '价格很公道，性价比很高，就是位置不好找，打车倒是讲清楚，师傅就能直接找到，无窗的房间面积大，带窗的面积稍微小点，因人而异啦~~~', '短评打分': 5}
{'短评内容': '行政标间非常不错，有写字台躺椅，电动马桶很干净，房间够大，床也很舒服，卫生间的等也是声控的，非常不错，就是酒店外边不是很漂亮，', '短评打分': 5}
{'短评内容': '一直住了很多天，这次还介绍了一些朋友过去住，酒店各方面都很不错，以后会继续入住。只是希望网速在快点。', '短评打分': 5}
{'短评内容': '环境还可以，就是空调不怎么制冷了', '短评打分': 3}
{'短评内容': '地理位置 环境都很不错，早餐品类太少了，房间里的额设置非常不错，就是网速有点慢，其他的都非常好，服务也挺不错，每次来永川都住在这里，很不错，', '短评打分': 5}
{'短评内容': '行政标间里面的设施不错，房间挺大的，中央空调非常好使，环境也很不错，就是网速比较慢。卫生间很干净。下次来永川还继续住在这里。', '短评打分': 5}
{'短评内容': 'bu', '短评打分': 3}
{'短评内容': '地址很好找，设施一般，总之还是方便，交通业很方便,地址很好找，设施一般，总之还是方便，交通业很方便,地址很好找，设施一般，总之还是方便，交通业很方便', '短评打分': 5}
{'短评内容': '这次住的是主楼8楼，其它都还OK，就是没有热水洗澡得，打电话去接待处说是楼层高压力不够导致的，建议改善一下设施，搞得我汗吧吧的睡了一晚，第二天早晨洗澡虽然有热水了但水太小了，请以后改进，希望下次入住不会再出现这种低级问题了！！！将心比心', '短评打分': 5}
{'短评内容': '酒店不错，卫生间灯是红外感应的，淋浴区偏僻，洗一半就会灯灭。马桶带一次性马桶垫，干净卫生。走廊装修很表面，走着感觉质量不咋样。', '短评打分': 3}
{'短评内容': '就空调的声音很大，其他还蛮好的，服务质量也不错。下次还会再去的', '短评打分': 5}
{'短评内容': '房间设备齐全，比较人性化，服务也好，不错的。', '短评打分': 5}
{'短评内容': '空调不行', '短评打分': 3}
{'短评内容': '总体还是不错的、价格也可以接受，早餐的数量有点少，不大符合星级标准。服务一般，前台的接待有点差，但是也还能接受。总的来说还ok', '短评打分': 5}
{'短评内容': '酒店在当地还算可以，价格适中，出行方便，出差人员的选择', '短评打分': 5}
{'短评内容': '位置有点偏，还在施工，副楼服务生都没一个，还要自己打电话。免费早餐还可以，将就。', '短评打分': 5}
{'短评内容': '地理位置非常不错，早餐也很干净可口，服务很好，就是空调太旧了。综合非常好，下次继续入住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错 性价比很高 地理位置也还可以 下次还会住', '短评打分': 5}
{'短评内容': '酒店环境还不错，价格也比较适中，比外面的小宾馆干净多了', '短评打分': 5}
{'短评内容': ' 第三次住了 不错 很划算 总统套房很大气 ', '短评打分': 5}
