{'短评内容': '很干净也很安静', '短评打分': 5}
{'短评内容': '酒店离北门很近，门口可以停车，非常方便，就是导航导的路不好走，离开的时候听店家的路线，避开拥堵路段很快就上高速了', '短评打分': 5}
{'短评内容': '住宿环境很好，很温馨的小院。', '短评打分': 5}
{'短评内容': '全家人十一出游，客栈不难找，房间很干净，古色古香的，老板人很好。距离古城非常近，走路几分钟就到北门，很好', '短评打分': 5}
{'短评内容': '全家人十一出游，客栈不难找，房间很干净，古色古香的，老板人很好。距离古城非常近，走路几分钟就到北门', '短评打分': 5}
{'短评内容': '挺干净的，离北门走路五分钟距离，很方便，老板也很热情，不错', '短评打分': 5}
{'短评内容': '地理位置很好…环境也很不错…适合家庭出游居住！', '短评打分': 4}
{'短评内容': '不错的家庭旅馆！有免费停车的地儿！值得推荐', '短评打分': 4}
{'短评内容': '房间很干净！环境很不错，非常安静。离景区也很近！老板人很好，很贴心给我们准备了旅游攻略和地图！', '短评打分': 5}
{'短评内容': '我们人多，刚好住满小院，看着好温馨，老板人挺好，说是可以当自己家住，', '短评打分': 5}
{'短评内容': '在老板自己家里，环境和设施还不错，离平遥古城挺近的，就是地方不好找，幸好老板一直在路边等着，住的很愉快。', '短评打分': 5}
{'短评内容': '房子很干净，环境也很好，房东特别热心，带的孩子晚上还给加床被子，谢谢！', '短评打分': 5}
