{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。嘻嘻。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店卫生不错，设施齐全装修很新。位于繁华商业区，但是隔音略差，临街房间比价吵，另外淋浴间里没有挂毛巾的地方不太方便。', '短评打分': 5}
{'短评内容': '酒店很好，位置也不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '以后还会来的', '短评打分': 5}
{'短评内容': '总体还不错、服务态度特别好', '短评打分': 4}
{'短评内容': '位置很好，在市中心，周围很多商店可以逛，环境也还可以，就是恩施发展的还不是太好，可能大城市待久了有点小不习惯！', '短评打分': 5}
{'短评内容': '酒店在闹市区，价位适中，性价比较高！', '短评打分': 4}
{'短评内容': '还不错，市中心，性价比高，吃饭方便，旁边有超市', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '闹市区。携程的订单都靠马路，吵死人。房间偏小，纸巾都收费，也是醉了。房间有异味，就像几天不洗澡的酸臭味！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住的还可以，下次再来', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '都还挺好的呢我觉得哈哈哈哦耶呀', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高，值得推荐！', '短评打分': 4}
{'短评内容': '很好很喜欢  房间好大东西很齐全', '短评打分': 3}
{'短评内容': '一如既往的设施不错，还是不能刷卡郁闷。。。', '短评打分': 5}
{'短评内容': '酒店设施环境和位置都还不错，就是临街有点吵！不爽的一点是不能刷卡，要现金支付。。', '短评打分': 5}
{'短评内容': '酒店很好的，条件设施都很不错，下次有机会还会入住，就是价格稍微贵了点，', '短评打分': 5}
{'短评内容': '酒店设置都是新的  很不错  住的很舒服 ', '短评打分': 5}
{'短评内容': '很好！推荐！其他朋友可以选择入住', '短评打分': 3}
{'短评内容': '非常不错，续住！就是没早餐，有早餐就完美了！', '短评打分': 3}
{'短评内容': '续住，不错，以后就定点了，不换了，就是最后走的时候开发票出了点问题搞得要快递，还有就是不能刷卡，郁闷', '短评打分': 5}
{'短评内容': '非常好的酒店 下次去恩施继续住，规格很好，很享受', '短评打分': 5}
