{'短评内容': '很好，非常棒，物超所值，下次同样选择', '短评打分': 5}
{'短评内容': '酒店床和房间还行，用品一般。', '短评打分': 5}
{'短评内容': '酒店房间够大，用品一般。前台服务不好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '好，很不错', '短评打分': 5}
{'短评内容': '已经住了很多次了', '短评打分': 4}
{'短评内容': '环境好，住的舒适，房间够大，床睡的很舒服，位置好，对面商场商业街很热闹。电梯需要刷房卡，感觉比较安心', '短评打分': 5}
{'短评内容': '环境舒适很好，交通便利，服务不错，下次有需要还会再来。', '短评打分': 5}
{'短评内容': '不错，环境挺好，房间也挺干净，不错的选择', '短评打分': 5}
{'短评内容': '哎呦，不错哦，我随手一打就是标准的十个字，', '短评打分': 5}
{'短评内容': '哎呦，不错哦，早餐也不错', '短评打分': 5}
{'短评内容': '不知道  说什么   也没有什么可说的', '短评打分': 1}
{'短评内容': '酒店还不错，装修的也还行，就是第二晚打扫了没有换床单。。', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '还是很不错的，就是没去吃早餐，卫生也干净，赞一赞', '短评打分': 5}
{'短评内容': '好温馨的感觉！！', '短评打分': 5}
{'短评内容': '毗邻清湖地铁站，楼下吃的挺多，就是偏僻了点', '短评打分': 5}
{'短评内容': '价格实惠，干净卫生，还有不错的自助早餐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '价格实惠，整洁卫生，性价比很高。', '短评打分': 5}
{'短评内容': '干净 服务好，价格实惠。', '短评打分': 5}
{'短评内容': '感觉很好，很舒服，环境也不错', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': 'low我弄默默地墨迹，????????', '短评打分': 5}
{'短评内容': '环境一般，离地铁口有点儿远了，其他都很好！', '短评打分': 5}
{'短评内容': '优点: 房间环境好，适合休息; 缺点: 附近有汽车站，主路交通太拥挤，周边设施一般，前台服务态度有待提高.', '短评打分': 4}
{'短评内容': '酒店房间很大，隔音很不错', '短评打分': 5}
{'短评内容': '挺好，推荐', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
