{'descr': '住过很多次了，喜欢这个酒店，性价比很高。', 'star': 5}
{'descr': '总体都很好的哟！除了没早餐', 'star': 5}
{'descr': '还不错，就是位置有点难找', 'star': 4}
{'descr': '虽然位置有一点偏僻，但是不得不说，这是我花同等价钱住过的最好的酒店。nice。情侣房很ok', 'star': 4}
{'descr': '好，全五星好评。', 'star': 5}
{'descr': '好，全五星好评', 'star': 5}
{'descr': '不错，环境很好', 'star': 5}
{'descr': '特别好  以后还要去', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '室内相当大气', 'star': 5}
{'descr': '环境很好，房间也很大，喜欢', 'star': 5}
{'descr': '该酒店房间比较大，性价比很高！', 'star': 4}
{'descr': '一般，性价比不错', 'star': 3}
{'descr': '很好的酒店，房间很舒服，也很干净！现在每次到重庆都是住这里！价格经济又实惠。楼下就有很多好吃的，吃饭也很方便！', 'star': 5}
{'descr': '该酒店房间较大，性价比不错值得入住！', 'star': 4}
{'descr': '还行，就是厕所排水不怎么好，洗澡要堵', 'star': 3}
{'descr': '看Eason来的，周边的酒店都订完了，这个马马虎虎了，能睡', 'star': 3}
{'descr': '环境好！卫生好！服务好！', 'star': 3}
{'descr': '该酒店性价比高，房间较大，周围吃饭方便！', 'star': 4}
{'descr': '该酒店性价比不错，下次还来值得推荐！', 'star': 4}
{'descr': '会推荐的理由是便宜，环境真的不是很好，但是服务可以，蛮好的', 'star': 5}
{'descr': '很不错，不像前面说的很吵。房间干净，交通还算比较方便', 'star': 5}
{'descr': '还可以,设施有点陈旧了。', 'star': 3}
{'descr': '性价比不错的酒店', 'star': 3}
{'descr': '服务不错，就是不怎么干净，我们住的那间没窗户，觉得有点闷', 'star': 1}
{'descr': '很好的酒店，性价比很高。环境优雅，房间温馨，很喜欢。', 'star': 5}
{'descr': '还可以·就是不好找·还可以·就是不好找·还可以·就是不好找·还可以·就是不好找·', 'star': 5}
{'descr': 'good', 'star': 3}
{'descr': '感觉不错，就是很吵闹，地理位置不好，楼下就是菜市！！！以后看看其他酒店···', 'star': 5}
{'descr': '酒店的设施还是很不错的 很干净 就是外观上给人很陈旧的感觉', 'star': 5}
{'descr': '酒店里面环境还是好。就是外面太大杂烩了。本来这次还想来的，但是为什么要涨价呢？', 'star': 1}
{'descr': '酒店地理环境不是很好，周边挺乱的，不过房间内很不错，卫生也不错', 'star': 5}
{'descr': '虽然酒店的位置和周围环境不是很理想，但是酒店的房间很大，设施很新！住着还是很舒服的！特别要表扬房间里的那个写字台，还配有台灯哦~我上次入住是因为要在杨家坪中学考试的，距离杨家坪中学只有10分钟的车程，而且从酒店门口就能坐到考场门口，很方便~', 'star': 5}
{'descr': '一开始房间没宽带，换了一个房间又没衣柜。凑合住了，房间灯光很暗，白天也和黑天一样，纯粹适合睡觉。房间有虫子，位置比较偏远。工作人员服务还可以。', 'star': 1}
{'descr': '闹中取静，前台服务态度很好，卫生间很大。', 'star': 3}
{'descr': '优点，房间布置很温馨，有家的感觉，网速也挺快，性价比非常高。缺点，地方不好找，前台没有poss机，不能刷卡。隔音效果一般', 'star': 5}
{'descr': '服务质量很高      干净卫生    ', 'star': 3}
{'descr': '服务质量很好 速度有待提高 性价比较高   ', 'star': 3}
{'descr': '服务态度很不错，值得一提，服务效率有待提高，总体不错', 'star': 5}
{'descr': '水很烫，房间也不错，卫生条件很好，就是临街比较吵，但总体来说性价比很高！', 'star': 5}
{'descr': '就是位置有点偏僻，临街房间很吵，其他的还不错，房间太小，电视离床太紧', 'star': 5}
{'descr': '就是网速太慢，如是商务入住，不推荐此店。地方还比较方便找，公交车和打车都方便', 'star': 5}
{'descr': '鑫梦酒店不错喔~酒店房间装修得很漂亮。也很宽敞。', 'star': 3}
{'descr': '几天后会再来的，这个酒店真的是很不错很不错，性价比超高的！', 'star': 3}
{'descr': '第二次来咯~很舒服！过几天还会再来光顾滴~嘻嘻。', 'star': 5}
{'descr': '这次是给朋友在这里开了个标间。还是可以吧，不过我发现我在这里住的房一次比一次开的小。是不是老顾客就不热情了？', 'star': 5}
{'descr': '酒店客房环境还行,不过服务有待改进,入住期间居然没打扫过房间卫生.', 'star': 5}
{'descr': '非常好的酒店~客服的态度也很不错呢~我过几天还要来！^^', 'star': 5}
{'descr': '就是便宜，我是住了N次了  。你要是不差钱就不用考虑了', 'star': 5}
{'descr': '刚到酒店的时候，酒店所处的位置让我觉得很不满意，周围环境不好，就在菜市场附近，而且门口那条小街道还在翻修。后来走进酒店房间，对他的看法就改观了，房间很舒适很干净，设施很好，尤其喜欢那个带台灯的书桌，和卫生间里的脸盆。性价比很高的酒店，赞一个！', 'star': 5}
{'descr': '性价比高，环境干净，服务周到，值得推荐。。。。。。。。', 'star': 5}
{'descr': '环境还不错', 'star': 5}
{'descr': '性价比很高的一个酒店，店员的服务也不错。每天都会做清洁。', 'star': 5}
{'descr': '还凑合吧，这个价位能这样也就可以了。就是窗户临街那一面特别的吵，深夜了也不安静', 'star': 5}
{'descr': '酒店房间超大，卫生也不错。楼下街道在改建，所以有点脏。大排档很好', 'star': 5}
{'descr': '石坪桥后街位置不太好，九点外观也不太好，不过服务相当周到，而且也很干净，性价比不错', 'star': 5}
{'descr': '不错哦', 'star': 5}
{'descr': '酒店的各方面条件还不错.性价比很高的,而且硬件条件和卫生条件也都挺好的,我比较看好这有酒店.', 'star': 5}
{'descr': '酒店内不错 酒店周边环境部太好 性价比还算高', 'star': 3}
{'descr': '还行 性价比还OK', 'star': 5}
{'descr': '非常不错', 'star': 5}
{'descr': '划算', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '除了周边环境差了些，其他的都还不错。总体来说性价比还不错！', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '总的来说，很好。位置不是太好，但招牌大，好找。服务很好，很热情。周遍的环境不是太好，但里面蛮好的。楼下有新世纪超市。有实惠的按摩。', 'star': 3}
{'descr': '周边环境不太好，但是里面很安静。总的来说，很满意。 很好', 'star': 5}
{'descr': '每次去重庆都会住这个酒店，出了地理位置不好之外，什么都好。\r\n不过只是有一次，住的是休闲房，里面有许多虫子。', 'star': 5}
{'descr': '不错，周边环境有点不好，不过酒店房间却是挺不错的噢，至少在重庆这个地方这种价位能住到这样的商务酒店已经是很不错了，而且服务态度也好，很干净卫生。楼下有浴足的，正宗推拿。', 'star': 5}
{'descr': '價格便宜...房間也很乾淨...', 'star': 5}
{'descr': '环境和服务挺好的,地理位置稍微有一些偏了,交通还很便利,价格也不错.总体还是挺满意的.', 'star': 3}
{'descr': '酒店楼下是大排档一进门油烟味很大,楼上的客房还是不错的性价比很高值得推荐.', 'star': 3}
