{'短评内容': '酒店方便。', '短评打分': 3}
{'短评内容': '酒店很好，交通很便利，一出门就是泉城广场。不错的酒店。', '短评打分': 5}
{'短评内容': '房间距离泉城广场近点。', '短评打分': 3}
{'短评内容': '对面就是泉城广场，步行到芙蓉街也挺近的，就是装修的有些旧', '短评打分': 5}
{'短评内容': '位置不错，紧邻泉城广场，离芙蓉街也近。房间小点，不过还算干净。服务也不错！', '短评打分': 5}
{'短评内容': '条件差点东西陈旧，在泉城广埸边上应该提高自我条件。也难怪位置这么好价格却不高，入住率也不髙了。', '短评打分': 5}
{'短评内容': '位置好，设施有点陈旧，不过旅游只是晚上住', '短评打分': 3}
{'短评内容': '服务人员很坚持原则，最后不让住，赶了出来。现在居然还有这样的，好像回到六七十年代。', '短评打分': 3}
{'短评内容': '前台服务态度一般，端午节那天还准备让我加价，无语！房间有点破旧，但还凑合，主要是离泉城广场近，去趵突泉跟大明湖都很方便，周边购物逛街也很方便，所以总的来说也还行，下次可以的话会继续订。', '短评打分': 5}
{'短评内容': '环境挺好，位置不错，商务标间两张小床太小，价位高点，总体还行', '短评打分': 5}
{'短评内容': '地点好', '短评打分': 3}
{'短评内容': '酒店的设施不完善，有的插座还没有电。', '短评打分': 3}
{'短评内容': '该酒店除了位置不错外，装修破旧、设施不人性化，总的一句，那个价不值！', '短评打分': 1}
{'短评内容': '酒店位置很方便，还不错', '短评打分': 3}
{'短评内容': '逛街方便 性价比高', '短评打分': 3}
{'短评内容': '酒店位置很好，临近泉城广场，离趵突泉、五龙潭、黑虎泉都不远，步行即到，很方便。房间宽敞，去大明湖也有公交车。价格有点小贵，建议卫生间多一些架子或者挂钩。', '短评打分': 5}
{'短评内容': '老地方了，每次都来，图的就是个方便啊，看电影吃东西比较好，', '短评打分': 5}
{'短评内容': '交通非常方便的一个地方，冷气也太足了，就是洗澡水半天才热。刚去的时候不好找，注意找邮政大厦就好，就在旁边。\r\n\r\n离泉城广场非常近，走路不过三分钟。离芙蓉街走路不过10分钟。离趵突泉走路也不过5分钟。\r\n下次去还住那。泉城广场晚上也太漂亮了···', '短评打分': 5}
{'短评内容': '还可以吧，就是设施也是比较陈旧的，但是位置太方便了', '短评打分': 5}
{'短评内容': '位置还不错，到泉城广场很近，就是特价房小了点，标间还可以', '短评打分': 5}
{'短评内容': '地理位置很好，价位很合适，对的起这个价钱。设施有待提高。', '短评打分': 3}
{'短评内容': '酒店很旧了，设施一般，服务一般，位置挺好。', '短评打分': 5}
{'短评内容': '虽然设施没有很新，但位置很好，也很方便，出来就是恒隆广场、泉城广场，下次还会选择，比较省事吧', '短评打分': 5}
{'短评内容': '位置超好，价格优惠，就是设施简陋，并且没有早餐。', '短评打分': 3}
{'短评内容': '有点破旧。一般', '短评打分': 3}
{'短评内容': '酒店在泉城广场北马路对面，晚上看音乐喷泉很方便，儿子看得很兴奋，酒店大厅很整洁，在网上订的房间188元，房间小，而且陈设有点老了，不过在泉城广场这个位置这个价钱应该也不会有太好的房吧，不提供早餐，不过酒店楼下有家天天陷饼很不错，经济实惠，不远处就是芙蓉小吃街', '短评打分': 5}
{'短评内容': '酒店地理位置好，房间设施比较简陋，主要看重的是位置，感觉就这样贝', '短评打分': 3}
{'短评内容': '不错，主要是方便！附近什么都有！下一次去济南还来这', '短评打分': 5}
{'短评内容': '酒店不错，服务很好，下次还会入住，位置很好，在窗户外边就是泉城广场，打车司机都知道位置，上趵突泉，走着不到十分钟，大明湖打车起价走着也不远，黑虎泉也是，千佛山十多块钱，在后面就是一条商业街，逛街方便，商业街上有芙蓉街小吃一条街，吃小吃买点小纪念品不错。酒店下面有个馅饼，自助选，不错，可以用房卡记帐，吃饭方便，还可以送到房间。我们一家三口很满意。', '短评打分': 5}
{'短评内容': '内部设施一般，就是位置好！', '短评打分': 3}
{'短评内容': '地段很好 这是最值得推荐的一点\n希望在装修下 这样会吸引更多的顾客', '短评打分': 5}
{'短评内容': '住这非常方便，就是酒店太破了，跟红楼店没法比。周边吃饭也方便20米左右就有家24小时营业的永和豆浆  ', '短评打分': 5}
{'短评内容': '位置不错，就是空调关的早些，洗澡的时候有点冷。', '短评打分': 5}
{'短评内容': '位置很好,价位也还好.就是酒店内设施比较陈旧', '短评打分': 5}
{'短评内容': '位置绝佳,交通便利,干净舒适,隔音差点', '短评打分': 3}
{'短评内容': '离火车站不远~打车很方便~另外就是离济南的各大景点以及逛街的商场都很近~住宿条件也还可以~', '短评打分': 5}
{'短评内容': '性价比还是挺高的~交通确实非常方便~如果去济南旅游还是很不错的选择~', '短评打分': 5}
{'短评内容': '位置真的不错。紧邻泉城广场，距离芙蓉街、趵突泉、大明湖公园很近，步行即可。不过设施真的不怎么样，卫生间用大块玻璃做墙，用布帘遮挡（比较有情趣，带孩子去的话要注意）。临时涨价也让我很不喜欢。', '短评打分': 5}
{'短评内容': '位置绝佳，就在泉城广场北，临着泉城广场。恒隆广场，泉城路，芙蓉街……都很近。交通很方便。 酒店室内一般，有点旧，但蛮干净的。服务态度也很好。 根据价格来算的话，性价比挺高的，还是比较推荐的。', '短评打分': 5}
{'短评内容': '地点很方便，在楼下的美天馅饼吃早点不错。', '短评打分': 5}
{'短评内容': '去济南最佳的酒店住宿，省去奔波劳碌之苦，清明有去济南的朋友，赶快预定吧。', '短评打分': 5}
{'短评内容': '位置非常好，紧邻泉城广场和恒隆，如果有一次性拖鞋等就更好了，水有一股味道', '短评打分': 5}
{'短评内容': '也就位置优越一些  洗澡水比较凉  空调不是很热就是冷  装修比较陈旧', '短评打分': 1}
