{'短评内容': '早餐不好，房间有些旧', '短评打分': 3}
{'短评内容': '还可以，物美价廉。', '短评打分': 5}
{'短评内容': '酒店设施和卫生都不怎么样都能忍，服务基本没有', '短评打分': 2}
{'短评内容': '位置不错，出行方便，可随时打到出租车。酒店有停车场，开车的朋友停车方便。酒店服务很好，就是早餐菜品不够丰富。总体还不错吧！', '短评打分': 5}
{'短评内容': '因为学校附近都是招待所，不想住太差所以订个酒店，结果发现跟招待所一样，本来订的标间，结果随机给了个大床，一进门就很失望，没有窗户，整个房间很小很闷，排气系统很吵杂，睡到半夜感觉快被憋死！灯光昏暗，墙面污渍多，卫生条件差，总之体验很差，不会再回住', '短评打分': 2}
{'短评内容': '挺好的，便宜舒适', '短评打分': 5}
{'短评内容': '酒店位置较好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好，离华农近，出行方便', '短评打分': 5}
{'短评内容': '环境舒适', '短评打分': 5}
{'短评内容': '为什么没有返么？', '短评打分': 4}
{'短评内容': '位置不错，设施也不错', '短评打分': 5}
{'短评内容': '酒店服务太差，卫生状况差，前台服务员连信用卡都不认识!携程也太能忽悠了，说好的返现呢！！！！！！', '短评打分': 2}
{'短评内容': '有的房间显得陈旧了。墙壁贴纸破了。', '短评打分': 4}
{'短评内容': '房间确实很一般 主要是离华中农业大学近才选择这个酒店', '短评打分': 4}
{'短评内容': '环境还行？在线观看？在这里等了一个小女孩都喜欢', '短评打分': 3}
{'短评内容': '设施不错 信号不太好~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '设施不错 信号不太好~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '挺好的,交通便利,附近的饭店也很好吃,下次还住这里.', '短评打分': 3}
{'短评内容': '很不错，环境优雅，交通也很便利，附近几家饭店味道也不错，下次去还住这里！', '短评打分': 5}
{'短评内容': '一个性价比很不错的酒店。让人再去武汉定会再住一次。', '短评打分': 5}
{'短评内容': '很不错，周边的酒店也有特色。价格适中。下次再住。', '短评打分': 5}
{'短评内容': '挺不错的，离华农近。而且周边的餐馆味道很好', '短评打分': 5}
{'短评内容': '酒店位置还可以。\n但现在周边施工，环境不太好\n所谓的商务房只是房间有网线，不配电脑，这一点和普通标间有什么区别呢\n住了商务房，有些失望', '短评打分': 1}
{'短评内容': '环境和设施都很不错，唯一不好的就是无烟房的信号都不太好', '短评打分': 5}
{'短评内容': '房间比较大，装修的一般，价格还可以。酒店服务一般。', '短评打分': 1}
{'短评内容': '挺好的，卫生条件不错，附近也有吃饭的地方，整体不错。', '短评打分': 5}
{'短评内容': '自己觉得还差不多，但是结账时听到有客户扯皮', '短评打分': 5}
{'短评内容': '来华农考试订的房间，有停车位，房间环境不错，住着很舒适', '短评打分': 5}
{'短评内容': '周边环境很差，里面环境还可以，位于三环线旁，周边环境真是脏乱差...', '短评打分': 1}
{'短评内容': '千升环境不错', '短评打分': 3}
{'短评内容': '好小的房间啊。。。。最满意的地方是淋浴头', '短评打分': 1}
{'短评内容': ':环境不错,服务周到,价位合理。不足之处是隔音差，水声响。', '短评打分': 3}
{'短评内容': '环境还是可以，偏僻了一点，保安态度很好，赞一个', '短评打分': 5}
{'短评内容': '干净又便宜', '短评打分': 3}
{'短评内容': '酒店环境非常舒适,设施都是全新的,强烈推荐入住!', '短评打分': 3}
{'短评内容': '环境不错第二次住啦~~~~~就是热死了，没窗户的房间很闷', '短评打分': 5}
