{'短评内容': '可以，很干净！服务也很好就是不太好找', '短评打分': 5}
{'短评内容': '离公交车站很近 附近有好多好吃的 老板人都特别好 我跟我闺蜜都很满意 房间又便宜又好 我们退房了 还可以寄存行李 玩好回来拿 ', '短评打分': 5}
{'短评内容': '我们开始订的是上下铺，后来到的时候给了我们双床房，而且是那种大床加上旁边一个另外加上去的席梦思床垫，店主说没有上下铺，可是携程上明明是上下铺的图片！！环境和设施就那样吧，毕竟是民宿，和酒店没法比。', '短评打分': 4}
{'短评内容': '环境，卫生都还ok，就是旁边游客早起赶行程所以有点吵。老板很热情，找不到路还会去接你。', '短评打分': 5}
{'短评内容': '装修精致，床很舒服，位置很好，在喧嚣的小吃街里面突然安静下来了', '短评打分': 5}
{'短评内容': '很不错的   房间蛮大的  服务也好   就是去的时候动不动下雨  最后一天走还降温了   好尴尬  其他都好', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '客栈不错，老板美女人很好，', '短评打分': 5}
{'短评内容': '比实体店售票还贵，好偏僻，与图不符', '短评打分': 3}
{'短评内容': '還可以吧 一般', '短评打分': 3}
{'短评内容': '遇见老乡了，哈哈！就不俗气地评价了，两个字：都不错。', '短评打分': 5}
{'短评内容': '店家很热情', '短评打分': 5}
{'短评内容': '环境还不错，店家也很热心，总体上还行，就是路不好找，可以提前打电话给店家', '短评打分': 3}
{'短评内容': '环境卫生干净，靠近美食街，到海滩只需10分钟非常方便，服务周到。非常满意！', '短评打分': 5}
