{'短评内容': '入住快捷，服务不错，地理位置方便', '短评打分': 5}
{'短评内容': '服务还是可以的。帮公司老外定的酒店，遇到问题服务台都有耐心的处理。', '短评打分': 5}
{'短评内容': '一直都很好的酒店，我很喜欢', '短评打分': 5}
{'短评内容': '外地同事来津首选！除了这个酒店，其他酒店一律不住，个人也非常喜欢，总结好好好好好好好好好好好好好，特别好', '短评打分': 5}
{'短评内容': '酒店服务态度很好，就是细节不够细致。比如我订房时要求要无烟房，但安排入住时还是吸烟房。其他方面都还不错。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '酒店地理位置较好，紧邻出差地点，交通便利。酒店服务非常好，设施也比较新，另外，所用洗漱用品设计非常有艺术气息，推荐入住！', '短评打分': 5}
{'短评内容': '干净整洁，美中不足私密性差，敞开楼道', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '建议大家可以到别的网站预定房间的，预定后携程的服务很生硬，店大欺客，携程不省心！', '短评打分': 1}
{'短评内容': '去的不巧，酒店门外正好是地铁施工，不太好打车。酒店环境不错，服务也ok，就是周边太冷清。', '短评打分': 5}
{'短评内容': '帮客人订的，看着挺不错的，大厅做好了，客人满意。', '短评打分': 5}
{'短评内容': '春节期间入住，饭店位置很好，停车位非常多。早餐和午餐十分丰盛，餐饮五星标准，餐厅服务到位。房间大而明亮，安静隔音好，卫生间宽敞整洁。大堂富丽大气，有很多沙发供客人休憩，健身房和游泳池漂亮高档。大年初一饭店安排了舞狮表演和财神派红包等活动，为客人准备了饺子年糕等小吃，节日气氛浓厚。前台和门口服务员热情专业，春节期间在岗位工作，对他们表示衷心感谢。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': ' 酒店非常好，就是没有棋牌室。', '短评打分': 3}
{'短评内容': '不错，就是太偏僻了，楼下什么都没有，晚上都不敢出去了', '短评打分': 5}
{'短评内容': '很好的酒店，感觉比天津的另两家万丽还要舒服些，可惜湖面太小了，工作人员素质好。价格略贵。', '短评打分': 5}
{'短评内容': '很不错呢，很喜欢大厅的设计。房间内还可以看到后院的湖水。', '短评打分': 5}
{'短评内容': '晚上有歌手在大堂唱歌。上电梯需要插房卡。环境好。建议打扫房间的时候，把地毯上的毛发、灰尘吸干净。', '短评打分': 5}
{'短评内容': '不错的酒店。就是淋浴的水流小。', '短评打分': 3}
{'短评内容': '环境不错，房间也很大，就是觉得一次性拖鞋好像是用过的。', '短评打分': 3}
{'短评内容': '房间跟同级别稍显小 其他不错', '短评打分': 3}
{'短评内容': 'Good bed! Very suitable for those people with special request on bed.', '短评打分': 5}
{'短评内容': '非常不错的酒店，在华北地区可能算是最好的了，比北京的那些高档酒店还强一些，性价比也高。', '短评打分': 5}
{'短评内容': '帮朋友定的，又赶上促销，价格非常合适，呵呵，朋友也非常喜欢', '短评打分': 5}
{'短评内容': '酒店房间还不错，地理位置也还行，蛮干净的', '短评打分': 5}
{'短评内容': '比较不错的一家酒店,比较符合我的要求，办事比较方便', '短评打分': 5}
{'短评内容': '无论前台接待还是礼宾部服务都非常热情周到!房间装修时尚大气,设施较为先进!位置离商业中心区略有些远,不过交通还算方便!', '短评打分': 5}
{'短评内容': '该酒店的硬件不错，有五星的水准，但是服务跟不上，入住或退房均慢，效率特低，一点不像万豪旗下的酒店。', '短评打分': 3}
{'短评内容': '硬件设施绝对一流，价格偏高，服务水平不如喜来登', '短评打分': 5}
{'短评内容': '非常好.公司出差都是住这个酒店.\n服务员态度也不错.', '短评打分': 5}
{'短评内容': '帮别人订的,酒店不错,只不过这次给留了顶楼的房间,说是又热又吵(可能是空调压缩机吧)\n', '短评打分': 5}
{'短评内容': '实在的讲这是一家态度很牛的酒店，也许是政府背景不愁没有客源吧。和前台反映问题总是回答说不可能并没有帮助解决问题。所以以后不会再住这里啦。', '短评打分': 1}
{'短评内容': '硬件还不错，服务要跟上。HOUSE KEEPING 更要提高水平。', '短评打分': 5}
{'短评内容': '酒店是新建的，环境和服务都不错，床超舒服，虽然不是在家，但睡得很好', '短评打分': 3}
{'短评内容': '每次去天津就会住这个酒店.\n目前服务上有改善.', '短评打分': 5}
{'短评内容': '以前一直住滨江万丽,现在一直来天津一直住万丽天津宾馆.业务水平比以前有很大提高.', '短评打分': 5}
{'短评内容': '各个方面的条件都不错.如果服务员的业务水平能够再提高的话,那就更不错俄.', '短评打分': 5}
{'短评内容': '作为全新的五星级酒店的装修，品质差太远了，装修材料都很次，工艺非常粗糙，楼层的空间太高，不节能。服务员态度不错。硬件跟不上。', '短评打分': 1}
{'短评内容': '总的来说还可以吧，但可能因为他们主要接待政府的团，所以对散客不太热情。', '短评打分': 5}
{'短评内容': '酒店还是比较一般，位置出行还是挺方便的，价格感觉有些偏贵，服务方面还好，主要房间装修设施比较简单而且也很小。', '短评打分': 1}
{'短评内容': '住宿条件很好的酒店，这里的餐饮服务很不错，菜的口味很棒，而且餐厅的摆设很时尚，很讲究，住宿条件不错', '短评打分': 5}
{'短评内容': '酒店装修的很大气，通透，感觉看着很舒服，房间性价比挺好的，卫生条件不错，住宿环境好', '短评打分': 5}
{'短评内容': '除夕晚上入住的，很安静吧，能看出来平时天津举办什么会议估计应该很热闹的，除夕全家出来住也是为了省的在家总收拾屋子、安安静静休息休息，定的高级还是豪华湖景房吧，阴面，但是景色还不错。空调暖风小慢了一些，后来都很好。\n卫生间没什么特色，面积倒是还可以。\n房间总的觉得有点空荡荡，好像的因为只有一个床头柜的原因吧。\n送了双早，很好，我们三口，又加了一份早晨好像是160还是120元一份，品种不算多，云吞也难', '短评打分': 5}
{'短评内容': '外观装修的很气派，停车场很大，房间蛮宽敞的，收拾的干净整洁，住着挺舒服', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 3}
{'短评内容': '房间很新，就是有点味道。不过估计时间久了就好了。\n服务很好。值得推荐。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '酒店整体来讲还可以.室内的设施挺齐备的.住着让人感觉比较舒服.', '短评打分': 5}
{'短评内容': '很好，大堂很漂亮，服务很好，房间装修风格很不错。', '短评打分': 5}
{'短评内容': '酒店非常不错。只是服务员的业务水平有待提高。特别是行政楼层的。', '短评打分': 5}
{'短评内容': '酒店地处河西区宾水道附近，距离市政府，天津大礼堂，国际展览中心，梅江国际会展中心不太远，周边吃饭的地很多，酒店背湖，空气清新，景色也不错，房间装修的还可以，卫生条件也不错，环境很好', '短评打分': 5}
