{'短评内容': '酒店服务太差。没有想象的好', '短评打分': 3}
{'短评内容': '酒店的洗发水和沐浴露就一次性的那么一小半。沐浴露明显不够用自己在外面买的。', '短评打分': 3}
{'短评内容': '环境卫生一般。还赶不上七天。酒店接待也没那么好。第一次去没办法。', '短评打分': 3}
{'短评内容': '卫生条件差，晚上睡觉太吵！', '短评打分': 2}
{'短评内容': '房间不错33层。三亚湾景色阳台可观', '短评打分': 5}
{'短评内容': '酒店就在椰梦长廊边上，房间很大，订的两室一厅，可住6人，楼下有兰州拉面，沙县等亲民小吃店，很好，比大东海的公寓好多了', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '自驾游，房间大，较新，海边，价格适中', '短评打分': 5}
{'短评内容': '服务热情，非常好', '短评打分': 5}
{'短评内容': '非常好！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '老板很好 环境好', '短评打分': 5}
{'短评内容': '老板很好 免费给升级 房间干净 特别满意', '短评打分': 5}
{'短评内容': '本来担心卫生，到了一看很干净，有专门的保洁打扫。阳台风景很棒，看海和凤凰岛。凤凰岛晚上五彩绚烂。宋老板很热情，帮了我们很多，完全不是那种很商业的。100%的推荐率不是水的。这里地理位置很好，出游和吃饭都很方便。推荐。', '短评打分': 5}
{'短评内容': '服务很好，周边环境也好。', '短评打分': 4}
{'短评内容': '满意，相当满意，老板人特别好，很热心！下次来一定还选择这！绝对是实景图片，而且相当干净！堪比四星！', '短评打分': 5}
