{'短评内容': '酒店干净整洁，房间很大', '短评打分': 5}
{'短评内容': '酒店干净，', '短评打分': 5}
{'短评内容': '环境还可以 ', '短评打分': 5}
{'短评内容': '酒店自己配套薄弱', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '服务态度不好', '短评打分': 3}
{'短评内容': '真心太那啥了，旧旧的地毯，简陋的床，洗手间地面有点霉，没有矿泉水，冰箱里面有点脏，没有WIFI，家里人订的，不得不住，好伤心', '短评打分': 3}
{'短评内容': '房间挺大的。停车方便。早餐也还可以，第二次住了，好评', '短评打分': 5}
{'短评内容': '价格便宜了点，性价比不错', '短评打分': 4}
{'短评内容': '有餐厅和停车场', '短评打分': 4}
{'短评内容': '性价比可以！', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店服务热情，性价比超高的。', '短评打分': 5}
