{'短评内容': '环境很好，服务态度也很好，', '短评打分': 5}
{'短评内容': '蛮干净的', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '缺点：隔音很差，wifi根本搜不到，向前台反映对方不予理睬。订房含早餐，七点开饭但我们要六点赶火车，要求给备个路餐，对方不予理睬。前台全程未见笑脸。优点：便宜。结论：怪我！', '短评打分': 3}
{'短评内容': '马虎', '短评打分': 5}
{'短评内容': '房间住着还行，价格合理', '短评打分': 5}
{'短评内容': '很好很实惠', '短评打分': 5}
{'短评内容': '空调效果不错，热水终于是热水了，还送了植物', '短评打分': 4}
{'短评内容': '服务意识不够', '短评打分': 3}
{'短评内容': '29号白天当班的前台态度太差了，其他两个态度挺好', '短评打分': 2}
{'短评内容': '房间还算干净，空调制热还行，就是网不好，断断续续的，询问前台也不予理会，感觉态度不太好吧……', '短评打分': 2}
{'短评内容': '早餐一般般，其他都还好', '短评打分': 3}
{'短评内容': '好不错吧！', '短评打分': 5}
{'短评内容': '酒店不错，与客户端所描述基本一致', '短评打分': 3}
{'短评内容': '还可以，床睡的不舒服，wifi信号几乎没有', '短评打分': 4}
{'短评内容': '值得信赖，再次续订，下次优惠些', '短评打分': 3}
{'短评内容': '酒店内部还可以啊 就是大堂略显凌乱，周边配套设施不齐全，还是住闹市区方便些', '短评打分': 5}
{'短评内容': '每间房都有电脑，很好，但是不能自己装东西，基本就上个网，而且是1.5M宽带，勉强上个网。\n有早餐，不错，点餐也比较划算。\n总体值得推荐。\n装修比较老旧。', '短评打分': 5}
{'短评内容': '酒店环境挺好，服务周到，设施也挺新，早餐有些单调', '短评打分': 5}
{'短评内容': '还不错，离火车站和市中心都不远，在高校附近，是个闹中取靜的好地方，房间和服务都还不错', '短评打分': 5}
{'短评内容': '房间还不错，设施也齐全，最好的是电视可以点播，酒店离火车站也不远，只是周围吃饭（小吃）不算方便，周边比较安静。', '短评打分': 5}
