{'短评内容': '前台服务好 ', '短评打分': 5}
{'短评内容': '位置好，在市中心，离商业街很近，卫生好，干净，服务好，性价比超高，住一晚才几十块钱，经常来。位置好，在市中心，离商业街很近，卫生好，干净，服务好，性价比超高，住一晚才几十块钱，经常来。位置好，在市中心，离商业街很近，卫生好，干净，服务好，性价比超高，住一晚才几十块钱，经常来。位置好，在市中心，离商业街很近，卫生好，干净，服务好，性价比超高，住一晚才几十块钱，经常来。位置好，在市中心，离商业街很近，', '短评打分': 5}
{'短评内容': '出差都住这家，服务好，卫生干净，性价比高，位置很高，推荐入住！出差都住这家，服务好，卫生干净，性价比高，位置很高，推荐入住！出差都住这家，服务好，卫生干净，性价比高，位置很高，推荐入住！出差都住这家，服务好，卫生干净，性价比高，位置很高，推荐入住！出差都住这家，服务好，卫生干净，性价比高，位置很高，推荐入住！出差都住这家，服务好，卫生干净，性价比高，位置很高，推荐入住！出差都住这家，服务好，卫生干', '短评打分': 5}
{'短评内容': '出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。', '短评打分': 5}
{'短评内容': '出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。出差都住这家，卫生很干净，服务态度很好，性价比高，每次都订这家，以后会经常来的。', '短评打分': 5}
{'短评内容': '。。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈啊哈哈啊哈哈哈还差哈哈哈哈能咯是休息你放牛娃傻X破hi么名字手机费刘龙咯额名誉呢那裤子破罐子咯', '短评打分': 4}
{'短评内容': '性价比较高，值', '短评打分': 4}
{'短评内容': '很小的房间，自己办事比较方便，便宜。', '短评打分': 5}
{'短评内容': '水压', '短评打分': 3}
{'短评内容': '不错，价格实惠。多次入住了，这次又和家人一起玩时住了2天', '短评打分': 5}
{'短评内容': '还好，用了去哪儿网才花了四十左右，很实惠了', '短评打分': 4}
{'短评内容': '还', '短评打分': 5}
{'短评内容': '挺好的，很温馨', '短评打分': 5}
{'短评内容': '感觉没啥', '短评打分': 2}
{'短评内容': '性价比高，房间可以接受', '短评打分': 5}
