{'短评内容': '很到位女朋友很喜欢很愉快的一次购物体验', '短评打分': 5}
{'短评内容': '主要是离家近，卫生比较放心', '短评打分': 5}
{'短评内容': '干净，卫生。', '短评打分': 5}
{'短评内容': '很不错 床非常大 大概可以睡四个人 也很干净 喜欢', '短评打分': 5}
{'短评内容': '服务还不错 电源插座太少了', '短评打分': 4}
{'短评内容': '空调不制热，屋内昏暗啊，不亮，卫生间味道有点大，其他的都还好，还有小冰箱，', '短评打分': 4}
{'短评内容': '有免费停车场，早餐还行。设施比较陈旧但还干净。周边有南开大学，水上公园等，带孩子的话可以过去转转，比较方便', '短评打分': 4}
{'短评内容': '东西还不错，相当于特价买的。 现在买东西主要在京东了，质量有保证，快递到货快，态度也好~', '短评打分': 5}
{'短评内容': '非常不错，环境很好，还有免费自助早餐，很丰盛', '短评打分': 5}
{'短评内容': '挺不错挺好的', '短评打分': 5}
{'短评内容': '酒店服务热情周到，房间设施有点旧，但是住着还挺舒服的，餐厅早饭也还可以。离办事处办公地方较近！是理想的出差住所！就是房间的WIFI不太好！', '短评打分': 4}
{'短评内容': '位置不错、干净整洁。房间设施齐全、服务态度好，早餐也不错，晚餐也不贵。周边环境也可以、交通也很方便。晚', '短评打分': 5}
{'短评内容': '非常满意，房间宽敞明亮，干净卫生，每日还有水果，早餐赠送，服务员态度很好！', '短评打分': 5}
{'短评内容': '非常满意，房间宽敞明亮，干净卫生，每日还有水果，早餐赠送，服务员态度很好！', '短评打分': 5}
{'短评内容': '非常满意，房间宽敞整洁，前台服务态度非常好！还有免费可口早餐！', '短评打分': 5}
{'短评内容': '停车方便，周边小饭店很多很方便。', '短评打分': 4}
{'短评内容': '破。。服务差的狠。', '短评打分': 1}
{'短评内容': '环境满意 挺不错的', '短评打分': 5}
{'短评内容': '不错，设施完善，服务周到，临街有点吵。', '短评打分': 4}
{'短评内容': '去做北京机场的大巴很方便', '短评打分': 4}
{'短评内容': ' 设施旧，但较卫生', '短评打分': 3}
