{'短评内容': '不错，空间还是小点，其他一切都ok', '短评打分': 4}
{'短评内容': '性价比不错，位置也可以', '短评打分': 4}
{'短评内容': '地上卫生有点没搞干净', '短评打分': 5}
{'短评内容': '蛮干净卫生的', '短评打分': 5}
{'短评内容': '服务非常好，工作人员非常耐心的解答了入住问题！  如果满分是100分的话我给99分，还有1分怕你们骄傲。', '短评打分': 5}
{'短评内容': ' 挺好的房间 服务态度也不错 就是网慢了些', '短评打分': 5}
{'短评内容': '酒店位置很方便，出行（市中心），购物（紧挨步步高），用餐（新华楼、九如川菜馆……），最主要的是前台接待很热情也很有礼貌。房间也不错，很干净！', '短评打分': 5}
{'短评内容': '111111', '短评打分': 5}
{'短评内容': '不错，主要是因为近', '短评打分': 5}
{'短评内容': '不能微信支付，不能***，不能刷卡。环境一般般。押金必须得现金，', '短评打分': 1}
{'短评内容': '还可以啦，第一次住比较便宜', '短评打分': 5}
{'短评内容': '11111111111111111', '短评打分': 5}
{'短评内容': '很好，住了两次，过两天去长沙还会入住，干净，安静～', '短评打分': 5}
{'短评内容': '房间很好，非常干净，99元定到这样的房间简直赚到', '短评打分': 5}
{'短评内容': '热水暖气都有，卫生也还可以，不过隔音实在一般', '短评打分': 4}
{'短评内容': '看演唱会超方便', '短评打分': 5}
{'短评内容': '没热水', '短评打分': 4}
{'短评内容': '快捷酒店来说还可以，周边也有好吃的，就是洗刷套装要收钱，这个比较坑人', '短评打分': 4}
{'短评内容': '透气不好，窗户小', '短评打分': 5}
{'短评内容': '隔音效果不好，隔壁做爱声音大。卫生差、桌面灰尘多。', '短评打分': 1}
{'短评内容': '周边很方便，有大型超市，房间也很舒适，但是奇怪床上有一面镜子。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '押金是付现金，结账是刷卡，酒店前台貌似没有处理过这种情况，等了二十多分钟才办好。有待改进。整个客房浴室都是头顶天花板的淋浴设施，不太习惯，下次是否入住还待考虑、', '短评打分': 5}
{'短评内容': '1、酒店整体的艺术氛围还可以\n2、房内灯光有些暗（适合夫妻入住）\n2、不提供免费洗刷用品（洗发液、沐浴露、牙膏、牙刷）.....，入住的朋友注意了！\n3、网速不错\n4、不含早，不远有卖包子馒头的\n5、墙皮有脱落现象\n6、没有手持淋浴碰头，只有一个直淋莲蓬头\n7、房间没有抽屉之类的，可隐蔽存放物品的物件\n8、电视有不少频道不清晰\n9、如要上网的朋友，入住前自己到前台要网线\n10、价格没优惠多少，周边', '短评打分': 1}
{'短评内容': '环境还可以，就是列位所说的隔音效果........', '短评打分': 5}
{'短评内容': '地理位置还算好，交通很方便，房间干净，就是小乐点', '短评打分': 5}
{'短评内容': '环境一般，房间有点小，隔音不是很好，总的来说对得起这个价格吧。', '短评打分': 5}
{'短评内容': '酒店价格没有什么优惠，感觉没有什么特别的 ，一般', '短评打分': 1}
{'短评内容': '卫生间比较小，还就是没电脑哦，不过在长沙对的起这个价位。很满意', '短评打分': 3}
