{'短评内容': '服务态度好。晚上有虫子。卫生一般。', '短评打分': 5}
{'短评内容': '酒店没有停车场', '短评打分': 5}
{'短评内容': '酒店位置还行，就是没有停车场', '短评打分': 5}
{'短评内容': '没有早餐的，不能加床，酒店环境卫生还可以，可惜没有停车场。', '短评打分': 5}
{'短评内容': '位置比较好，出行方便', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '前台友好，入住方便，卫生舒适，交通便捷。靠路边的房间，晚上听车来车往，略吵。', '短评打分': 5}
{'短评内容': '服务挺好的，房间干净卫生！', '短评打分': 5}
{'短评内容': '前台服务很好，很有耐心！房间干净卫生，对房间很满意！下次过来还住这里', '短评打分': 5}
{'短评内容': '位置不错，老板态度很好，就是房间有些简陋，不太干净。', '短评打分': 4}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '作为一般出游，还不错', '短评打分': 4}
{'短评内容': '前台服务很好！房间很赞，下次过来还住这里！', '短评打分': 5}
{'短评内容': '已经记不得来这家店多少次啦，总觉得就那样的好', '短评打分': 5}
{'短评内容': '值得推荐。', '短评打分': 5}
{'短评内容': '还好，价格比较合理！房间干净卫生', '短评打分': 5}
{'短评内容': '服务一般，房间很烂', '短评打分': 3}
{'短评内容': '还可以，，，，，，，  ，，', '短评打分': 4}
