{'短评内容': '到束河的时候正下大雨，打电话问如何去酒店，让我打座机，然后服务人员一点也不知道附近环境。无奈之下只好搭游览马车环城再让人送我过去。住客栈2天期间至少停电3次。热水完全没有。唯一觉得比较正面的是位置不错--离束河去大研的中巴站很近，去四方街也方便。还有就是院子很大，可以洗衣服。无论如何，缺点太多，绝对不是适合出外旅行居住的地方。', '短评打分': 1}
{'短评内容': '酒店还不错，很安静，感觉束河要比丽江好，安静', '短评打分': 5}
{'短评内容': ' 环境不错，服务周到，小和很好：）', '短评打分': 3}
{'短评内容': '就在古城里 方便好找 就在古城里 方便好找 ', '短评打分': 5}
{'短评内容': '环境还是不错的，价位也还行。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境还成，位置不错，就是隔音确实是差了点儿。。。', '短评打分': 5}
{'短评内容': '房间比较暗,个人觉得还是住丽江古城区好,束河古镇一点不热闹.', '短评打分': 1}
{'短评内容': '还行！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '感觉不错 如同束河一样的安静 一开始订了2个120的大床房 到店后其中一间房没退房 老板就安排我们住了一间160的套房 还有个小客厅  一直住了两晚 但是还是只收了原来的房费 院子里种了很多花花草草 还有些水果 老板娘热心漂亮', '短评打分': 5}
{'短评内容': '小院古朴典雅，去四方街也方便，施设稍旧！', '短评打分': 5}
{'短评内容': '庭院很好，房间很有特色，干净卫生，很美丽', '短评打分': 5}
{'短评内容': '位置比较幽静，老板好说话，环境还可以，找了好久才找到，闹中取静', '短评打分': 5}
{'短评内容': '好温馨的一个园子，很喜欢，下次还会光顾的', '短评打分': 5}
