{'descr': '空调遥控器只能制冷，不能制热', 'star': 4}
{'descr': '有停车场，没早餐，不能加床，位置不错 不适合带小孩居住。有停车场，没早餐，不能加床，位置不错 不适合带小孩居住。有停车场，没早餐，不能加床，位置不错 不适合带小孩居住。', 'star': 5}
{'descr': '有停车场，没早餐，不能加床，位置不错 不适合带小孩居住。有停车场，没早餐，不能加床，位置不错 不适合带小孩居住。有停车场，没早餐，不能加床，位置不错 不适合带小孩居住。', 'star': 5}
{'descr': '房间小巧，感觉回到了学生时代，基本设施都齐全', 'star': 5}
{'descr': '一股消毒水味，这是住过最差的旅店了', 'star': 1}
{'descr': '该有的都有，小而精，就是服务实在太差了。', 'star': 4}
{'descr': '性价比还可以', 'star': 4}
{'descr': '房间的空间真是不足啊，上铺身高一点都可以碰到楼顶了，床铺两头都是空的没有什么铺垫类似的东西，还有我放了十几分钟水怎么没有热水啊？', 'star': 3}
{'descr': '还凑合吧', 'star': 5}
{'descr': '很好，不错', 'star': 5}
{'descr': '环境好', 'star': 5}
{'descr': '房间不错，一应俱全。只是那个梯子只有一个钉子，我真怕不小心掉下来…', 'star': 3}
{'descr': '点一万零一个赞点一万零一个赞点一万零一个赞点一万零一个赞', 'star': 3}
{'descr': '点一万零一个赞！点一万零一个赞！点一万零一个赞！', 'star': 3}
{'descr': '点一万个赞…点一万个赞…点一万个赞…', 'star': 3}
{'descr': ' 为什么没减去11块的优惠？', 'star': 3}
{'descr': '想体验 宿舍生活吗 那就来吧 上下铺 狭小空间\n整体干净 卫生 麻雀虽小五脏俱全\n不过 厕所漏水 到第二天才可以解决 好烦', 'star': 5}
{'descr': '电视坏的，插座坏的，不过还算干净，懒的换房间了就住一晚上', 'star': 3}
{'descr': '实在是太小了，是中央空调，四月底没有制冷，能把人闷死', 'star': 1}
{'descr': '酒店真心不错～楼下有保安很有安全感～也很负责～酒店里面环境挺好的～虽然不大，但挺温馨的～这个价钱条件算很不错了～非常满意～', 'star': 3}
{'descr': '酒店真难找啊，店家也不详细标明位置。。。房间呢，只能说灰常袖珍，不过还算干净啦。。', 'star': 3}
{'descr': '订的是无窗房.\n房间很小,性价比还是比较高.\n上下铺很实用,宽带等设施一应俱全.\n无窗房比较闷,中央空调也不好使,晚上睡觉一开始觉得闷热。\n房间的电视遥控器没有电池...=,=\n总之服务很一般,不过这个价格..也不错了.\n位于长寿路商圈,倒是交通吃喝逛街蛮方便', 'star': 5}
{'descr': '上下铺，房间很小，厕所更小。网线要找前台要，上网账号要申请。。。第2天才拿到。\n其他的没什么说 出行很方便，价格较低。', 'star': 1}
{'descr': '环境不错，周围有很多商店，房间很干净，设计很好，就是浴室小了点', 'star': 5}
{'descr': '难找，服务不好，但价格便宜。。小了点，但好歹该有的都有', 'star': 5}
{'descr': '还好啦。对得起这个价格。主要是离合作公司地点比较近。', 'star': 5}
{'descr': '房间很喜欢，小小的，上下铺的，一个人住有点可惜了，还有就是隔音效果不太好~', 'star': 5}
{'descr': '服务很好，前台很周到。房间也还不错。宗旨还蛮好的。呵呵', 'star': 5}
{'descr': '房间还可以，暖气很足。就是刚来没找到！总的来说还是不错的！！', 'star': 3}
{'descr': '设施最简，是理想的大学刚毕业生的落脚点。不过隔音很差，而且暖气晚上8点以后才有。', 'star': 5}
{'descr': '总体来说还是好的，也挺乾淨的，就是没地方洗衣服。', 'star': 5}
{'descr': '很迷你很可爱，都是年轻人，喜欢！而且订到特价房哦，才90元大高低铺哦，太棒了', 'star': 5}
{'descr': '第二次入住了，不错，空间小但功能全，以后会继续选择', 'star': 5}
{'descr': '第二次入住该酒店了，空间小但功能全，唯一不足的是前台的服务员操作很是不熟练，竟然让客户等候半天后说发票没有。希望可以提高服务质量，做好人员培训。', 'star': 5}
{'descr': '房间小但五脏俱全，感觉性价比还不错', 'star': 3}
{'descr': '房间很干净…床蛮舒服', 'star': 3}
{'descr': ' 还在装修。环境还可以。但是没有窗户，有味道', 'star': 3}
{'descr': '很一般，相当糟糕，没有提供宽带竟然却在酒店说明上写着，而且服务人员态度一般，酒店具体的位置标识不明显。交通也不甚方便', 'star': 1}
{'descr': '挺好的。就是卫生间有点小。吹风机少。热水一会就没了。要等。', 'star': 5}
{'descr': '房间很有爱啊 虽然空间比较小 要是有个窗户就更好了  酒店外面装修业很复古 我喜欢', 'star': 5}
{'descr': '店家很好哦。态度不错', 'star': 3}
{'descr': '不错 真的 很方便 以后 来了 会来这住的 网速 也很好', 'star': 5}
{'descr': '房间很小，但很有格调，空间利用的很好。。。', 'star': 3}
{'descr': '环境还不错，房间设计蛮小巧到位', 'star': 3}
