{'短评内容': '老板人不错 房间以及被子潮湿老旧 离车站大概20几分钟', '短评打分': 4}
{'短评内容': '客栈性价比很高，推荐入住', '短评打分': 5}
{'短评内容': '本想选离高铁站近点的酒店，其实也不近。酒店服务态度还行，周边用餐也挺方便。不足之处是房间较小，设施比较旧，没有电梯，距老汽车站有点远。', '短评打分': 4}
{'短评内容': '房子挺好的，老板非常好！位置也可以，主要是老板好热情', '短评打分': 4}
{'短评内容': '价格实惠，房间比较干净，晚上老板还来电问需不需要接，人非常好！', '短评打分': 5}
{'短评内容': '整体感觉还行', '短评打分': 4}
{'短评内容': '这家老板真的很好，我们是自助游，问了怎么坐车，推荐婺源有名的特色小吃，而且他家的店离老北站和火车站都很近！', '短评打分': 4}
{'短评内容': '老板人好，就是房间有些小', '短评打分': 4}
{'短评内容': '性价比非常高，老板推荐的吃玩也很良心', '短评打分': 5}
{'短评内容': '被褥感觉特别潮湿，虽然有浴室但是地方太小根本没法洗澡，只能凑活住', '短评打分': 3}
{'短评内容': 'The hotel was within walking distance of the main shopping area in Wuyuan. The area is quieter than most areas of Wuyuan with less noise from cars. The room was clean, but the walls, which are painted', '短评打分': 5}
{'短评内容': '老板人很热情，服务非常好，感觉温馨，小孩子超级喜欢那个太空舱，价格公道，性价比很高。', '短评打分': 3}
{'短评内容': '假期涨价…环境一般。离婺源北站2公里左右。婺源汽车站2公里左右。其实婺源这种旅馆很多。可以选择更近一点的。', '短评打分': 3}
{'短评内容': '老板服务好价格贵', '短评打分': 5}
{'短评内容': '住宿环境、服务方面一般。', '短评打分': 3}
{'短评内容': '婺源泰洁客栈位于婺源县中心，交通十分方便，房间宽敞、明亮、干净，免费电脑、手机上网，老板服务态度非常好，值得推荐。爽！', '短评打分': 5}
