{'短评内容': '交通特别方便，就在钟楼旁边，离回民街也很近。酒店门口就有一个大商场，前台服务也很好，行李可以免费寄存，如果下次去西安还会选这家酒店的', '短评打分': 5}
{'短评内容': '位置很方便，经常入住，附近超市，吃的也多。就是早餐一般，出差还是很适合的。房间很大，还干净，推荐入住。', '短评打分': 5}
{'短评内容': '酒店位置很好。周围是商业繁华区域。有步行街，更多的美食。距钟楼不到500米，二号地铁出行也便捷。街口有公交车站，可以到陕西博物馆等地', '短评打分': 5}
{'短评内容': '环境不错，地理位置优越', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间真心不错。', '短评打分': 5}
{'短评内容': '挺好的，不错，离钟楼近，上街方便', '短评打分': 5}
{'短评内容': '挺好，好', '短评打分': 5}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '周围坏境不错，便于出行！', '短评打分': 5}
{'短评内容': '环境 位置都不错，总体很好。', '短评打分': 5}
{'短评内容': '位置方便，环境我不错，总体很好。', '短评打分': 5}
{'短评内容': '服务质量好', '短评打分': 5}
{'短评内容': '蛮好的，酒店，很干净', '短评打分': 5}
{'短评内容': '挺不错的，出门也很方便', '短评打分': 5}
{'短评内容': '挺不错的，出门也很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地理位置很好，交通便利，吃饭方便。', '短评打分': 4}
{'短评内容': '爸妈很满意，地点很好，吃饭方便。', '短评打分': 4}
{'短评内容': '各方面都方便', '短评打分': 5}
{'短评内容': '地方很好，在市中心，住宿比較舒服', '短评打分': 5}
