{'descr': '位置好找 有地下停车场 早餐也可以', 'star': 1}
{'descr': '酒店设施太久了，价格也有点贵，这边也没有什么好的环境，为早餐也是一般般，总而言之，一般不会再去住了，', 'star': 4}
{'descr': '非常干净，环境优美', 'star': 5}
{'descr': '每次来都住这里离着大润发不远，周围吃饭的地方很多，房间稍微有点装修时间长，显得旧点了。早餐也还可以品种不少。', 'star': 5}
{'descr': '还不错，挺好的', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '房间干净卫生，出行方便，设施稍微有点旧了。', 'star': 5}
{'descr': '房间虽小，五脏俱全', 'star': 4}
{'descr': '在这个地方性价比算蛮好的酒店，价格适中', 'star': 4}
{'descr': '还行吧 就在家隔壁 挺好的', 'star': 4}
{'descr': '还可以，就是有时候下面的KTV太吵了，以后还会来住的。', 'star': 5}
{'descr': '还行，只是方圆一公里以内没什么特色小吃，小饭店之类的', 'star': 5}
{'descr': '装修还行，不过房间的隔音。。。等于没有门啊，外面啥都听的清楚', 'star': 1}
{'descr': '房间高档，干净，价格应该说名副其实，高档次享受和优惠的价格', 'star': 5}
{'descr': '店内火锅不错，服务不敢恭维。', 'star': 3}
{'descr': '九点一般，安排在无窗房间，郁闷。网上预定的可不是这种房！', 'star': 1}
{'descr': '服务不好，没有叫车服务。', 'star': 3}
{'descr': '服务态度不好：会客厅放了一个大麻将桌，我们想换一个没有麻将桌的，前台的人不理不睬，一会说没房，一会儿说都这样~~~~~~~~不是解决问题的态度~~~~~~~~~~~~~', 'star': 1}
{'descr': '这个酒店还算可以入住，不过与网上的有差距。而且地址也不是很容易找。', 'star': 3}
{'descr': '这个酒店还算可以入住，不过与网上的有差距。而且地址也不是很容易找。', 'star': 3}
{'descr': '离火车站确实还算不远，下了车差不多很快就走到了，房间性价比确实还不错。很干净，该有的都有，设施也确实都很好。就是网线实在太短了，必须坐在凳子上上网。整体还是推荐。', 'star': 5}
{'descr': '离火车站确实还算不远，下了车差不多很快就走到了，房间性价比确实还不错。很干净，该有的都有，设施也确实都很好。就是网线实在太短了，必须坐在凳子上上网。整体还是推荐。', 'star': 5}
{'descr': '酒店不错，干净整洁，前台很热情，还会再住', 'star': 5}
{'descr': '房子比较新，房间条件不错。但价格不够给力。', 'star': 5}
{'descr': '装修还行，不过房间的隔音。。。等于没有门啊，外面啥都听的清楚', 'star': 5}
{'descr': '住的还好，就是晚上有点冷。。。其他方面值得推荐', 'star': 5}
{'descr': '住的还好，就是晚上有点冷。。。其他方面值得推荐', 'star': 5}
{'descr': '酒店很破旧，楼梯间一股很浓的霉味，设施也很差，对不起139元的价格，充其量也就是个招待所的水平。', 'star': 1}
{'descr': '酒店很破旧，楼梯间一股很浓的霉味，设施也很差，对不起139元的价格，充其量也就是个招待所的水平。', 'star': 1}
{'descr': '不错了，，，性价比很高啊，，，就是传单上有些洗不掉的东西，这些需要改进的', 'star': 5}
{'descr': '不错了，，，性价比很高啊，，，就是传单上有些洗不掉的东西，这些需要改进的', 'star': 5}
{'descr': '房间设施不好，空调也不能用啊，上次的还凑合，这次真不行', 'star': 1}
{'descr': '房间设施不好，空调也不能用啊，上次的还凑合，这次真不行', 'star': 1}
{'descr': '隔音较差 单从房间环境来说140有点高', 'star': 3}
{'descr': '隔音较差 单从房间环境来说140有点高', 'star': 3}
{'descr': '隔音效果不太好，ELONG订的也没早餐券，需要另外花25元/人。', 'star': 5}
{'descr': '还好，，退房时间太早了吧，，，，，\n\n\n希望在客服入住前检查一下设施设备', 'star': 5}
{'descr': '还好，，退房时间太早了吧，，，，，\n\n\n希望在客服入住前检查一下设施设备', 'star': 5}
{'descr': '挺好的。。。环境就挺的。。。值得去来，下次还来。。', 'star': 5}
{'descr': '挺好的。。。环境就挺的。。。值得去来，下次还来。。', 'star': 5}
{'descr': '定的是大床，感觉没以前标间干净！主要是床单上！而且晚上不知有啥东西，吵的厉害！5层背间！', 'star': 5}
{'descr': '定的是大床，感觉没以前标间干净！主要是床单上！而且晚上不知有啥东西，吵的厉害！5层背间！', 'star': 5}
{'descr': ' 房间太烂中央空调不热晚上冻死了。停了车堵的也出不来。前台服务太差爱搭不理的。再也不去了。', 'star': 3}
{'descr': ' 房间太烂中央空调不热晚上冻死了。停了车堵的也出不来。前台服务太差爱搭不理的。再也不去了。', 'star': 3}
{'descr': '该酒店是泰兴最好的酒店，比较干净，实惠。168的性价比也比较高', 'star': 5}
{'descr': '还可以     就是有点冷   希望多加修改', 'star': 5}
{'descr': '还可以     就是有点冷   希望多加修改', 'star': 5}
{'descr': '还行，就是酒店味道重，有点邋蹋！饭菜还好！', 'star': 3}
{'descr': '还行，就是酒店味道重，有点邋蹋！饭菜还好！', 'star': 3}
{'descr': '定了一个标间和大床,还算干净，暖气不好,空调太响,不过价格很超值,值得推荐', 'star': 3}
{'descr': '定了一个标间和大床,还算干净，暖气不好,空调太响,不过价格很超值,值得推荐', 'star': 3}
{'descr': '房间密封性不好，住在9楼一早就被马路上的汽车声吵醒。', 'star': 3}
{'descr': '价格很优惠，就是空调声音太大了，晚上只能关了空调睡，有些冷。', 'star': 5}
{'descr': '价格很优惠，就是空调声音太大了，晚上只能关了空调睡，有些冷。', 'star': 5}
{'descr': '服务水平较低，服务意识较差。新建酒店卫生装修应该较好，可实际较差。有宽带没有电脑。有电视，频道太少。预定了房间就应该保留，可实际上只保留了配楼的麻将屋，感觉不受重视，房间卧具、水杯等感觉不太干净。房间电话也是坏的。电话里推荐的内容与实际的相差较大。结帐发票应备充足，可结帐时说发票用完，只能邮寄，影响单位按时报销，感觉不好', 'star': 1}
{'descr': '服务水平较低，服务意识较差。新建酒店卫生装修应该较好，可实际较差。有宽带没有电脑。有电视，频道太少。预定了房间就应该保留，可实际上只保留了配楼的麻将屋，感觉不受重视，房间卧具、水杯等感觉不太干净。房间电话也是坏的。电话里推荐的内容与实际的相差较大。结帐发票应备充足，可结帐时说发票用完，只能邮寄，影响单位按时报销，感觉不好', 'star': 1}
{'descr': '房间不错，环境也挺好的。推荐。', 'star': 3}
{'descr': '房间不错，环境也挺好的。推荐。', 'star': 3}
{'descr': '酒店比较高档,物有所值,不过位于新城区,交通不是很方便', 'star': 5}
{'descr': '酒店硬件不錯，房間也夠大，整體服務到位，硬要挑毛病就是廁所衛生紙質量較差及房間隔音較差，容易被走廊聲音吵到', 'star': 5}
{'descr': '结账时要发票说打印机坏了', 'star': 3}
{'descr': '去泰兴一直住这里,交通便利。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间新,早餐较少。服务不到位,没有叫车,送行李等服务', 'star': 3}
{'descr': '性价比很不错，在泰兴算好的。只是里面KTV有些吵闹。', 'star': 5}
{'descr': '不错。。。。。。下次去泰兴还是会选择这家酒店。。。。。', 'star': 5}
{'descr': '没热水，床上头发太多…', 'star': 3}
{'descr': '没热水，床上头发太多…', 'star': 3}
{'descr': '总的来说很好，唯一不足的是淋浴是坏的……', 'star': 5}
{'descr': '总的来说很好，唯一不足的是淋浴是坏的……', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '环境非常的不错，离火车站也近510大床房很好', 'star': 5}
{'descr': '环境非常的不错，离火车站也近510大床房很好', 'star': 5}
{'descr': '交通便利，步行大约10分钟可至火车站，附近餐厅，小超市等应有尽有，价钱也比较合理，不过设施看起来有点儿陈旧。', 'star': 5}
{'descr': '交通便利，步行大约10分钟可至火车站，附近餐厅，小超市等应有尽有，价钱也比较合理，不过设施看起来有点儿陈旧。', 'star': 5}
{'descr': '房间一般', 'star': 3}
{'descr': '房间一般', 'star': 3}
{'descr': '，接待员及服务员很热情，耐心替我们调换房间直至满意。下回还来。', 'star': 3}
{'descr': '，接待员及服务员很热情，耐心替我们调换房间直至满意。下回还来。', 'star': 3}
{'descr': '酒店新！设施好！早餐好！下次还来', 'star': 3}
{'descr': '环境不错  很干净', 'star': 3}
{'descr': '环境不错  很干净', 'star': 3}
{'descr': '房间还可以，前台的服务态度不是很好，都不爱理人。', 'star': 5}
