{'短评内容': '还可以了。', '短评打分': 4}
{'短评内容': '酒店环境不错，高端大气上档次，属于节能环保型国际酒店，性价比高，前台接待热情大方，服务周到细致，有停车场，免费停车', '短评打分': 4}
{'短评内容': '酒店位置很好，但是装修有点老了', '短评打分': 5}
{'短评内容': '前台戴眼镜特别胖的服务员简直没话说她了，为了她也不会再去你们酒店！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮朋友订的、说还不错，支持吧', '短评打分': 5}
{'短评内容': '好，不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间干净整洁，只是大厅略显冷清，房间设施齐全，高端大气上档次，房间还有免费的两瓶矿泉水，不错的选择，下次再来', '短评打分': 4}
{'短评内容': '很满意，值得推荐！环境优美，服务周到热情.房间很干净，摆设布置也不错，周边很安静。非常舒适的酒店，室内设施完备，地理位置绝佳', '短评打分': 5}
{'短评内容': '整体不错，隔音不太好', '短评打分': 5}
{'短评内容': '①般，尤其早点太差', '短评打分': 4}
{'短评内容': '1.11/19早上6点10分退房，前台男生服务态度极其恶劣 2.在前台喊了三声才出来，完全屋里在睡觉 3.给名片要打公司抬头发票，打完后名片仍在别处 4.递给发票和信用卡时啪啪放在台面上一脸不乐意 5.退房时间居然还20分钟，且我自己一个人退房 简单总结，我早上退房影响他睡觉一样', '短评打分': 3}
{'短评内容': '设施齐全，环境优美，周边饭店多尤其韩国餐馆味道很好！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': 'lㅗㅗ어ㅏ아ㅗㅎㅎㅎㅎㅎㅎㅎㅍ', '短评打分': 3}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '离办事的地方比较近，周边吃饭消遣的去处不少，挺热闹的。\n不过这个价格性价比不太高', '短评打分': 3}
{'短评内容': '这个档次的酒店656元，确实有点太贵了。这次是因为离会展中心近才住的。下次估计不会再住这儿了。。。', '短评打分': 1}
{'短评内容': '离会展比较近，较方便，建议参加会展的人可以到这里入住。韩国客人貌似很多，早餐有辣白菜，大酱汤什么的，不错。前台有个小帅哥服务态度也超级好，赞！', '短评打分': 5}
{'短评内容': '好像是天津韩国商会会员驻地，韩国人较多，满眼也尽是韩文。\n房间较大，但是没窗户的是在是不舒服。下次不住了。', '短评打分': 1}
{'短评内容': '感觉不错！房间很大，还挺干净的，电视可能需要更新换代了，热水有时会忽冷忽热，需要改进。', '短评打分': 5}
{'短评内容': '外观不错，位置挺好，设施比较差，性价比不高', '短评打分': 1}
{'短评内容': '酒店位置非常好，坐落于鼓楼附近，这是一个不错的景点，离地铁站也很近，出行方便，周边用餐，购物，逛街非常便利，缺点是房间较小。', '短评打分': 5}
{'短评内容': '酒店不错，好像大部分客人是韩国的', '短评打分': 3}
{'短评内容': '酒店还是可以的，服务和位置都不错，但在天津这个价格不便宜。', '短评打分': 5}
{'短评内容': '酒店一般  不像4星', '短评打分': 3}
{'短评内容': '烂酒店。如果不是为去参加展览，根本就不要去住。一无是处。', '短评打分': 1}
{'短评内容': '破酒店。房间里面热死人，窗户都打不开。东西旧的不得了。再也不住了。', '短评打分': 1}
{'短评内容': '破酒店。窗户开不了，能热死人。服务很差。不推荐。', '短评打分': 1}
{'短评内容': '房间有些味道，洗手间门关不紧，相对此价格，一般', '短评打分': 3}
{'短评内容': '房间比较舒适 比快捷酒店好些 在梅江那边 看车展很方便哦~', '短评打分': 5}
{'短评内容': '酒店很不错。 装修很高档，环境也好，楼下就是小水池。 周围设施很全！！ 按摩，卡拉OK，超市，药店，饭店，等等等等。总之是不错的酒店呢\r\n', '短评打分': 3}
{'短评内容': '感觉不错，房间很干净，又漂亮，最喜欢的是大浴缸！！ 但是窗子不能打开有点遗憾。周围是韩国居住区，喜欢韩餐的人有福了。 我就超级喜欢泡菜，很正宗，天天吃！', '短评打分': 3}
{'短评内容': '酒店还是很好的。 周围也很便利。 服务员态度好。 就是早餐有点单一， 都是韩国风味。 周围应该是韩国区吧。', '短评打分': 5}
{'短评内容': '地理位置不错，周边吃饭娱乐很方便。酒店客房设施不错，可惜服务太差，根本没有星级酒店资格，房价还是偏贵。', '短评打分': 1}
{'短评内容': '空调效果差，根本没有制冷，噪音还非常大。电视信号也很差，世界杯都看不清。服务人员态度非常好，虽然有些错误，但是态度非常好，可是设施实在不匹配。', '短评打分': 1}
{'短评内容': '设施陈旧，其他都还不错，住着也比较舒服。', '短评打分': 5}
{'短评内容': '设施陈旧，其他都还不错，住着也比较舒服。', '短评打分': 5}
{'短评内容': '各方面还不错，整体感觉非常好.而且性价比还是蛮高的.', '短评打分': 5}
{'短评内容': '酒店里空气不好，弥漫着一股油烟味，因为楼下就是一个酒楼，房间还算大，但是硬件和服务跟不上，床很硬，电视可看的台很少，几乎都是韩文，checkin和checkout都很慢！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '下次会再来', '短评打分': 5}
{'短评内容': '還不錯 離出差的公司很近 設施也可以 推薦', '短评打分': 5}
{'短评内容': '设施还可以挺新的，位置在天津大梅江商圈核心区那里。要去那里的话住这挺合适的', '短评打分': 5}
{'短评内容': '总体可以', '短评打分': 5}
{'短评内容': '各方面感觉不错，位置靠近环渤海金融商业中心挺方便的', '短评打分': 5}
{'短评内容': '这家酒店整体感觉还是比较满意的，性价比还是很好的，服务也很热情。', '短评打分': 5}
