{'短评内容': '房间隔音不好，一个晚上没有睡好。', '短评打分': 3}
{'短评内容': '还含早餐，主要是早餐还很好吃', '短评打分': 5}
{'短评内容': '服务态度很好，很安静的一个地方', '短评打分': 5}
{'短评内容': '客人在房间里睡觉，服务员自己开门进去，要求客人退房，刚刚开房，不到一个小时就要退房，经理处理事情不理不睬。', '短评打分': 1}
{'短评内容': '早餐是酒店门口的小吃，不错，个人很很喜欢，位置在一个巷子里面，停车不是很方便。卫生很好。挺不错。住了四五了', '短评打分': 5}
{'短评内容': '您婆婆婆婆', '短评打分': 5}
{'短评内容': '价格便宜，位置稍微有点偏，不好找。', '短评打分': 3}
{'短评内容': '其他房间不清楚。安排给我的房间电视都是雪花和噪音，没法看。房间水龙头很旧很简陋，水流切换的开关也坏掉了。总之体验不好。', '短评打分': 3}
{'短评内容': '5547538855828', '短评打分': 5}
{'短评内容': '垃圾房间 半个小时收取超时费用20元 建议别去哪里开房', '短评打分': 1}
{'短评内容': '可以的，很不错', '短评打分': 5}
{'短评内容': '还可以!', '短评打分': 5}
{'短评内容': '总体还可以设施有点旧卫生间淋浴头不好用交通方面周边环境一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '房间大标准配置(有2瓶水，还有礼品)服务员热情', '短评打分': 5}
{'短评内容': '住宿体验不错，好评！', '短评打分': 5}
{'短评内容': '很好，已经多次入住了，空调也很凉。', '短评打分': 3}
{'短评内容': '房间很通风', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '位置有点偏，床有点硬，网速有点慢。这个价位性价比还可以。', '短评打分': 3}
{'短评内容': '位置有点偏，床有点硬，网速有点慢。这个价位性价比还可以。', '短评打分': 3}
{'短评内容': '还算不错的酒店 比较安静 设施嘛 一分钱一分货咯', '短评打分': 5}
{'短评内容': '前台服务很好！我们退房迟了一些，也没多收房费，酒店性价比较高！', '短评打分': 5}
{'短评内容': '  三星级酒店，咖啡厅很好，很舒适，非常安静，下次去还住这边。离周边的景点也很近。', '短评打分': 5}
