{'短评内容': '交通方便环境优美，挺好的', '短评打分': 5}
{'短评内容': '交通方便，环境优美，就是房间挺紧凑', '短评打分': 5}
{'短评内容': '早餐很棒', '短评打分': 5}
{'短评内容': '不错，酒店比较干净', '短评打分': 5}
{'短评内容': '房间设施一般，但干净，服务也很好，早餐也不错，价格有点偏高。其他还好。', '短评打分': 4}
{'短评内容': '朋友出差', '短评打分': 5}
{'短评内容': '房间很大，干净，舒适，周边环境好。', '短评打分': 5}
{'短评内容': '位置不错，打车，购物方便，下次继续光顾', '短评打分': 5}
{'短评内容': '服务人员态度非常好，尤其是琳琳同学', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '设施太老旧，不陪这个价格，周边环境不错，交通也不错。房间内部和快捷酒店差不多。', '短评打分': 3}
{'短评内容': '酒店服务不错，晚间送水果，房间也很干净。', '短评打分': 5}
{'短评内容': '可以的,虽然老了点,但作为商业的酒店还是不错的@', '短评打分': 4}
{'短评内容': '环境不错，百花公园也很美，下次去还会入住的', '短评打分': 5}
{'短评内容': '房间不错，客房服务也不错，总台服务小姐态度很好，总体感觉不错，还有送了小礼品，呵\n', '短评打分': 5}
{'短评内容': '春节去住的，就在市区里面，挺好的，性价比高：)', '短评打分': 5}
{'短评内容': '环境还好 就是设施有些陈旧 服务很好 服务很好', '短评打分': 5}
{'短评内容': '宾馆硬件很好，位置也好，出门就是公园。只是入住的第一晚热水不太热，跟酒店提出后就改进了。非常好，下次还选择这家宾馆。', '短评打分': 3}
{'短评内容': '酒店不错，设备也还可以，早饭一般，样式不多，热牛奶也没有的，而且9点就没有了，我住过的四星级宾馆一般都到10点的，其他都满意', '短评打分': 1}
{'短评内容': '酒店不挺好的错，还给免费升级了房间，早餐和晚餐都', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '环境还不错,也比较实惠。', '短评打分': 3}
{'短评内容': '还不错   性价比不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '服務很好,早餐不錯,位置很好,價格略高\n有機會還願意入住', '短评打分': 5}
{'短评内容': '酒店设施及服务都非常好，早餐还不错,就是时间过早结束！地理位置好！\n推荐此酒店', '短评打分': 5}
{'短评内容': '酒店内德设施有点陈旧，特别是网线的位置设计的很不好，要很长的网线才能接的上，很不方便。', '短评打分': 5}
{'短评内容': '不错的，卫生和装修都挺好的！我每次回去都定这家的！', '短评打分': 5}
{'短评内容': 'B楼的房间性价比好差，200多的房价在池州应该也算不便宜，但感觉不值', '短评打分': 1}
{'短评内容': '设施新，退房速度有点慢，在池州还是不错的', '短评打分': 5}
{'短评内容': ',一般', '短评打分': 3}
{'短评内容': '服务很好  美女们都很贴心  落在酒店的手机保存完好  表示感谢', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店整体条件一般，内部设施不够精细，电视太小，除了面积较大外无其他亮点', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '还可以的……', '短评打分': 3}
{'短评内容': '不错的一个酒店，A楼新建的但是配置感觉有点旧，周围环境很好', '短评打分': 5}
{'短评内容': '不错的酒店，设备比较新，干净整齐。早餐简单了一点，希望改进', '短评打分': 5}
{'短评内容': '是家很不错的酒店,周围有个公园，风景不错。就是价格有点贵', '短评打分': 5}
