{'短评内容': '位置靠近江边，方便!', '短评打分': 5}
{'短评内容': '酒店在万达广场后面，位置还算好找，一排4栋高楼中离三峡游客中心最近的那栋。wifi 便利，设施不错。', '短评打分': 4}
{'短评内容': '还行，在江边，位置好', '短评打分': 5}
{'短评内容': '玩三峡的朋友最佳位置，三峡游船早上8.30分开船在这里不用太赶，江景房环境好一些', '短评打分': 5}
{'短评内容': '因为在21楼，采光不太好，有点暗，但是环境还不错，干净，地理位置也不错，可以去万达逛逛，总之还是很不错的', '短评打分': 5}
{'短评内容': '我住了一晚上，这酒店环境不错，很干净，在上面可以看到万达江，夜景非常漂亮，不过有一点点我不满意！就是酒店没有卫生纸，上个厕所不知道用什么擦屁股！', '短评打分': 5}
{'短评内容': '酒店很方便，离万达近', '短评打分': 5}
{'短评内容': '就在万达，旁边就是中心医院，很方便，房间大小也还可以。就是空调好像很旧，zi制热效果不是很好', '短评打分': 4}
{'短评内容': '酒店除了地理位置好以外没有什么优势。没有免费停车场，万达停一个晚上五十块。房间里的地毯全是烟头洞，卫生状况很一般，房间设施感觉低档。性价比很低', '短评打分': 3}
{'短评内容': '房间挺大，交通方便', '短评打分': 5}
{'短评内容': '真的不值这个价啦，卫生不好！很脏，厕所门还是坏的！地毯粘粘的！我刚订完付款了他就降价了！好坑！同一款房型哦！真的不值，五百多就这样的房不值得！窗子虽然可以看到江，但不是那种全景玻璃，中间有几个隔断！房间味道很大！', '短评打分': 3}
{'短评内容': '差！差！太差！', '短评打分': 1}
{'短评内容': '环境很好，地段优势较好', '短评打分': 5}
{'短评内容': '老板人超好，窗外是宜昌最美的沿江大道，风景美如画', '短评打分': 5}
{'短评内容': '我的定点出差入住酒店，老板人超好，窗外江边风景美', '短评打分': 5}
{'短评内容': '房间很干净，地段好，万达楼上，购物方便，江边风景美', '短评打分': 5}
{'短评内容': '万达楼上，环境和服务，在这个价格是值得推荐的', '短评打分': 4}
