{'短评内容': '非常好！环境好，服务好，早餐丰盛', '短评打分': 5}
{'短评内容': '推荐。自助餐厅的早午晚餐都不错，性价比高，地铁也近。', '短评打分': 5}
{'短评内容': '只能这么说，选择这里就是很顺心！一切都是给人感觉很自然！基本带着客户出差就是这里或者日航！前台的美女帮着把提前到的日本客人入住办理的很好，非常感谢！', '短评打分': 5}
{'短评内容': '交通便利，服务快捷！', '短评打分': 5}
{'短评内容': '酒店还行，门脸不大，是老牌酒店，房间里面算干净卫生。早餐不算太丰富，马马虎虎吃得饱。周围有KFC和金拱门，不含早餐自己吃也很方便。酒店对面胜利广场地下3层有很多小吃店。大连很奇怪，地铁口和地下过街通道晚上都会关闭，不知道是为啥？感觉不方便，本来想去马路对面罗森买点喝的，也过不去，绕路又嫌远，只有作罢。', '短评打分': 4}
{'短评内容': '京东预定酒店，价格实惠。是原来的华美达酒店，涉日，服务周到，设施齐全，距火车站广场仅隔一条马路，出行方便！', '短评打分': 5}
{'短评内容': '不错，一直住九州', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '希望继续努力，加油向前冲', '短评打分': 3}
{'短评内容': '质量好的那个车牌号前，，，', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也很贴心', '短评打分': 5}
{'短评内容': '酒店不错、环境好、干净宽敞、交通便利、还追加入住了一晚.', '短评打分': 5}
{'短评内容': '不错的，房间价格定下来比其他优惠', '短评打分': 5}
{'短评内容': '周边比较方便，房间很紧凑，东西还是不错', '短评打分': 5}
{'短评内容': '只能说你是你是你是你上哪上哪上哪', '短评打分': 5}
{'短评内容': '位置不错，靠海很近，周边吃饭购物出行都很方便。', '短评打分': 5}
{'短评内容': '地理位置好，不错！', '短评打分': 5}
{'短评内容': '有点贵，房间一般', '短评打分': 4}
{'短评内容': '不知道，没住过。', '短评打分': 5}
{'短评内容': '九州有一股浓浓的日式风，感觉非常温馨的哈，音乐系统让人非常放松，对了扶梯能用了简直好顶赞', '短评打分': 5}
{'短评内容': '各方面都非常好！太满意了！', '短评打分': 5}
{'短评内容': '房间干净卫生，服务态度很好。', '短评打分': 5}
{'短评内容': '房间挺好，去哪都方便。', '短评打分': 5}
{'短评内容': '真是不错，房间条件好，服务态度很好，周边出行方便', '短评打分': 5}
{'短评内容': '给同事预定的，同事说不错', '短评打分': 5}
{'短评内容': '干净卫生，very nice ！', '短评打分': 5}
{'短评内容': '交通便利、价格便宜', '短评打分': 5}
{'短评内容': '不错的酒店，价格合理', '短评打分': 5}
{'短评内容': '服务很好，早餐也不错，出行方便', '短评打分': 5}
{'短评内容': '商务旅行的最佳选择。', '短评打分': 5}
{'短评内容': '商务旅行的最佳选择。', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '虽然不是华美达了，但还是和以前一样，服务周到，环境干净。唯一一个不足就是酒店门前停车位取消了，十分不方便！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店很不错，十分满意！交通便利，早餐很棒！', '短评打分': 5}
{'短评内容': '小日本开的酒店，第一服务语言是日语，让人不爽。', '短评打分': 3}
{'短评内容': '酒店环境还是不错的，硬件设施比较完善，如果服务态度和速度能更快点就更好了。', '短评打分': 5}
{'短评内容': '整体上没有什么问题。客房服务人员态度很好，前台可能是因为太忙，有时候态度会冷一点，可以理解。各方面还是和四星档酒店很符合的。', '短评打分': 5}
{'短评内容': '很好很喜欢，交通便利，下次还会来这里住，性价比蛮高', '短评打分': 5}
{'短评内容': '酒店服务态度很好，还免费升的级！', '短评打分': 3}
{'短评内容': '不错,位置好,环境好,就是人多,前台入住\\退房都很慢.态度也就不太好.', '短评打分': 5}
{'短评内容': '不错 不错 不错 环境很好 条件很好 推荐推荐', '短评打分': 5}
{'短评内容': '非常干净，关键是地理位置非常霸道，7点起床赶7点40的火车一点问题也没有', '短评打分': 5}
{'短评内容': '酒店环境很好，地理位置优越，下次来还会入住。但是离店时坐酒店的免费车去机场，发生了些不愉快，司机不顾车上的老人和小孩开的飞快，到机场时司机把我们的行李放下就走了，我们几个人都感到晕车，希望下次不会发生这种情况', '短评打分': 5}
{'短评内容': '环境优雅房间干净整齐，交通便利，服务水平较高。\n', '短评打分': 5}
{'短评内容': '酒店住宿条件很好，晚上也很安静', '短评打分': 3}
{'短评内容': '酒店卫生很好,服务也不错,给免费做了房间升级,出行和吃饭也很方便,只是房间会有一点点装修的味道.', '短评打分': 5}
{'短评内容': '这个酒店真的不错，服务很贴心，我们住的标间，房间很大，交通也方便，还有车专门送到机场，下次如果来大连，还住这里。', '短评打分': 5}
{'短评内容': '宾至如归的服务', '短评打分': 3}
{'短评内容': '推荐这家酒店 离火车站非常近,晚上到的大连,下了火车过了马路就到了,很方便.周围很热闹,酒店的硬件设施不错,马桶很高级,前台接待也非常热情~', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '卫生很好，服务也不错。房间面积挺大，而且价格也不贵，综合性价比很好，适合差旅人士。', '短评打分': 5}
{'短评内容': '酒店环境还好，但是外面交通太乱，人太多，打车非常不好打。另外，酒店的服务人员素质不是很高，效率不高。总体来说，价格偏贵', '短评打分': 3}
{'短评内容': '舒适，洁净，交通便利，设施齐全。下次再到大连还是会选九州华美达！', '短评打分': 5}
{'短评内容': '房间干净，早餐还行（有古琴弹奏），自助午餐（品种偏少）一般，自助晚餐很一般（相比日航的），客房服务很好，有机场送机服务，', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '硬件设施非常好！推荐大连可以入住此酒店！', '短评打分': 5}
{'短评内容': '上次来大连就住这了，设施不错，建议前台服务人员服务素质要加强，必经五星级，不能只知道对日本人客气，对中国人也要具备服务意识！！', '短评打分': 5}
{'短评内容': '这是一家涉日酒店，紧邻大连火车站，虎跃快客总站，环境清幽，有壁式音乐，电动马桶，如果你是出门渡假，或者出差开会，我建议您选择此酒店。而且前天服务态度诚恳，我退房结算的时候不小心忘记开发票，事后联系到一名叫李秀的前台服务小姐，不仅补办了发票，而且按照我的意愿采用了对方付款的快递，真的让我感动。', '短评打分': 5}
{'短评内容': '环境优雅房间干净整齐，交通便利，服务水平较高。\n如果旺季能有促销或者团购价就更好了！', '短评打分': 5}
{'短评内容': '相当赞的一家酒店，极力推荐！免费给升的标间，无烟层，尽量还是不要选靠广场的，有的时候会吵。', '短评打分': 5}
{'短评内容': '真的不错，很干净，非常好，酒店日本客人很多', '短评打分': 5}
{'短评内容': '：服务不错，交通便利，下次会再选择。', '短评打分': 3}
{'短评内容': '超值选择！', '短评打分': 3}
{'短评内容': '酒店环静不错，入住晚了免费升级豪华房，真不错！', '短评打分': 3}
{'短评内容': '酒店非常方便，就在火车站出口处不远，但是住在不临街的一面，所以很安静，房间很好，很舒服，住店的日本客人比较多。去吃了自助餐，因为住店可以打5折，还不错。总之，推荐，下次去还会住这里。', '短评打分': 5}
{'短评内容': '位置方便，环境温馨，但有些细节还需完善。', '短评打分': 3}
{'短评内容': '还行吧。。。。没什么特别的感觉。。。。。。。。', '短评打分': 5}
{'短评内容': '还行吧。。。。没什么特别的感觉。。。。。。。。', '短评打分': 5}
{'短评内容': ' 设施还可以\u3000服务一般', '短评打分': 3}
{'短评内容': '很方便 附近吃的地方玩得地方都很多 就是因为在火车站旁边 交通那叫一个挤啊', '短评打分': 5}
{'短评内容': '卫生间太小了，关门都费劲，房间稍微有点旧，但是离火车站很近，自助餐也不错。', '短评打分': 1}
{'短评内容': '晚上将近11点才到达酒店，订的是特价房没有了，直接升级标间。\n\n房间小了点，但是各方面还是很满意的。\n马桶是全自动的，墙壁而且还能放歌呢，轻音乐听听放松还是蛮舒服的。\n\n旁边就是火车站，周边很热闹。吃的逛的都很近，确实不错。\n\n华美达确实不错，前台和房间阿姨的笑容都很好，如果下次来还会再入住', '短评打分': 5}
{'短评内容': '交通很方便，服务态度很好，房间很干净，价格合理~不错', '短评打分': 5}
{'短评内容': '酒店位置不错，就在大连火车站的旁边，环境也还可以，服务也算到位。酒店日本人特别多。', '短评打分': 5}
{'短评内容': '位置很好. 不过相对没有星海那边美丽. 其它的硬件条件一般', '短评打分': 5}
{'短评内容': '房间还是不错的，交通方便，周围很热闹，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，交通方便，离火车站近，比较方便．购物也方便．下次有机会还住这里', '短评打分': 5}
{'短评内容': ' 条件和环境真不错!服务也好!值得推荐!', '短评打分': 3}
