{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '环境不好 不值这个价', '短评打分': 1}
{'短评内容': '房间很旧，地板不平，房间里电视很小，酒店周边环境也很差，早餐很一般，停车场有，很方便。酒店前台服务很差，打电话没人接，结账很乱，她们聊天为主，四五个人办事很慢！！！！！', '短评打分': 3}
{'短评内容': '酒店设施成旧', '短评打分': 2}
{'短评内容': '方便快捷，离理工大学近', '短评打分': 5}
{'短评内容': '还可以！一般般吧', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '这个价格就这样，你愿意出多少钱，那么，你得到的东西就是对等的，好在停车方便还免费，一定要赞一下，有机会又来', '短评打分': 5}
{'短评内容': '不错，挺好，正好离出差的地方不远', '短评打分': 5}
{'短评内容': '就这个价格这个服务，不要奢求太多。早餐有，就怕人多了没住的地方。底下洗脚按摩的费用比房价还贵。斜对面往前一个路口有几个小吃店味道不错。', '短评打分': 3}
{'短评内容': '我们都懂的', '短评打分': 5}
{'短评内容': '空间很大，大的有些空旷，没有纸而已', '短评打分': 5}
{'短评内容': '凌晨到的，有住就好', '短评打分': 5}
{'短评内容': '交通还算方便，房间设施有些简陋。不过能性价比来看，也还算可以了。餐厅也挺好，下次去成都还可以考虑入住 。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '帮人代订未看见', '短评打分': 5}
{'短评内容': '不错的，就是有点偏，其他都不错，环境，设施都不错的  ，这个价格赚到了……', '短评打分': 5}
{'短评内容': '酒店还行，但附近配套啥都没，晚上想下去吃个东西都没。', '短评打分': 3}
{'短评内容': '房间很大很漂亮，就是偏了点', '短评打分': 3}
{'短评内容': '卫生条件好、配套服务好，真不错。下次还会选择这家酒店的。', '短评打分': 5}
{'短评内容': '总体还好，环境很不错，早餐还是很可以的 就是不怎么好找 客房没有吹风机洗头不方便', '短评打分': 5}
{'短评内容': '真的很不错。房间超大卫生也干净。早餐还行。', '短评打分': 5}
{'短评内容': '酒店配套设施较齐全，但酒店房间内的告知内容不太多，像数字电视机顶盒二个，有个让我误以为是无线路由器，打到总台问过后，不是的，总台说很多人以为是。看来需要在房间内作个说明啊！酒店有宽带线。酒店地处三环外，应该在房间内配个成都市交通地图，方便外地旅客出行。不过宾馆的服务员很好，告诉我们该如何出行乘坐公交转车。入住的8821双标的卫生间，有点想不明白，总闻到一股韭菜味，时有时无。酒店应配个灭蚊器，四川的', '短评打分': 5}
{'短评内容': '感觉房间比较空，装饰少，可能由于地处工业园，晚上有点吵，算是对得起那个房价了', '短评打分': 5}
{'短评内容': '各方面设施都可以，就是外出不好坐车', '短评打分': 3}
