{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。', '短评打分': 5}
{'短评内容': '这个酒店太差了，房间小，设备陈旧，空调响了一个晚上', '短评打分': 1}
{'短评内容': '早餐很一般，但是卫生很干净。酒店的位置很好，有直达南京总统府的公交，也有直达到南京夫子庙，中山陵等的公交。酒店下面有很多南京特色小吃，可以去体验下。而且，想吃大餐的，门口也有很多有档次的酒店。酒店没有停车场，很不好。酒店隔壁就是南京东南大学中大医院，医疗水平很高。酒店不能加床。同时也适合带孩子入住的。酒店的服务周到，服务员也很热心！', '短评打分': 5}
{'短评内容': '早餐很一般，但是卫生很干净。酒店的位置很好，有直达南京总统府的公交，也有直达到南京夫子庙，中山陵等的公交。酒店下面有很多南京特色小吃，可以去体验下。而且，想吃大餐的，门口也有很多有档次的酒店。酒店没有停车场，很不好。酒店隔壁就是南京东南大学中大医院，医疗水平很高。酒店不能加床。同时也适合带孩子入住的。酒店的服务周到，服务员也很热心！', '短评打分': 5}
{'短评内容': '位置不错！停车不方便！', '短评打分': 5}
{'短评内容': '习惯了，经常住这里。', '短评打分': 4}
{'短评内容': '喜欢了，经常住这里。', '短评打分': 4}
{'短评内容': '习惯了，一般都住这里。', '短评打分': 4}
{'短评内容': '习惯了，还好。', '短评打分': 4}
{'短评内容': '在网上订的两间双床标间，到酒店说没有，给换了两间大床房，让给加两床被子等好长时间说没有，很无耐。网上说有免费停车可是还是有偿停车按时收取。不推荐住没有诚信的酒店。', '短评打分': 2}
{'短评内容': '酒店环境不错，房间空间都很大，很宽敞，酒店工作人员也很热情，房间卫生也很好，下次还会来入住。', '短评打分': 5}
{'短评内容': '挺好的，交通方便，不是第一次住了。', '短评打分': 5}
{'短评内容': '很安静很好，我喜欢的类型', '短评打分': 5}
{'短评内容': '还好还好还好还好还好吧应该', '短评打分': 3}
{'短评内容': '还好还好还好还好吧应该', '短评打分': 3}
