{'短评内容': '价格便宜，环境优雅，地理位置优越！', '短评打分': 5}
{'短评内容': '很好！实惠又经济！', '短评打分': 5}
{'短评内容': '电话打不通', '短评打分': 3}
{'短评内容': '没有早餐，隔音不好，旁边声音大很吵，位置临近车站，出行很方便，', '短评打分': 3}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '服务好，卫生好，交通方便，舒适', '短评打分': 5}
{'短评内容': '干净，服务好，舒适，空间大', '短评打分': 5}
{'短评内容': '挺好的，干净整洁，舒服', '短评打分': 5}
{'短评内容': '价格可以接受.', '短评打分': 4}
{'短评内容': '还不错下次还住', '短评打分': 5}
{'短评内容': '离南门汽车站很近，适合中转_', '短评打分': 4}
{'短评内容': '其他都好啦，就是没外网酒店电脑也不好使，有点小纠结', '短评打分': 4}
{'短评内容': '酒店把入住价格搞错，发票打错！我也是醉了', '短评打分': 2}
{'短评内容': '酒店服务很好设施齐全干净整洁', '短评打分': 5}
