{'短评内容': '房间到是可以，空调不热，电视弄老半天，', '短评打分': 5}
{'短评内容': '还可以，比较安全……', '短评打分': 4}
{'短评内容': '被罩有一元硬币大小脏的痕迹', '短评打分': 4}
{'短评内容': '挺实惠的 ', '短评打分': 5}
{'短评内容': '卫生可以设施齐全', '短评打分': 4}
{'短评内容': '还可以吧，莱阳没几家好的', '短评打分': 4}
{'短评内容': '完美？！！！！！', '短评打分': 5}
{'短评内容': '非常非常非常好', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '作为快捷酒店，算是比较不错了，房间比较干净，住着还可以', '短评打分': 4}
{'短评内容': '干净，不错。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '挺好的一次住宿；位置、硬件设施都很好', '短评打分': 5}
{'短评内容': '不错?', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '环境不错周围吃喝的都有交通比较方便附近大型购物商场也有', '短评打分': 5}
{'短评内容': '环境还是不错的，房间很大，就是空调不太给力，其他都不错。', '短评打分': 5}
{'短评内容': '服务还好，房间干净整洁', '短评打分': 5}
{'短评内容': '挺安静的酒店，美中不足就是有客人在楼道抽烟，素质低劣，酒店也不管一下。', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 3}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '酒店服务不错，热情周到！', '短评打分': 3}
{'短评内容': '如家的服务人员比较热情，看中的是它的返现!\n对于打工仔而言就是在赚老板的钱。', '短评打分': 5}
{'短评内容': '＋整体挺好的', '短评打分': 3}
{'短评内容': '一如既往的干净。不过，是阴面，有些阴冷…', '短评打分': 3}
{'短评内容': '在莱阳市中心，交通非常便利，楼下就有海鲜火锅，对面有地方小吃购物商城。酒店干净整洁，很好，非常满意！', '短评打分': 5}
{'短评内容': '   酒店位置还不错，处于市中心购物饮食都很方便；服务人员很热情，每每碰到宾客都会主动问好打招呼；整体卫生还可以，符合如家的经营理念。\n   唯一美中不足的就是房间隔音效果不好，后半夜被隔壁几对男女折腾的没消停过（可能是他们声音也太大），打了服务台电话，隔壁电话响了，这才有所缓解，，\n总的来说非常不错！100分给90分。', '短评打分': 5}
