{'短评内容': '态度很好', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '环境不错，装修高大上，房间空间也大！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '周围环境还可以，一楼有小卖部，房间味道很大让人不舒服，直接退房走人了', '短评打分': 4}
{'短评内容': '设施不行，就不是豪华标间，房间灯也不行，连拖鞋都没有，凑合住一晚', '短评打分': 3}
{'短评内容': '好价格实惠，服务态度好，出行也比较方便', '短评打分': 5}
{'短评内容': '我那个房间确实有年头了。楼下就是公交站。还是可以接受的', '短评打分': 4}
{'短评内容': '酒店卫生还不错，硬件条件差一些，需要升级改善了。服务不错，距离汉口火车站也不远，步行十分钟多一点。周边环境还可以的，吃饭也方便。', '短评打分': 4}
{'短评内容': '总体来说性价比还是可以的', '短评打分': 5}
{'短评内容': '基本上满意', '短评打分': 3}
{'短评内容': '一般般，房间太旧了。', '短评打分': 4}
{'短评内容': '一般的，离火车站近，不讲究的可以住住', '短评打分': 3}
{'短评内容': '离火车站的距离还能接受，酒店比较老，放十年前还是相当不错的酒店', '短评打分': 4}
{'短评内容': '地段', '短评打分': 5}
{'短评内容': '这次入住的房间不是很好，马桶是坏掉的，一直在放水，很吵，硬件不是很好，需要升级了。房间的WIFI一直不好用，最后为了发邮件，跑到下面去了，很冷', '短评打分': 3}
{'短评内容': '房间设施陈旧，总体卫生还好，性阶比较高。', '短评打分': 3}
{'短评内容': '住了一个月！', '短评打分': 5}
{'短评内容': '房间比较大，设施也还可以，就是大床房都是靠路边的，很吵，神经不好的人慎重。', '短评打分': 5}
{'短评内容': '房间比较大，挻干净，但服务还要改善', '短评打分': 3}
