{'descr': '房间很大，很安静', 'star': 5}
{'descr': '停车方便，位置好', 'star': 5}
{'descr': '早餐算是超值，可以自己煎蛋煮面颇有特色。房间干净整洁。要是在机场宾馆下车千万不要信百度地图，它教人进去东关遗址公园，幸亏以前来过，不然又远，晚上又不安全。', 'star': 5}
{'descr': '洗手间，浴室，洗手盆分开，方便。窗户很大，房间明亮宽敞，价格比附近的如家优惠。公交站在附近，去各景点方便。', 'star': 5}
{'descr': '离机场宾馆约1公里，步行就可以了。半夜三更也好走。房间很大，窗户特多，明亮宽敞。离秦淮河风景区1公里多，很方便。看见院子很大，停车位多。', 'star': 5}
{'descr': '酒店离地铁站还是有段距离，拿到房卡去房间门都没关。可能是不用押金的缘故。看上去很干净整洁，细微看还是有很多不到位的地方。', 'star': 5}
{'descr': '酒店交通便利，房间整洁', 'star': 4}
{'descr': '服务态度很好，就是位置比较偏，房间有点旧，价钱便宜，空调声音很大，周围没有什么吃饭的地方，总体还是不错的', 'star': 4}
{'descr': '环境好可以', 'star': 5}
{'descr': '可能当天预定有优惠的，挺好，很方便。环境空间也挺大,推荐！', 'star': 5}
{'descr': '门口有暖和的养生茶，不错！', 'star': 4}
{'descr': '位置在小巷里，房间不错，很干净，交通也方便，比较安静，总的来说感觉不错，设施也不错，下次还会选择这个酒店', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '蛮好', 'star': 5}
{'descr': '我不知道该说些什么呀呀呀呀呀呀', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '十一非常贵', 'star': 5}
{'descr': 'GOOOOOOOOOOOOOOOOOOOOODDDDDDDDDDDDDDD', 'star': 4}
{'descr': '环境不错，在小区中间比较安静', 'star': 4}
{'descr': '位置差，很难找，很吵，周边是工地和体校。\r\n早饭15元，我吃到现在最难吃的了。\r\n千万不要住了。', 'star': 1}
{'descr': '酒店一般', 'star': 3}
{'descr': '很不错的酒店，交通便利，环境舒适，推荐。', 'star': 5}
{'descr': '订的是无窗的特价房，不过卫生间还有有个窗户可以通风。房间蛮大的。性价比很高。', 'star': 5}
{'descr': '交通还是比较方便的，房间比较干净，晚上很安静', 'star': 5}
{'descr': '百元特惠房除了窗户不是很满意，别的都还不错的', 'star': 5}
{'descr': '房间很干净，环境也不错，就是交通不是很方便，离夫子庙远了点', 'star': 5}
{'descr': '有点偏僻，总体还好，我订的是特价房，和别的汉庭比起来，还是有点不行', 'star': 5}
{'descr': '非常好，又便宜又干净，不像之前想象的那样，就是有点偏', 'star': 5}
{'descr': '好！是一个入住的好地方！', 'star': 3}
{'descr': '离机场挺近的！第二天一早的飞机时间上不会太紧张！', 'star': 5}
{'descr': '离机场挺近的！第二天一早的飞机时间上不会太紧张！', 'star': 5}
{'descr': '三人房', 'star': 3}
{'descr': '三人房', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '一般般吧，就是离机场很近', 'star': 3}
{'descr': '一般般吧，就是离机场很近', 'star': 3}
