{'短评内容': '不错的环境可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '环境还行，卫生间坐便漏水，洗手盆也漏水。找服务员，半天不见人影。凑合住一宿。早餐一般。价钱偏高。还没有电梯。', '短评打分': 4}
{'短评内容': '总体上来说挺好的，下次还能住的地方。', '短评打分': 4}
{'短评内容': '一般，价格还行', '短评打分': 3}
{'短评内容': '只住一晚，赶飞机啊，不知道附近怎样', '短评打分': 3}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '总体印象不错', '短评打分': 5}
{'短评内容': '感觉挺好，跟如家一样', '短评打分': 5}
{'短评内容': '感觉还行，跟如家差不多', '短评打分': 5}
{'短评内容': '还可以，就是有驱蚊器没有有驱蚊片。。卫生不错', '短评打分': 3}
{'短评内容': '打电话订房间的时候确定有房，到了就说没有这么便宜的了，后来要给携程打电话了旅店又说有了，其中的玄机不解！好评：价钱照顾了我们平民，但是环境一般，设施还可以，床单留下留下了往日的“红漆”。留下好的印象的只有服务，这个环境配这个价钱，合理！', '短评打分': 4}
{'短评内容': '不推荐，男老板像个话痨似的，早餐时墨迹个没完没了！ 房间隔音一点儿也不好，太吵了！ 房间透风，晚上睡觉凉飕飕的！', '短评打分': 3}
