{'短评内容': '还不错。。。。。以后还会来的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错。。。。。以后还会来的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 4}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '各方面都不错，特别是交通，只是有点老。', '短评打分': 5}
{'短评内容': '京东服务很不错，方便又好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '老旧的酒店,除了位置估计没啥可说的了', '短评打分': 4}
{'短评内容': '价格合理，下单确认快', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的选择，还会继续不错的选择，还会继续不错的选择，还会继续不错的选择，还会继续不错的选择，还会继续不错的选择，还会继续', '短评打分': 5}
{'短评内容': '不错，下次还会入住', '短评打分': 4}
{'短评内容': '位置环境都不错', '短评打分': 4}
{'短评内容': '老牌的国营宾馆，大堂很不错，但是里面的房间一般。', '短评打分': 4}
{'短评内容': '酒店设施过于陈旧，定了个大床房，一进门感觉房间空气不是很好，并且在厕所门口发现了条润虫，和酒店要求换房，换了个双床房，酒店解释说单床房没有了。住了一晚上，双床房的床有点小，不是很舒服。酒店早餐还行。', '短评打分': 3}
{'短评内容': '环境不错，服务要跟上！', '短评打分': 3}
{'短评内容': '设施良好，供暖良好，服务人员态度好，速度快。餐厅干净。', '短评打分': 5}
{'短评内容': '方便方便方便', '短评打分': 4}
{'短评内容': '不错，人多', '短评打分': 5}
{'短评内容': '在酒店住了几天，唯一感觉的好的就是交通方便！\n最糟糕的两点感觉就是\n1，有一点感冒想要一个勺子搅拌一下药，酒店竟然不提供！交涉了好几次才不情愿地送来一个勺子而且反复提醒要归还的哦！\n2，早餐时一个作米粉的服务员，当我说想要一碗米粉时，她竟然一手放下手机都不洗手，直接就用手去抓米粉往锅里放。我当时就无语---不吃了！My God！', '短评打分': 2}
{'短评内容': '酒店位置不错，出行方便，在岳麓附近，环境不错。', '短评打分': 5}
{'短评内容': '离几个景点很近，离商高端商场也很近，离湖大，一桥都很近，房间够宽，很干净，推荐入住，我订了两间房，后来因为没有348的大床房，只能换了一间498的豪单，就这麻烦点，多花了150咪。总体还行', '短评打分': 5}
{'短评内容': '房间宽敞，明亮干净，服务员的服务态度也很好，唯一不足的是空调效果不是很理想。', '短评打分': 5}
{'短评内容': '环境很好，就是窗户再擦干净些就更有档次了。', '短评打分': 5}
{'短评内容': '环境优美，空气清新，今天去长沙还住这里。', '短评打分': 5}
{'短评内容': '第一次去长沙\n总体感觉酒店环境还不错\n唯一不足的是拖鞋。。。\n不管再怎么消毒感觉还是不如一次性的卫生啊', '短评打分': 5}
{'短评内容': '地铁，超市，湖南大学，岳麓山是一个天然养吧，清晨起来，云雾缭绕，空气清新。', '短评打分': 5}
{'短评内容': '这次入住的山景房还能看到些山景，已经入住过多次，环境好比较幽静，客房服务员的服务质量还有待提高，每个房间只配了一张房卡，出入很不方便，叫服务员开门找了三次才不急不慢的过来。', '短评打分': 5}
{'短评内容': '酒店不错,环境安静,氛围优雅,房间宽敞,卫生间布局合理,清新干净.\n早餐品种丰富味道也不错.下次来长沙继续选择枫林.', '短评打分': 5}
{'短评内容': '非常棒的酒店', '短评打分': 3}
{'短评内容': '说是山景房，可能位置不好，只见着没怎么修葺好德园子。餐厅很棒，晚餐在那吃的，主要是味道很好。', '短评打分': 5}
{'短评内容': '酒店环境还不错，依山而建，比较安静，房间还算整洁卫生，洗簌用品完全自费，必需自备。以前也入住过几次，但这次入住很令人失望，房间宽带不但龟速而且很不稳定，根本无法上网，入住的房间挨着工地，每天清晨被施工噪音闹醒', '短评打分': 5}
{'短评内容': '酒店环境设施都不错，早餐非常丰富，就是服务差了点', '短评打分': 5}
{'短评内容': '山景房确实很别致的\n老的四星级酒店\n符合他的标准', '短评打分': 5}
{'短评内容': ',酒店没有按照要求定房间', '短评打分': 3}
{'短评内容': '酒店内部环境很好,就是从酒店门口到出口有一段距离,需要走出去打出租车.', '短评打分': 5}
{'短评内容': '园林式环境，卫生间很不错！每层楼另设有非马桶厕所，很人性化。', '短评打分': 5}
{'短评内容': '服务有待改进\n', '短评打分': 3}
{'短评内容': '环境不错，价钱实惠，就是打的不太方便，还有没有拖鞋还是有些不方便。下次去还是会住枫林宾馆！', '短评打分': 5}
{'短评内容': '我本来是定的五天，但蟑螂吵得我无法睡觉，只能提前退房走了，我向大堂副理投诉也没表示歉意', '短评打分': 1}
{'短评内容': '其它都好，就是打车有点不方便，最好是自己开车，这样比较好', '短评打分': 5}
{'短评内容': '环境很安静，，后面就是岳麓山，空气清新，配套设施齐全，唯一不方便的就是没有免费使用的拖鞋，其他都好。', '短评打分': 5}
{'短评内容': '适合去爬岳麓山的人~很近 高级房不怎么样', '短评打分': 5}
{'短评内容': '交通还算方便，山景很好，以前很安静，这次去很早很早外面就有打桩之类的声音，哎 长沙神马时候能结束“大建设”啊', '短评打分': 5}
{'短评内容': '没有中国宾馆一般上都有提供的牙刷 - 应该事先说明。\n早餐甚差，叫客人来一起吃的话会难堪。', '短评打分': 1}
{'短评内容': '四星级的宾馆还算可以，挺干净的，就是交通、打的不太方便，', '短评打分': 5}
{'短评内容': '酒店位置很好，景色很美，但是需要自己有车，否则不是很方便，从酒店出来打车可是一大难事。', '短评打分': 5}
{'短评内容': '还可以，在河西比较方便，购物，出游，交通都便利', '短评打分': 5}
{'短评内容': '比较满意，就是房间没有一次性用品。找服务员要收现金不记到房费里面', '短评打分': 5}
{'短评内容': '环境幽雅，房内设施方便好用，前台服务人员态度也很不错，只是结账速度稍微有点慢，当然这跟当时结账人很多也有一定关系，在河西算是很不错的选择。', '短评打分': 5}
{'短评内容': '不错的酒店，环境不错，只是收费的洗簌用品质量不高，有点不爽，还有就是出行不太方便，太难打车了！！', '短评打分': 5}
{'短评内容': '环境还可以，楼下餐厅也不错，价格适中，味道可口。', '短评打分': 5}
