{'短评内容': '直接垃圾', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '没有早餐，不能加床，位置可以', '短评打分': 3}
{'短评内容': '服务态度非常不好', '短评打分': 1}
{'短评内容': '适合一个人住', '短评打分': 4}
{'短评内容': '酒店位置不错，周边比较繁华，周边餐馆少些、商场多些，据步行街很近购物比较方便，吃饭可步行至南门，那里有美食街，身边看看夜景，巍峨的南城门夜晚时分在灯光的照耀下显得格外雄壮，可惜的是现在们正在施工，门前挖了一条大沟，出行不是很方便，设施标配，空调风小，不太给力，而且常发出吱吱的声音，晚间施工会有些吵，14点退房还是不错的。', '短评打分': 4}
{'短评内容': '环境一般   服务很好   空调不太好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '房子地点合适,方便。价格合理。', '短评打分': 4}
{'短评内容': '还行吧，设备不是很新，停车还算方便', '短评打分': 3}
{'短评内容': '酒店服务还好。环境干净，地处闹市区交通方便。', '短评打分': 3}
{'短评内容': '还是不错的，价格稍稍偏高，卫生干净', '短评打分': 3}
{'短评内容': '真的不错呵呵，推荐朋友们来住啊，前台的姐姐长得不错哦', '短评打分': 3}
{'短评内容': '离火车站汽车站都不远，挺干净的', '短评打分': 5}
{'短评内容': '房间还不错，很干将，网络也挺好', '短评打分': 5}
{'短评内容': '普通标准房的房间有点小，网络不稳', '短评打分': 5}
