{'短评内容': '非常方便，高速下去就是。', '短评打分': 5}
{'短评内容': '非常方便，高速下去就是。', '短评打分': 5}
{'短评内容': '太早退房，早餐不能打包', '短评打分': 4}
{'短评内容': '房间很小，床头没插座手机还得放老远充电！浴室小的可怜！都没格林豪泰好！价格还比格林豪泰贵！感觉很不好！', '短评打分': 4}
{'短评内容': '好 很好 非常好', '短评打分': 5}
{'短评内容': '空调温度上不来', '短评打分': 4}
{'短评内容': '酒店位置比较方便，', '短评打分': 4}
{'短评内容': '桌上没有纸巾，扣一星以资鼓励', '短评打分': 5}
{'短评内容': '房间很干净毛巾杯子都用袋子密封了', '短评打分': 5}
{'短评内容': '干净卫生，窗外环境不错', '短评打分': 4}
{'短评内容': '各方面一直都不错，出差经常住的酒店。', '短评打分': 5}
{'短评内容': '价格有点偏高，附近有家炒年糕很不错。', '短评打分': 5}
{'短评内容': '位置很好找，下高速拐弯就到，适合驾车路过，也适合旅游。酒店一如既往的好，就是窗帘该洗了。', '短评打分': 5}
{'短评内容': '快捷', '短评打分': 5}
{'短评内容': '每次出差到这，住宿首选', '短评打分': 5}
{'短评内容': '卫生间很大，锦江之星一向的风格，不错，服务员都很热情，早饭也很好', '短评打分': 5}
{'短评内容': '酒店的软件与硬件都不错', '短评打分': 5}
{'短评内容': '非常满意。。。前台很有效率。。。。遇到问题能很快解决', '短评打分': 5}
{'短评内容': '房间有点小，天台唯一的一家连锁酒店。。。', '短评打分': 5}
{'短评内容': '锦江之星 ，连锁酒店中的上品。 在其附近，它很不错了。', '短评打分': 5}
{'短评内容': '很好，环境好，干净，安静，服务好，早餐还可以，有待改进', '短评打分': 5}
{'短评内容': '很干净，离车站很近，但闹中取静，出入很方便', '短评打分': 5}
{'短评内容': '还不错的酒店，比较新，管得不错。适合自己出行。', '短评打分': 5}
{'短评内容': '酒店很新，也比较干净，服务态度也不错，位置有点偏，但是自驾游的话还是很不错的选择，推荐！', '短评打分': 5}
{'短评内容': '第一次入住锦江之星，感觉很干净，房间也挺大的，网速基本在2M尚可接受，早餐在我住过的经济型酒店中属于比较好的，最好的是席梦思和被子床单超舒服，感觉锦江是用心筛选过的，唯一有一点不足是由于用的是复合地板穿上酒店的拖鞋脚底挺冷的，建议是否能将冬季的拖鞋改进一下（或者底加厚）这样在锦江更有温暖的感觉。\n下次出差其他的锦江之星也想尝试一下，不知这个好印象能不能保持', '短评打分': 5}
{'短评内容': '虽然便宜，但是房间很大很干净，就是有些烟味，建议清洁以后开开窗户', '短评打分': 5}
{'短评内容': '1、位置方便：离天台汽车站车站向立交桥方向步行约十来分钟；注意：周边配套少，吃饭也不是很方便。\n2、酒店新，布局简洁清新，安静；\n3、水龙头的水是甘甜的（走了十几个省，第二家甘甜水的酒店）；\n4、早餐就餐环境不错，食品能满足基本需求；\n5、前台服务亲切（专业度待提升哦）；\n6、有心：丢了东西在酒店，打电话询问后说帮我保留了，还询问是否需要给我寄过来，赞！非常感谢！\n总之，推荐入住！', '短评打分': 5}
{'短评内容': '干净.环境好.住得放心.态度好.停车放便.位置好', '短评打分': 5}
{'短评内容': '比较卫生干净。过年期间全部客满。想续住都不行。生意红火。不管是扫地的大妈还是其他服务员都能主动问好，赞一个。', '短评打分': 5}
{'短评内容': '酒店大堂很漂亮，早餐丰盛可口；房间整洁干净；服务员礼貌很好；不错的酒店，下次来天台还住这里。同时，离高速出口很近、非常方便', '短评打分': 5}
{'短评内容': '位置有点偏，周围吃饭的地方比较少\n环境设施还不错\n', '短评打分': 5}
{'短评内容': '蛮好的，服务也不错，饭菜也还可以，总体不错', '短评打分': 5}
{'短评内容': '酒店比较新，交通方便，适合自驾的！去景点方便。', '短评打分': 5}
{'短评内容': '天台店的服务人员很热情，前台特别周到，帮我指点旅游路线。房间也很干净。', '短评打分': 3}
