{'短评内容': '环境一般，', '短评打分': 3}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '还是不评价了', '短评打分': 2}
{'短评内容': '性价比超高，值得推荐！来朋友了都开在这！', '短评打分': 5}
{'短评内容': '老酒店，在小县城，贵！不值', '短评打分': 3}
{'短评内容': '反正还可以。，交通挺方便的。', '短评打分': 5}
{'短评内容': '干净，早餐不错。', '短评打分': 5}
{'短评内容': '酒店的基础还是很不错的，就是时间久了有点老了。不过现在价格也比以前便宜，性价比还是可以的。但是大床房居然是两个单床拼起来的这个必须吐槽一下。', '短评打分': 4}
{'短评内容': '前台服務態度良好！', '短评打分': 4}
{'短评内容': '还行吧，还算过得去。', '短评打分': 4}
{'短评内容': '酒店环境不错．', '短评打分': 5}
{'短评内容': '房间小了一点，其他将就点。', '短评打分': 3}
{'短评内容': '非常好...................', '短评打分': 3}
{'短评内容': '好！1111', '短评打分': 5}
{'短评内容': '有机会再来！', '短评打分': 5}
{'短评内容': '酒店还好吧，就是还能够闻到装修的味道，服务还不错。', '短评打分': 5}
{'短评内容': '原定13号退房，飞机换航班和老婆多住了两天退房，圆床的房间空间大，环境干净，服务人员热情，电视机一类硬件略显陈旧，遮阳帘透光有点严重希望有改进，早餐口味不错，样式不多，周边餐厅商场很多，离妹妹妹夫家很近，很方便，下次还会入住', '短评打分': 5}
{'短评内容': ' 卫生、服务都还不错。', '短评打分': 3}
{'短评内容': '酒店环境不错，配套设备也很好，存在的问题就是房间的味道还是很浓。。希望能改进。。', '短评打分': 5}
{'短评内容': '房间舒适，干净，明亮，打车比较方便。保险柜、雨伞都很实用。', '短评打分': 5}
{'短评内容': '总体来说还是可以的，房间宽敞干净，不过酒店提供的洗澡液及洗发水是大瓶装，使用不方便且相对不够卫生。房间的CRT电视机较小，网线老化经常断线连接不上，烧开水壶水开不会跳线，这样会很危险。', '短评打分': 5}
{'短评内容': '房间环境差，电视机差，洗手间差，根本没有四星级的标准，前台服务也差！！', '短评打分': 1}
{'短评内容': '性价比还不错。早餐也算丰富，就是有关装修尽快完善，这样气味会少一些。\n好像价格最近上调了10%左右吧？！', '短评打分': 5}
{'短评内容': '酒店房间还算干净。只是装修完成不久，还有点味道。', '短评打分': 5}
{'短评内容': '服务有待提高，房间宽带不能用，只能换房间。', '短评打分': 1}
{'短评内容': '酒店刚装修，环境不错。单人豪华房的床还可以。', '短评打分': 3}
{'短评内容': '已经很多次去过这家酒店\n服务很到位\n下次还会去\n', '短评打分': 5}
{'短评内容': '房间有装修气味，床很大也很舒服，不小心会撞到浴室的玻璃。', '短评打分': 3}
{'短评内容': '酒店交通便利，房间安静，早餐不错，床超大，很舒服！', '短评打分': 5}
{'短评内容': '已经住过好几次了，肯定没有问题，前台态度很好，值得推荐', '短评打分': 5}
{'短评内容': '新装修的很时尚，不错。但装修味还是蛮大的。应该多通风了。', '短评打分': 5}
{'短评内容': '去的时候酒店正在装修\n很郁闷\n房间倒是很大\n地段一般般\n打车不方便\n\n', '短评打分': 5}
{'短评内容': '还算满意，早餐的品种少了点啊！房间的性价比还算勉强过得去！', '短评打分': 5}
{'短评内容': '酒店最近在翻新，房间的气味很难闻，而且酒店只有两台电梯，正常的情况下是够用的，可惜白天有一台被装修占用了，要很长的时间才能回到房间。希望翻新的日子早点过去。', '短评打分': 5}
{'短评内容': 'room is big, breakfast is very good. Value for the money', '短评打分': 5}
{'短评内容': '值得再去。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
