{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '国庆期间，北海的酒店价格都翻了好几倍，我提前一个月订大床房只用了290，当天直接去住的话是660。因为是自驾，所以选了这家离国际客运港比较远，但是性价比很高的酒店，酒店后面的小院是专用免费停车场，不过车位不多。酒店位置还是挺便利的，周边很多餐馆，斜对面是商场，出门走十分钟就是海滩，离老街3公里。前台服务热情，房间干净舒适，热水很舒服，淋浴间不会积水，入住体验非常好。', '短评打分': 5}
{'短评内容': '其他都还好，关键的关键是提示预订有返现的，回到家了都没返现，问客服，非要让我给截图，感情以后在携程上预订酒店都要先截个图留好证据！', '短评打分': 1}
{'短评内容': '', '短评打分': 3}
{'短评内容': '', '短评打分': 4}
{'短评内容': '朋友来北海玩定的，感觉不错', '短评打分': 5}
{'短评内容': '环境卫生都很好，住得也挺舒服的', '短评打分': 5}
{'短评内容': '性价比高，实惠  装修风格很喜欢，早餐不错，下次还会来', '短评打分': 5}
{'短评内容': '酒店环境，设施，配置都不错。。。最为满意的是前台小新的服务态度，见到客户笑容最为真诚，让人感觉非常温暖。。。没有理由不推荐', '短评打分': 5}
{'短评内容': '前台王小姐服务态度非常热情，笑容很甜美。。。房间卫生很干净，物品摆放的也很整齐。。。保安也感觉比其他店的有耐心，积极主动，乐于助人。。。来到这里有种回家的感觉', '短评打分': 5}
{'短评内容': '不错，安全措施到位。', '短评打分': 5}
{'短评内容': '一切都好，就是隔音不大好。地点便利，很干净，服务也很周到。地点便利，很干净，服务也很周到。隔音不大好。', '短评打分': 5}
{'短评内容': '周边附近很多吃饭的地方，很方便，离市中心不远，交通很方便，有自助洗衣房，还有早餐，退房急，落下东西了，服务员很细心，这个很满意。', '短评打分': 5}
{'短评内容': '酒店位置很好找，而且有停车场，免费停车，前台办理很快，而且很热情，房间很宽敞，干净，喜欢城市便捷的风格，每次都是首选城市便捷，还有两份早餐，房间有独立的无线Wifi，上网很给力，大堂还有商务电脑可以用，，住的很满意！', '短评打分': 5}
{'短评内容': '酒店位置很好找，卫生很干净，服务态度非常好，离海底世界很近，步行就可以过去了，周边还有吃海鲜的一条街，简直太棒了，吃喝玩乐都在一起了', '短评打分': 5}
{'短评内容': '酒店环境非常好，价格很优惠，连锁酒店中的性价比超高，服务态度非常热情，周边吃饭很方便，离海边很近，吃完饭步行几分钟就到了，夜景很美', '短评打分': 5}
{'短评内容': '一如以往的入住城市便捷，不论风格，不论早餐，不论服务，这都是其他连锁酒店无法替代的，主要一个对客就能看出一个酒店的服务质量以及各方面，谢谢前台的小伙子，细心的安排非常满意所在的房型，下次还来', '短评打分': 5}
{'短评内容': '舒适、干净、服务态度好、交通便利，离海比较近，海鲜大排档也比较近。', '短评打分': 5}
